,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,WU,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,323984000,17362477,18.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,297072000,17362477,17.0,0,1.0,BUY-MORE,5 - Large
1,SLM,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,253131000,10165910,24.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,348589000,15248864,22.0,-5082954,2.0,SELL-PARTIAL,5 - Large
2,AIG,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,230751000,4745040,48.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,212103000,4745040,44.0,0,4.0,SELL-PARTIAL,5 - Large
3,WAIR,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,181761000,8684212,20.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,167600000,9025335,18.0,-341123,2.0,HOLD,4 - Mid
4,CST,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,89400000,3000000,29.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,61620000,2000000,30.0,1000000,-1.0,SELL-PARTIAL,5 - Large
5,EGL,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,80197000,2527478,31.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,75780000,2666439,28.0,-138961,3.0,BUY-MORE,4 - Mid
6,SNY,ABRAMS CAPITAL MANAGEMENT LP,WNT,2013-09-30,62983000,31179637,2.0,ABRAMS CAPITAL MANAGEMENT LP,WNT,2013-06-30,59411000,31269087,1.0,-89450,1.0,SELL-PARTIAL,5 - Large
7,CCO,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,27506000,3354390,8.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,25024000,3354390,7.0,0,1.0,HOLD,5 - Large
8,MANT,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,24760000,860920,28.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-06-30,46163000,1767330,26.0,-906410,2.0,HOLD,6 - Mega
9,RBS,ABRAMS CAPITAL MANAGEMENT LP,PRF,2013-09-30,3501000,172685,20.0,ABRAMS CAPITAL MANAGEMENT LP,PRF,2013-06-30,3590000,172685,20.0,0,0.0,BUY-MORE,4 - Mid
0,WU,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,299503000,17362477,17.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,323984000,17362477,18.0,0,-1.0,BUY-MORE,5 - Large
1,SLM,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,267160000,10165910,26.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,253131000,10165910,24.0,0,2.0,SELL-PARTIAL,5 - Large
2,AIG,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,242234000,4745040,51.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,230751000,4745040,48.0,0,3.0,SELL-PARTIAL,5 - Large
3,WAIR,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,126381000,5765539,21.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,181761000,8684212,20.0,-2918673,1.0,HOLD,4 - Mid
4,CST,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,110160000,3000000,36.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,89400000,3000000,29.0,0,7.0,SELL-PARTIAL,5 - Large
5,CCO,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,34014000,3354390,10.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,27506000,3354390,8.0,0,2.0,BUY-MORE,4 - Mid
6,SNY,ABRAMS CAPITAL MANAGEMENT LP,WNT,2013-12-31,3964000,11658873,0.0,ABRAMS CAPITAL MANAGEMENT LP,WNT,2013-09-30,62983000,31179637,2.0,-19520764,-2.0,SELL-PARTIAL,5 - Large
7,RBS,ABRAMS CAPITAL MANAGEMENT LP,PRF,2013-12-31,3461000,172685,20.0,ABRAMS CAPITAL MANAGEMENT LP,PRF,2013-09-30,3501000,172685,20.0,0,0.0,HOLD,5 - Large
8,EGL,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,3421000,102430,33.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-09-30,80197000,2527478,31.0,-2425048,2.0,HOLD,6 - Mega
0,WU,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,284050000,17362477,16.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,299503000,17362477,17.0,0,-1.0,BUY-MORE,5 - Large
1,AIG,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,237299000,4745040,50.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,242234000,4745040,51.0,0,-1.0,SELL-PARTIAL,5 - Large
2,SLM,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,200748000,8200487,24.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,267160000,10165910,26.0,-1965423,-2.0,SELL-PARTIAL,5 - Large
3,WFC,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,137780000,2770000,49.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,125758000,2770000,45.0,0,4.0,HOLD,4 - Mid
4,CST,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,93720000,3000000,31.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,110160000,3000000,36.0,0,-5.0,SELL-PARTIAL,5 - Large
5,ENT,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,47340000,3000000,15.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,44610000,3000000,14.0,0,1.0,BUY-MORE,4 - Mid
6,WAIR,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,31037000,1410141,22.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,126381000,5765539,21.0,-4355398,1.0,SELL-PARTIAL,5 - Large
7,CCO,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,30558000,3354390,9.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,34014000,3354390,10.0,0,-1.0,HOLD,5 - Large
8,JCPNQ,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,12930000,1500000,8.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2013-12-31,9150000,1000000,9.0,500000,-1.0,HOLD,6 - Mega
9,RBS,ABRAMS CAPITAL MANAGEMENT LP,PRF,2014-03-31,3816000,172685,22.0,ABRAMS CAPITAL MANAGEMENT LP,PRF,2013-12-31,3461000,172685,20.0,0,2.0,BUY-MORE,4 - Mid
0,WU,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,371552000,21427477,17.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,284050000,17362477,16.0,4065000,1.0,BUY-MORE,5 - Large
1,AIG,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,258984000,4745040,54.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,237299000,4745040,50.0,0,4.0,SELL-PARTIAL,5 - Large
2,WFC,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,145591000,2770000,52.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,137780000,2770000,49.0,0,3.0,SELL-PARTIAL,5 - Large
3,MSFT,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,142614000,3420000,41.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,140186000,3420000,40.0,0,1.0,HOLD,4 - Mid
4,CST,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,103500000,3000000,34.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,93720000,3000000,31.0,0,3.0,SELL-PARTIAL,5 - Large
5,BKS,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,93767000,4114389,22.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,44208000,2115229,20.0,1999160,2.0,BUY-MORE,4 - Mid
6,ENT,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,53847000,4342536,12.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,47340000,3000000,15.0,1342536,-3.0,SELL-PARTIAL,5 - Large
7,CCO,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,27439000,3354390,8.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,30558000,3354390,9.0,0,-1.0,HOLD,5 - Large
8,JCPNQ,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,13575000,1500000,9.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-03-31,12930000,1500000,8.0,0,1.0,HOLD,6 - Mega
9,RBS,ABRAMS CAPITAL MANAGEMENT LP,PRF,2014-06-30,4082000,172685,23.0,ABRAMS CAPITAL MANAGEMENT LP,PRF,2014-03-31,3816000,172685,22.0,0,1.0,BUY-MORE,4 - Mid
0,WU,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,346604000,21608707,16.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,371552000,21427477,17.0,181230,-1.0,BUY-MORE,5 - Large
1,AIG,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,259365000,4801276,54.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,258984000,4745040,54.0,56236,0.0,SELL-PARTIAL,5 - Large
2,MSFT,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,230873000,4980000,46.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,142614000,3420000,41.0,1560000,5.0,SELL-PARTIAL,5 - Large
3,WFC,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,143680000,2770000,51.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,145591000,2770000,52.0,0,-1.0,HOLD,4 - Mid
4,CST,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,134464000,3740304,35.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,103500000,3000000,34.0,740304,1.0,SELL-PARTIAL,5 - Large
5,BKS,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,81218000,4114389,19.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,93767000,4114389,22.0,0,-3.0,BUY-MORE,4 - Mid
6,OPB,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,69039000,2270265,30.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,62114000,2270265,27.0,0,3.0,SELL-PARTIAL,5 - Large
7,ENT,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,56100000,5000000,11.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,53847000,4342536,12.0,657464,-1.0,HOLD,5 - Large
8,CCO,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,22609000,3354390,6.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,27439000,3354390,8.0,0,-2.0,HOLD,6 - Mega
9,JCPNQ,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,15060000,1500000,10.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-06-30,13575000,1500000,9.0,0,1.0,BUY-MORE,4 - Mid
0,WU,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-12-31,387012000,21608707,17.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,346604000,21608707,16.0,0,1.0,BUY-MORE,5 - Large
1,COV,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-12-31,301726000,2950000,102.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,226656000,2620000,86.0,330000,16.0,SELL-PARTIAL,5 - Large
2,AIG,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-12-31,268919000,4801276,56.0,ABRAMS CAPITAL MANAGEMENT LP,SHR,2014-09-30,259365000,4801276,54.0,0,2.0,SELL-PARTIAL,5 - Large
