,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,WP,ADVENT INTERNATIONAL CORP,SHR,2013-09-30,943845000,33781147,27.0,ADVENT INTERNATIONAL CORP,SHR,2013-06-30,1346359000,48781147,27.0,-15000000,0.0,HOLD,4 - Mid
1,FIVE,ADVENT INTERNATIONAL CORP,SHR,2013-09-30,202085000,4622261,43.0,ADVENT INTERNATIONAL CORP,SHR,2013-06-30,643379000,17464139,36.0,-12841878,7.0,HOLD,4 - Mid
2,AEGR,ADVENT INTERNATIONAL CORP,SHR,2013-09-30,60479000,705300,85.0,ADVENT INTERNATIONAL CORP,SHR,2013-06-30,55600000,877800,63.0,-172500,22.0,HOLD,3 - Small
0,WP,ADVENT INTERNATIONAL CORP,SHR,2013-12-31,612453000,18781147,32.0,ADVENT INTERNATIONAL CORP,SHR,2013-09-30,943845000,33781147,27.0,-15000000,5.0,HOLD,4 - Mid
1,FIVE,ADVENT INTERNATIONAL CORP,SHR,2013-12-31,199672000,4622261,43.0,ADVENT INTERNATIONAL CORP,SHR,2013-09-30,202085000,4622261,43.0,0,0.0,HOLD,4 - Mid
2,AEGR,ADVENT INTERNATIONAL CORP,SHR,2013-12-31,38815000,547001,70.0,ADVENT INTERNATIONAL CORP,SHR,2013-09-30,60479000,705300,85.0,-158299,-15.0,HOLD,3 - Small
0,FIVE,ADVENT INTERNATIONAL CORP,SHR,2014-03-31,196354000,4622261,42.0,ADVENT INTERNATIONAL CORP,SHR,2013-12-31,199672000,4622261,43.0,0,-1.0,HOLD,4 - Mid
1,AEGR,ADVENT INTERNATIONAL CORP,SHR,2014-03-31,22952000,497001,46.0,ADVENT INTERNATIONAL CORP,SHR,2013-12-31,38815000,547001,70.0,-50000,-24.0,HOLD,4 - Mid
0,AEGR,ADVENT INTERNATIONAL CORP,SHR,2014-06-30,14344000,447001,32.0,ADVENT INTERNATIONAL CORP,SHR,2014-03-31,22952000,497001,46.0,-50000,-14.0,HOLD,4 - Mid
0,AEGR,ADVENT INTERNATIONAL CORP,SHR,2014-09-30,14921000,447001,33.0,ADVENT INTERNATIONAL CORP,SHR,2014-06-30,14344000,447001,32.0,0,1.0,HOLD,4 - Mid
0,LULU,ADVENT INTERNATIONAL CORP,SHR,2014-12-31,117454000,20105279,5.0,ADVENT INTERNATIONAL CORP,SHR,2014-09-30,844623000,20105279,42.0,0,-37.0,HOLD,4 - Mid
1,AEGR,ADVENT INTERNATIONAL CORP,SHR,2014-12-31,7790000,372001,20.0,ADVENT INTERNATIONAL CORP,SHR,2014-09-30,14921000,447001,33.0,-75000,-13.0,HOLD,4 - Mid
0,LULU,ADVENT INTERNATIONAL CORP,SHR,2015-03-31,1287140000,20105279,64.0,ADVENT INTERNATIONAL CORP,SHR,2014-12-31,117454000,20105279,5.0,0,59.0,HOLD,4 - Mid
1,AEGR,ADVENT INTERNATIONAL CORP,SHR,2015-03-31,9081000,347001,26.0,ADVENT INTERNATIONAL CORP,SHR,2014-12-31,7790000,372001,20.0,-25000,6.0,HOLD,4 - Mid
0,LULU,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1312875000,20105279,65.0,ADVENT INTERNATIONAL CORP,SHR,2015-03-31,1287140000,20105279,64.0,0,1.0,HOLD,4 - Mid
1,AEGR,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,3756000,198001,18.0,ADVENT INTERNATIONAL CORP,SHR,2015-03-31,9081000,347001,26.0,-149000,-8.0,HOLD,4 - Mid
0,TRU,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,1817566000,72355340,25.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1816119000,72355340,25.0,0,0.0,HOLD,4 - Mid
1,LULU,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,1018333000,20105279,50.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1312875000,20105279,65.0,0,-15.0,HOLD,4 - Mid
2,BOJA,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,430211000,25456231,16.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,607386000,25456231,23.0,0,-7.0,HOLD,3 - Small
3,PRTY,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,357728000,22400000,15.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,454048000,22400000,20.0,0,-5.0,HOLD,3 - Small
4,PCP,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,3102000,13500,229.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1699000,8500,199.0,5000,30.0,BUY-MORE,5 - Large
5,TFM,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,2711000,120000,22.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1286000,40000,32.0,80000,-10.0,BUY-MORE,5 - Large
6,GWW,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,2581000,12000,215.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,2840000,12000,236.0,0,-21.0,BUY-MORE,5 - Large
7,ESRX,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,2381000,29400,80.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1512000,17000,88.0,12400,-8.0,HOLD,5 - Large
8,CAR,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,926000,21200,43.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,706000,16000,44.0,5200,-1.0,HOLD,5 - Large
9,LL,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,710000,54000,13.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,1119000,54000,20.0,0,-7.0,HOLD,4 - Mid
10,HTZ,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,452000,27000,16.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,490000,27000,18.0,0,-2.0,BUY-MORE,5 - Large
11,WFM,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,222000,7000,31.0,ADVENT INTERNATIONAL CORP,SHR,2015-06-30,277000,7000,39.0,0,-8.0,HOLD,4 - Mid
0,TRU,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,1993387000,72302758,27.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,1817566000,72355340,25.0,-52582,2.0,HOLD,4 - Mid
1,LULU,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,1054924000,20105279,52.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,1018333000,20105279,50.0,0,2.0,HOLD,4 - Mid
2,BOJA,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,403990000,25456231,15.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,430211000,25456231,16.0,0,-1.0,HOLD,3 - Small
3,PRTY,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,289184000,22400000,12.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,357728000,22400000,15.0,0,-3.0,HOLD,3 - Small
4,PCP,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,3132000,13500,232.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,3102000,13500,229.0,0,3.0,BUY-MORE,5 - Large
5,FIVE,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,2889000,90000,32.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,3023000,90000,33.0,0,-1.0,BUY-MORE,5 - Large
6,ESRX,ADVENT INTERNATIONAL CORP,SHR,2015-12-31,2570000,29400,87.0,ADVENT INTERNATIONAL CORP,SHR,2015-09-30,2381000,29400,80.0,0,7.0,BUY-MORE,5 - Large
