,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,VTI,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,1549438000,17677558,87.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,1172408000,14181779,82.0,3495779,5.0,,
1,BND,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,1419925000,17555947,80.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,742876000,9184915,80.0,8371032,0.0,SELL-PARTIAL,6 - Mega
2,VOO,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,991094000,12871348,77.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,933070000,12722528,73.0,148820,4.0,SELL-PARTIAL,5 - Large
3,VGK,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,633048000,11615566,54.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,376819000,7829202,48.0,3786364,6.0,HOLD,6 - Mega
4,BSV,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,481558000,5991762,80.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,703971000,8791939,80.0,-2800177,0.0,HOLD,6 - Mega
5,VPL,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,445970000,7342284,60.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,274998000,4925630,55.0,2416654,5.0,HOLD,5 - Large
6,BIV,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,409998000,4910158,83.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,452105000,5414944,83.0,-504786,0.0,HOLD,4 - Mid
7,VWO,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,266211000,6632888,40.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,263494000,6791969,38.0,-159081,2.0,HOLD,5 - Large
8,JNK,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,236276000,5929875,39.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,275524000,6977062,39.0,-1047187,0.0,HOLD,5 - Large
9,VXF,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,219101000,2841038,77.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,242279000,3469553,69.0,-628515,8.0,SELL-PARTIAL,5 - Large
10,VTV,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,177116000,2537843,69.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,140129000,2072612,67.0,465231,2.0,HOLD,5 - Large
11,VUG,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,176419000,2085081,84.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,136279000,1743811,78.0,341270,6.0,HOLD,5 - Large
12,HYG,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,141274000,1542632,91.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,173828000,1912723,90.0,-370091,1.0,HOLD,5 - Large
13,VEA,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,125347000,3166938,39.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,46627000,1309737,35.0,1857201,4.0,SELL-PARTIAL,4 - Mid
14,VMBS,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,118967000,2312275,51.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,178684000,3500860,51.0,-1188585,0.0,SELL-PARTIAL,5 - Large
15,BLV,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,75545000,909964,83.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,191068000,2243640,85.0,-1333676,-2.0,HOLD,5 - Large
16,VGSH,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,60404000,991848,60.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,41821000,687619,60.0,304229,0.0,HOLD,5 - Large
17,RWX,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,54557000,1294977,42.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,9192000,230379,39.0,1064598,3.0,BUY-MORE,4 - Mid
18,CWB,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,54151000,1198027,45.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,40741000,954560,42.0,243467,3.0,HOLD,5 - Large
19,LQD,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,53871000,474551,113.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,32696000,287689,113.0,186862,0.0,SELL-PARTIAL,5 - Large
20,VB,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-09-30,44788000,437000,102.0,AEGON USA INVESTMENT MANAGEMENT LLC,FND,2013-06-30,35901000,383103,93.0,53897,9.0,HOLD,5 - Large
21,DYN,AEGON USA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,36220000,1874731,19.0,AEGON USA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,41969000,1861172,22.0,13559,-3.0,HOLD,5 - Large
22,INTC,AEGON USA INVESTMENT MANAGEMENT LLC,DBT,2013-09-30,16786000,14500000,1.0,AEGON USA INVESTMENT MANAGEMENT LLC,DBT,2013-06-30,17082000,14500000,1.0,0,0.0,HOLD,5 - Large
23,GILD,AEGON USA INVESTMENT MANAGEMENT LLC,DBT,2013-09-30,16628000,6000000,2.0,AEGON USA INVESTMENT MANAGEMENT LLC,DBT,2013-06-30,16988000,7500000,2.0,-1500000,0.0,SELL-PARTIAL,5 - Large
