,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ALV,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,914190000,7762500,117.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,795271000,7862500,101.0,-100000,16.0,SELL-PARTIAL,6 - Mega
1,TJX,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,802811000,11460538,70.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,586629000,8571438,68.0,2889100,2.0,BUY-MORE,6 - Mega
2,LB,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,781476000,8288000,94.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,707989000,8220000,86.0,68000,8.0,BUY-MORE,5 - Large
3,GOOGL,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,726657000,1310000,554.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,661071000,1235000,535.0,75000,19.0,HOLD,6 - Mega
4,WFC,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,701760000,12900000,54.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,310352000,5600000,55.0,7300000,-1.0,BUY-MORE,5 - Large
5,IBM,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,377978000,2355000,160.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,256961000,1605000,160.0,750000,0.0,HOLD,6 - Mega
6,CL,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,349127000,5035000,69.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,352601000,5035000,70.0,0,-1.0,HOLD,5 - Large
7,MJN,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,342199000,3403948,100.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,325950000,3212600,101.0,191348,-1.0,SELL-PARTIAL,5 - Large
8,BWA,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,340260000,5626000,60.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,127960000,2311000,55.0,3315000,5.0,HOLD,5 - Large
9,HSIC,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,340254000,2437000,139.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,301041000,2187000,137.0,250000,2.0,SELL-PARTIAL,5 - Large
10,ROK,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,319668000,2756000,115.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,121969000,1086000,112.0,1670000,3.0,BUY-MORE,5 - Large
11,DE,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2015-03-31,315246000,3595000,87.0,ALECTA PENSIONSFORSAKRING OMSESIDIGT,SHR,2014-12-31,321573000,3595000,89.0,0,-2.0,BUY-MORE,5 - Large
