,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,V,ALLEGHANY CORP,SHR,2013-09-30,183457000,960000,191.0,ALLEGHANY CORP,SHR,2013-06-30,175441000,960000,182.0,0,9.0,HOLD,6 - Mega
1,AAPL,ALLEGHANY CORP,SHR,2013-09-30,150176000,315000,476.0,ALLEGHANY CORP,SHR,2013-06-30,124794000,315000,396.0,0,80.0,HOLD,6 - Mega
2,OXY,ALLEGHANY CORP,SHR,2013-09-30,107571000,1150000,93.0,ALLEGHANY CORP,SHR,2013-06-30,174000000,1950000,89.0,-800000,4.0,HOLD,6 - Mega
3,BA,ALLEGHANY CORP,SHR,2013-09-30,94761000,806470,117.0,ALLEGHANY CORP,SHR,2013-06-30,82614000,806470,102.0,0,15.0,SELL-PARTIAL,5 - Large
4,APA,ALLEGHANY CORP,SHR,2013-09-30,85140000,1000000,85.0,ALLEGHANY CORP,SHR,2013-06-30,167661000,2000000,83.0,-1000000,2.0,HOLD,5 - Large
5,HES,ALLEGHANY CORP,SHR,2013-09-30,79467000,1027500,77.0,ALLEGHANY CORP,SHR,2013-06-30,132980000,2000000,66.0,-972500,11.0,HOLD,5 - Large
6,DVN,ALLEGHANY CORP,SHR,2013-09-30,75088000,1300000,57.0,ALLEGHANY CORP,SHR,2013-06-30,93384000,1800000,51.0,-500000,6.0,BUY-MORE,6 - Mega
7,APD,ALLEGHANY CORP,SHR,2013-09-30,69271000,650000,106.0,ALLEGHANY CORP,SHR,2013-06-30,59520000,650000,91.0,0,15.0,SELL-PARTIAL,6 - Mega
8,TROX,ALLEGHANY CORP,SHR,2013-09-30,67021000,2738955,24.0,ALLEGHANY CORP,SHR,2013-06-30,66759000,3313151,20.0,-574196,4.0,HOLD,4 - Mid
9,PM,ALLEGHANY CORP,SHR,2013-09-30,66241000,765000,86.0,ALLEGHANY CORP,SHR,2013-06-30,1299000,15000,86.0,750000,0.0,SELL-PARTIAL,4 - Mid
10,FCX,ALLEGHANY CORP,SHR,2013-09-30,66160000,2000000,33.0,ALLEGHANY CORP,SHR,2013-06-30,55220000,2000000,27.0,0,6.0,SELL-PARTIAL,5 - Large
11,MCK,ALLEGHANY CORP,SHR,2013-09-30,57734000,450000,128.0,ALLEGHANY CORP,SHR,2013-06-30,35494000,310000,114.0,140000,14.0,HOLD,5 - Large
12,INTC,ALLEGHANY CORP,SHR,2013-09-30,57138000,2485000,22.0,ALLEGHANY CORP,SHR,2013-06-30,60199000,2485000,24.0,0,-2.0,BUY-MORE,5 - Large
13,WMT,ALLEGHANY CORP,SHR,2013-09-30,54360000,735000,73.0,ALLEGHANY CORP,SHR,2013-06-30,2607000,35000,74.0,700000,-1.0,HOLD,4 - Mid
14,DG,ALLEGHANY CORP,SHR,2013-09-30,53636000,950000,56.0,ALLEGHANY CORP,SHR,2013-06-30,30258000,600000,50.0,350000,6.0,HOLD,5 - Large
15,WFC,ALLEGHANY CORP,SHR,2013-09-30,49998000,1210000,41.0,ALLEGHANY CORP,SHR,2013-06-30,49936000,1210000,41.0,0,0.0,SELL-PARTIAL,6 - Mega
