,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,PFE,ALLIANCE TRUST PLC,SHR,2013-09-30,105714000,3682130,28.0,ALLIANCE TRUST PLC,SHR,2013-06-30,110821000,3950830,28.0,-268700,0.0,SELL-PARTIAL,6 - Mega
1,RTX,ALLIANCE TRUST PLC,SHR,2013-09-30,101694000,943535,107.0,ALLIANCE TRUST PLC,SHR,2013-06-30,87683000,943535,92.0,0,15.0,SELL-PARTIAL,6 - Mega
2,QCOM,ALLIANCE TRUST PLC,SHR,2013-09-30,93589000,1389800,67.0,ALLIANCE TRUST PLC,SHR,2013-06-30,84889000,1389800,61.0,0,6.0,SELL-PARTIAL,5 - Large
3,DIS,ALLIANCE TRUST PLC,SHR,2013-09-30,89782000,1391750,64.0,ALLIANCE TRUST PLC,SHR,2013-06-30,87931000,1391750,63.0,0,1.0,SELL-PARTIAL,5 - Large
4,EPD,ALLIANCE TRUST PLC,SHR,2013-09-30,79930000,1310114,61.0,ALLIANCE TRUST PLC,SHR,2013-06-30,81384000,1310114,62.0,0,-1.0,SELL-PARTIAL,6 - Mega
5,V,ALLIANCE TRUST PLC,SHR,2013-09-30,71417000,373303,191.0,ALLIANCE TRUST PLC,SHR,2013-06-30,47117000,258103,182.0,115200,9.0,BUY-MORE,6 - Mega
6,ESRX,ALLIANCE TRUST PLC,SHR,2013-09-30,65387000,1058379,61.0,ALLIANCE TRUST PLC,SHR,2013-06-30,65302000,1058379,61.0,0,0.0,BUY-MORE,5 - Large
7,CVS,ALLIANCE TRUST PLC,SHR,2013-09-30,63174000,1113000,56.0,ALLIANCE TRUST PLC,SHR,2013-06-30,63619000,1113000,57.0,0,-1.0,BUY-MORE,5 - Large
8,WFC,ALLIANCE TRUST PLC,SHR,2013-09-30,57542000,1392600,41.0,ALLIANCE TRUST PLC,SHR,2013-06-30,57459000,1392600,41.0,0,0.0,BUY-MORE,5 - Large
9,DHR,ALLIANCE TRUST PLC,SHR,2013-09-30,55375000,798600,69.0,ALLIANCE TRUST PLC,SHR,2013-06-30,50535000,798600,63.0,0,6.0,SELL-PARTIAL,5 - Large
10,KRFT,ALLIANCE TRUST PLC,SHR,2013-09-30,55031000,1049201,52.0,ALLIANCE TRUST PLC,SHR,2013-06-30,58566000,1049201,55.0,0,-3.0,BUY-MORE,5 - Large
11,NBL,ALLIANCE TRUST PLC,SHR,2013-09-30,49434000,737718,67.0,ALLIANCE TRUST PLC,SHR,2013-06-30,44285000,737718,60.0,0,7.0,BUY-MORE,5 - Large
12,TPR,ALLIANCE TRUST PLC,SHR,2013-09-30,46215000,847200,54.0,ALLIANCE TRUST PLC,SHR,2013-06-30,48350000,847200,57.0,0,-3.0,SELL-PARTIAL,6 - Mega
13,PX,ALLIANCE TRUST PLC,SHR,2013-09-30,40106000,333800,120.0,ALLIANCE TRUST PLC,SHR,2013-06-30,30878000,268200,115.0,65600,5.0,SELL-PARTIAL,5 - Large
14,MON,ALLIANCE TRUST PLC,SHR,2013-09-30,36408000,348773,104.0,ALLIANCE TRUST PLC,SHR,2013-06-30,34427000,348773,98.0,0,6.0,SELL-PARTIAL,6 - Mega
15,LBTYA,ALLIANCE TRUST PLC,SHR,2013-09-30,35523000,447678,79.0,ALLIANCE TRUST PLC,SHR,2013-06-30,32971000,447678,73.0,0,6.0,HOLD,5 - Large
16,CMI,ALLIANCE TRUST PLC,SHR,2013-09-30,34413000,258900,132.0,ALLIANCE TRUST PLC,SHR,2013-06-30,28129000,258900,108.0,0,24.0,SELL-PARTIAL,5 - Large
17,SLB,ALLIANCE TRUST PLC,SHR,2013-09-30,32836000,371449,88.0,ALLIANCE TRUST PLC,SHR,2013-06-30,26599000,371449,71.0,0,17.0,BUY-MORE,5 - Large
