,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DTV1,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,226749000,2664500,85.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,196180000,2262745,86.0,401755,-1.0,BUY-MORE,4 - Mid
1,DTV1,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,226749000,2664500,85.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,10413000,120100,86.0,2544400,-1.0,BUY-MORE,5 - Large
2,DTV1,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,8510000,100000,85.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,196180000,2262745,86.0,-2162745,-1.0,BUY-MORE,4 - Mid
3,DTV1,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,8510000,100000,85.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,10413000,120100,86.0,-20100,-1.0,BUY-MORE,4 - Mid
4,TRW,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,200452000,1911800,104.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,165086000,1605117,102.0,306683,2.0,SELL-PARTIAL,4 - Mid
5,SIAL,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,148426000,1073600,138.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,89624000,652900,137.0,420700,1.0,BUY-MORE,4 - Mid
6,FDO,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,139359000,1758700,79.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,121350000,1532000,79.0,226700,0.0,SELL-PARTIAL,3 - Small
7,FDO,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,139359000,1758700,79.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,13862000,175000,79.0,1583700,0.0,BUY-MORE,4 - Mid
8,FDO,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,139359000,1758700,79.0,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2014-12-31,2590000,32700,79.0,1726000,0.0,BUY-MORE,5 - Large
9,LO,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,100280000,1534500,65.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,26717000,424488,62.0,1110012,3.0,BUY-MORE,4 - Mid
10,LO,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,100280000,1534500,65.0,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2014-12-31,6294000,100000,62.0,1434500,3.0,BUY-MORE,6 - Mega
11,SUSQ,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,91814000,6696800,13.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,49624000,3694987,13.0,3001813,0.0,BUY-MORE,5 - Large
12,HCBK,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,69168000,6600200,10.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,51977000,5136023,10.0,1464177,0.0,BUY-MORE,4 - Mid
13,IGT1,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,68634000,3942200,17.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,75131000,4355400,17.0,-413200,0.0,BUY-MORE,3 - Small
14,DRC,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,50162000,624300,80.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,21831000,266884,81.0,357416,-1.0,BUY-MORE,4 - Mid
15,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,49395000,6431500,7.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,32788000,4187500,7.0,2244000,0.0,BUY-MORE,3 - Small
16,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,49395000,6431500,7.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,1066000,136100,7.0,6295400,0.0,BUY-MORE,3 - Small
17,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,49395000,6431500,7.0,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2014-12-31,649000,82900,7.0,6348600,0.0,SELL-PARTIAL,3 - Small
18,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,1045000,136100,7.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,32788000,4187500,7.0,-4051400,0.0,SELL-PARTIAL,5 - Large
19,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,1045000,136100,7.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,1066000,136100,7.0,0,0.0,HOLD,5 - Large
20,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,1045000,136100,7.0,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2014-12-31,649000,82900,7.0,53200,0.0,HOLD,4 - Mid
21,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,637000,82900,7.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,32788000,4187500,7.0,-4104600,0.0,BUY-MORE,4 - Mid
22,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,637000,82900,7.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,1066000,136100,7.0,-53200,0.0,BUY-MORE,3 - Small
23,TLSMF,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,637000,82900,7.0,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2014-12-31,649000,82900,7.0,0,0.0,SELL-PARTIAL,4 - Mid
24,RVBD,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,44246000,2116007,20.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,35264000,1727800,20.0,388207,0.0,BUY-MORE,4 - Mid
25,TWC,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,42191000,281500,149.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,34442000,226500,152.0,55000,-3.0,BUY-MORE,3 - Small
26,TWC,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,42191000,281500,149.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,5094000,33500,152.0,248000,-3.0,HOLD,4 - Mid
27,TWC,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,37996000,253500,149.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,34442000,226500,152.0,27000,-3.0,HOLD,4 - Mid
28,TWC,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,37996000,253500,149.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,5094000,33500,152.0,220000,-3.0,SELL-PARTIAL,5 - Large
29,WCC,ALPINE ASSOCIATES MANAGEMENT INC,DBT,2015-03-31,37060000,15000000,2.0,ALPINE ASSOCIATES MANAGEMENT INC,DBT,2014-12-31,40350000,15000000,2.0,0,0.0,HOLD,3 - Small
30,T,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,36800000,1127100,32.0,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2014-12-31,37859000,1127100,33.0,0,-1.0,SELL-PARTIAL,5 - Large
31,T,ALPINE ASSOCIATES MANAGEMENT INC,PUT,2015-03-31,36800000,1127100,32.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,679000,20200,33.0,1106900,-1.0,HOLD,5 - Large
32,POM,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,27596000,1028579,26.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,30759000,1142200,26.0,-113621,0.0,HOLD,4 - Mid
33,AMAT,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,20022000,887500,22.0,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2014-12-31,17319000,695000,24.0,192500,-2.0,SELL-PARTIAL,5 - Large
34,AMAT,ALPINE ASSOCIATES MANAGEMENT INC,CLL,2015-03-31,20022000,887500,22.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,3080000,123600,24.0,763900,-2.0,BUY-MORE,5 - Large
35,LBTYA,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,19308000,387627,49.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,42214000,869500,48.0,-481873,1.0,BUY-MORE,4 - Mid
36,TEG,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,18646000,258900,72.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,20155000,258900,77.0,0,-5.0,BUY-MORE,5 - Large
37,MDT,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2015-03-31,17729000,227341,77.0,ALPINE ASSOCIATES MANAGEMENT INC,SHR,2014-12-31,274000,3800,72.0,223541,5.0,HOLD,3 - Small
