,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GOOGL,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,348066000,629019,553.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,334242000,630874,529.0,-1855,24.0,BUY-MORE,6 - Mega
1,JNJ,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,221291000,2199707,100.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,233508000,2233031,104.0,-33324,-4.0,BUY-MORE,6 - Mega
2,VZ,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,182775000,3758485,48.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,176830000,3780043,46.0,-21558,2.0,SELL-PARTIAL,6 - Mega
3,GILD,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,176490000,1798537,98.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,203007000,2153689,94.0,-355152,4.0,SELL-PARTIAL,
4,ORCL,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,151852000,3519177,43.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,164746000,3663464,44.0,-144287,-1.0,BUY-MORE,6 - Mega
5,CSCO,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,137372000,4990819,27.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,139554000,5017214,27.0,-26395,0.0,BUY-MORE,6 - Mega
6,BRK.B,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,136582000,946382,144.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,154930000,1031833,150.0,-85451,-6.0,SELL-PARTIAL,6 - Mega
7,PEP,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,134306000,1404576,95.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,135298000,1430813,94.0,-26237,1.0,SELL-PARTIAL,6 - Mega
8,MRK,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,132642000,2307616,57.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,114350000,2013565,56.0,294051,1.0,BUY-MORE,6 - Mega
9,AMGN,AMF PENSIONSFORSAKRING AB,SHR,2015-03-31,129431000,809701,159.0,AMF PENSIONSFORSAKRING AB,SHR,2014-12-31,130340000,818253,159.0,-8552,0.0,SELL-PARTIAL,6 - Mega
