,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GM,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,15456000,429690,35.0,ANCHOR BOLT CAPITAL LP,CLL,2013-06-30,15283000,458800,33.0,-29110,2.0,SELL-PARTIAL,5 - Large
1,GM,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,15456000,429690,35.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,6195000,185989,33.0,243701,2.0,BUY-MORE,4 - Mid
2,GM,ANCHOR BOLT CAPITAL LP,CLL,2013-09-30,15442000,429300,35.0,ANCHOR BOLT CAPITAL LP,CLL,2013-06-30,15283000,458800,33.0,-29500,2.0,SELL-PARTIAL,5 - Large
3,GM,ANCHOR BOLT CAPITAL LP,CLL,2013-09-30,15442000,429300,35.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,6195000,185989,33.0,243311,2.0,SELL-PARTIAL,4 - Mid
4,NBL,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,12487000,186349,67.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,9628000,160366,60.0,25983,7.0,SELL-PARTIAL,4 - Mid
5,AGCO,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,12036000,199200,60.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,8480000,168956,50.0,30244,10.0,BUY-MORE,4 - Mid
6,TRN,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,11846000,261214,45.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,9835000,255865,38.0,5349,7.0,SELL-PARTIAL,4 - Mid
7,GPK,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,11513000,1345016,8.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,8242000,1064877,7.0,280139,1.0,BUY-MORE,4 - Mid
8,EOG,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,10224000,60396,169.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,7089000,53838,131.0,6558,38.0,SELL-PARTIAL,5 - Large
9,LYB,ANCHOR BOLT CAPITAL LP,SHR,2013-09-30,10040000,137107,73.0,ANCHOR BOLT CAPITAL LP,SHR,2013-06-30,4855000,73276,66.0,63831,7.0,SELL-PARTIAL,5 - Large
