,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPG,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,958975000,6469509,148.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,1046067000,6624030,157.0,-154521,-9.0,BUY-MORE,5 - Large
1,EQR,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,660869000,12336557,53.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,734224000,12645953,58.0,-309396,-5.0,SELL-PARTIAL,5 - Large
2,PSA,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,651034000,4055023,160.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,632826000,4127219,153.0,-72196,7.0,HOLD,5 - Large
3,HST,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,613491000,34719329,17.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,593444000,35177455,16.0,-458126,1.0,BUY-MORE,5 - Large
4,VTR,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,608619000,9896248,61.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,694572000,9999598,69.0,-103350,-8.0,HOLD,5 - Large
5,AVB,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,598738000,4711137,127.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,640881000,4750433,134.0,-39296,-7.0,SELL-PARTIAL,5 - Large
6,PLD,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,585032000,15551077,37.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,583659000,15473460,37.0,77617,0.0,SELL-PARTIAL,5 - Large
7,VNO,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,540680000,6432067,84.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,536708000,6478070,82.0,-46003,2.0,HOLD,5 - Large
8,BXP,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,495354000,4633804,106.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,492130000,4666066,105.0,-32262,1.0,HOLD,5 - Large
9,KIM,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,398351000,19739870,20.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,426256000,19890600,21.0,-150730,-1.0,HOLD,5 - Large
10,ARE,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,346112000,5420703,63.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,362207000,5511366,65.0,-90663,-2.0,BUY-MORE,5 - Large
11,DLR,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,283236000,5334010,53.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,328170000,5379837,60.0,-45827,-7.0,HOLD,5 - Large
12,SKT,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,228840000,7008871,32.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,237467000,7097049,33.0,-88178,-1.0,BUY-MORE,5 - Large
13,OFC,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,207428000,8979562,23.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,235159000,9221938,25.0,-242376,-2.0,SELL-PARTIAL,5 - Large
14,REG,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,202401000,4186170,48.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,215089000,4233210,50.0,-47040,-2.0,SELL-PARTIAL,5 - Large
15,DEI,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,151761000,6466178,23.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,161331000,6466178,24.0,0,-1.0,SELL-PARTIAL,2 - Micro
16,PEAK,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,130990000,3198777,40.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,134536000,2960739,45.0,238038,-5.0,BUY-MORE,4 - Mid
17,GGP,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,105407000,5464348,19.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,108298000,5450306,19.0,14042,0.0,SELL-PARTIAL,5 - Large
18,WELL,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,91036000,1459381,62.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,136412000,2035091,67.0,-575710,-5.0,HOLD,5 - Large
19,EXR,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,69877000,1527377,45.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,74871000,1785623,41.0,-258246,4.0,HOLD,4 - Mid
20,SLG,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,63069000,709918,88.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,91729000,1040130,88.0,-330212,0.0,HOLD,4 - Mid
21,SITC,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,58667000,3734371,15.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,69192000,4155660,16.0,-421289,-1.0,HOLD,5 - Large
22,KRC,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,54116000,1083400,49.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,67254000,1268703,53.0,-185303,-4.0,HOLD,4 - Mid
23,ESS,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,51209000,346707,147.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,61204000,385127,158.0,-38420,-11.0,HOLD,4 - Mid
24,FCE.A,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,50605000,2671847,18.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,54574000,3047141,17.0,-375294,1.0,SELL-PARTIAL,4 - Mid
25,O,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,44444000,1118076,39.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,42702000,1018650,41.0,99426,-2.0,HOLD,4 - Mid
26,MAA,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,43306000,692892,62.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,43983000,649000,67.0,43892,-5.0,BUY-MORE,5 - Large
27,SHO,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,40774000,3200455,12.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,45422000,3760076,12.0,-559621,0.0,HOLD,5 - Large
28,PPS,APG ASSET MANAGEMENT US INC,SHR,2013-09-30,35352000,785243,45.0,APG ASSET MANAGEMENT US INC,SHR,2013-06-30,40468000,817700,49.0,-32457,-4.0,SELL-PARTIAL,4 - Mid
