,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,LYB,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,2174607000,29695566,73.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,4684291000,70695600,66.0,-41000034,7.0,HOLD,4 - Mid
1,NCLH,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,1780878000,57727000,30.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,2011129000,66352009,30.0,-8625009,0.0,HOLD,4 - Mid
2,RXN,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,1145644000,55079045,20.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,928082000,55079045,16.0,0,4.0,SELL-PARTIAL,5 - Large
3,TAM,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,950846000,46839717,20.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,955062000,46839717,20.0,0,0.0,HOLD,3 - Small
4,BERY,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,661222000,33110767,19.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,1073152000,48624914,22.0,-15514147,-3.0,HOLD,4 - Mid
5,CZR,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,521428000,26495302,19.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,362986000,26495302,13.0,0,6.0,BUY-MORE,4 - Mid
6,EVTC,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,204460000,9205743,22.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,505629000,23014502,21.0,-13808759,1.0,SELL-PARTIAL,4 - Mid
7,SPY,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,117607000,700000,168.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,513344000,3200000,160.0,-2500000,8.0,HOLD,4 - Mid
8,SPY,APOLLO MANAGEMENT HOLDINGS LP,FND,2013-09-30,54603000,325000,168.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,513344000,3200000,160.0,-2875000,8.0,HOLD,3 - Small
9,NORNQ,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,80786000,32840000,2.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,106073000,32840000,3.0,0,-1.0,HOLD,3 - Small
10,TLH,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,64106000,700000,91.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,27264000,300000,90.0,400000,1.0,SELL-PARTIAL,3 - Small
11,AEL,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,51076000,2578289,19.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,40479000,2578289,15.0,0,4.0,HOLD,3 - Small
12,CORE,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,33191000,499562,66.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,31722000,499562,63.0,0,3.0,HOLD,3 - Small
13,VRSZQ,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,24522000,32265502,0.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,37105000,32265502,1.0,0,-1.0,SELL-PARTIAL,4 - Mid
14,NAV,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,12538000,343700,36.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,9541000,343700,27.0,0,9.0,HOLD,3 - Small
15,NOK,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,9764000,1500000,6.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,5610000,15000,374.0,1485000,-368.0,HOLD,3 - Small
16,CLF,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,6150000,300000,20.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,1625000,100000,16.0,200000,4.0,SELL-PARTIAL,4 - Mid
17,DNB3,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,5193000,50000,103.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,14618000,150000,97.0,-100000,6.0,HOLD,3 - Small
18,RSH,APOLLO MANAGEMENT HOLDINGS LP,CLL,2013-09-30,3674000,1077300,3.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,803000,254000,3.0,823300,0.0,HOLD,4 - Mid
19,RSH,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,2197000,644341,3.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-06-30,803000,254000,3.0,390341,0.0,SELL-PARTIAL,4 - Mid
20,GLCH,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,3438000,250000,13.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,1136000,81875,13.0,168125,0.0,BUY-MORE,4 - Mid
21,DS,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,1967000,350000,5.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,2615000,500000,5.0,-150000,0.0,SELL-PARTIAL,5 - Large
22,INTEQ,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,960000,40000,24.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,2286000,57150,40.0,-17150,-16.0,SELL-PARTIAL,5 - Large
23,BKTI,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,491000,188971,2.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,567000,188971,3.0,0,-1.0,BUY-MORE,5 - Large
24,DAL,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,443000,22446,19.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-06-30,420000,22446,18.0,0,1.0,BUY-MORE,5 - Large
0,SFM,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,1995148000,51916414,38.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,2742105000,61770735,44.0,-9854321,-6.0,HOLD,4 - Mid
1,NCLH,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,1711055000,48239500,35.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,1780878000,57727000,30.0,-9487500,5.0,HOLD,4 - Mid
2,ATHL,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,1628650000,53839672,30.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,1760557000,53839672,32.0,0,-2.0,SELL-PARTIAL,5 - Large
3,RXN,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,1487685000,55079045,27.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,1145644000,55079045,20.0,0,7.0,HOLD,3 - Small
4,BERY,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,787705000,33110767,23.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,661222000,33110767,19.0,0,4.0,HOLD,4 - Mid
5,TAM,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,745448000,36885130,20.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,950846000,46839717,20.0,-9954587,0.0,BUY-MORE,4 - Mid
6,CZR,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,570709000,26495302,21.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,521428000,26495302,19.0,0,2.0,SELL-PARTIAL,4 - Mid
7,SPY,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-12-31,134824000,730000,184.0,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-09-30,117607000,700000,168.0,30000,16.0,HOLD,4 - Mid
8,SPY,APOLLO MANAGEMENT HOLDINGS LP,PUT,2013-12-31,134824000,730000,184.0,APOLLO MANAGEMENT HOLDINGS LP,FND,2013-09-30,54603000,325000,168.0,405000,16.0,HOLD,3 - Small
9,NORNQ,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-12-31,108044000,32840000,3.0,APOLLO MANAGEMENT HOLDINGS LP,SHR,2013-09-30,80786000,32840000,2.0,0,1.0,HOLD,3 - Small
