,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SNV,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,55283000,16752537,3.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,32385000,11090949,2.0,5661588,1.0,SELL-PARTIAL,5 - Large
1,WFC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,51079000,1236197,41.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,51018000,1236197,41.0,0,0.0,HOLD,6 - Mega
2,BAC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,42354000,3069086,13.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,40938000,3183351,12.0,-114265,1.0,BUY-MORE,4 - Mid
3,USB,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,42142000,1152064,36.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,41647000,1152064,36.0,0,0.0,BUY-MORE,3 - Small
4,JPM,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,41977000,812098,51.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,43810000,829906,52.0,-17808,-1.0,BUY-MORE,6 - Mega
5,JPM,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,41977000,812098,51.0,BASSWOOD CAPITAL MANAGEMENT LLC,WNT,2013-06-30,6934000,444500,15.0,367598,36.0,BUY-MORE,5 - Large
6,JPM,BASSWOOD CAPITAL MANAGEMENT LLC,WNT,2013-09-30,14218000,848349,16.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,43810000,829906,52.0,18443,-36.0,BUY-MORE,5 - Large
7,JPM,BASSWOOD CAPITAL MANAGEMENT LLC,WNT,2013-09-30,14218000,848349,16.0,BASSWOOD CAPITAL MANAGEMENT LLC,WNT,2013-06-30,6934000,444500,15.0,403849,1.0,HOLD,5 - Large
8,BK,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,40323000,1335625,30.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,30939000,1102965,28.0,232660,2.0,BUY-MORE,4 - Mid
9,BDC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,39266000,613054,64.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,31994000,640765,49.0,-27711,15.0,BUY-MORE,6 - Mega
10,CIT,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,36677000,752038,48.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,30338000,650615,46.0,101423,2.0,BUY-MORE,4 - Mid
11,C,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,35649000,734887,48.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,28833000,601076,47.0,133811,1.0,HOLD,3 - Small
12,PVTB,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,35067000,1638659,21.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,31016000,1461252,21.0,177407,0.0,BUY-MORE,4 - Mid
13,HVB,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,33969000,1808789,18.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,29272000,1723906,16.0,84883,2.0,SELL-PARTIAL,3 - Small
14,FNBC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,32964000,1352059,24.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,21577000,884295,24.0,467764,0.0,SELL-PARTIAL,5 - Large
15,MS,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,31989000,1186937,26.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,23231000,950910,24.0,236027,2.0,BUY-MORE,3 - Small
16,STT,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,30101000,457796,65.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,22996000,352651,65.0,105145,0.0,BUY-MORE,5 - Large
17,GHL,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,29499000,591400,49.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,23622000,516447,45.0,74953,4.0,BUY-MORE,5 - Large
18,WTFC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,29428000,716556,41.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,25019000,653575,38.0,62981,3.0,SELL-PARTIAL,3 - Small
19,HOG,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,29179000,454214,64.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,24900000,454214,54.0,0,10.0,SELL-PARTIAL,3 - Small
20,LION,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,27962000,1822756,15.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,23771000,1921775,12.0,-99019,3.0,HOLD,5 - Large
21,WCC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,26934000,351944,76.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,23746000,349410,67.0,2534,9.0,BUY-MORE,4 - Mid
22,AXE,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,25269000,288270,87.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,23005000,303460,75.0,-15190,12.0,BUY-MORE,4 - Mid
23,MHK,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,25229000,193700,130.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,21789000,193700,112.0,0,18.0,SELL-PARTIAL,5 - Large
24,CSL,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,23749000,337866,70.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,21052000,337866,62.0,0,8.0,BUY-MORE,4 - Mid
25,METR,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,22738000,1082223,21.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,19266000,961855,20.0,120368,1.0,SELL-PARTIAL,4 - Mid
26,FAF,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,22134000,909009,24.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,5742000,260533,22.0,648476,2.0,BUY-MORE,4 - Mid
27,CYN,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,20839000,312618,66.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,19962000,315007,63.0,-2389,3.0,SELL-PARTIAL,4 - Mid
28,FIS,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,20286000,436815,46.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,18714000,436815,42.0,0,4.0,HOLD,4 - Mid
29,FBNC,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,19750000,1366765,14.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,19328000,1370821,14.0,-4056,0.0,SELL-PARTIAL,2 - Micro
30,CMI,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,18977000,142824,132.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,16179000,149174,108.0,-6350,24.0,BUY-MORE,4 - Mid
31,CMA,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,18813000,478604,39.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,7583000,190377,39.0,288227,0.0,BUY-MORE,4 - Mid
32,CMA,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-09-30,18813000,478604,39.0,BASSWOOD CAPITAL MANAGEMENT LLC,WNT,2013-06-30,862000,62953,13.0,415651,26.0,SELL-PARTIAL,4 - Mid
33,CMA,BASSWOOD CAPITAL MANAGEMENT LLC,WNT,2013-09-30,1202000,86790,13.0,BASSWOOD CAPITAL MANAGEMENT LLC,SHR,2013-06-30,7583000,190377,39.0,-103587,-26.0,BUY-MORE,3 - Small
