,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MU,BAUPOST GROUP LLC,SHR,2013-09-30,1118016000,64000000,17.0,BAUPOST GROUP LLC,SHR,2013-06-30,594695000,41500000,14.0,22500000,3.0,HOLD,5 - Large
1,MU,BAUPOST GROUP LLC,SHR,2013-09-30,1118016000,64000000,17.0,BAUPOST GROUP LLC,DBT,2013-06-30,15196000,11367000,1.0,52633000,16.0,HOLD,5 - Large
2,MU,BAUPOST GROUP LLC,DBT,2013-09-30,18160000,11367000,1.0,BAUPOST GROUP LLC,SHR,2013-06-30,594695000,41500000,14.0,-30133000,-13.0,HOLD,4 - Mid
3,MU,BAUPOST GROUP LLC,DBT,2013-09-30,18160000,11367000,1.0,BAUPOST GROUP LLC,DBT,2013-06-30,15196000,11367000,1.0,0,0.0,BUY-MORE,5 - Large
4,INVA,BAUPOST GROUP LLC,SHR,2013-09-30,756519000,18510371,40.0,BAUPOST GROUP LLC,SHR,2013-06-30,637247000,16538977,38.0,1971394,2.0,SELL-PARTIAL,5 - Large
5,INVA,BAUPOST GROUP LLC,SHR,2013-09-30,756519000,18510371,40.0,BAUPOST GROUP LLC,DBT,2013-06-30,79429000,51000000,1.0,-32489629,39.0,SELL-PARTIAL,5 - Large
6,VSAT,BAUPOST GROUP LLC,SHR,2013-09-30,700040000,11000000,63.0,BAUPOST GROUP LLC,SHR,2013-06-30,786060000,11000000,71.0,0,-8.0,BUY-MORE,5 - Large
7,BP,BAUPOST GROUP LLC,SHR,2013-09-30,235262000,5597482,42.0,BAUPOST GROUP LLC,SHR,2013-06-30,776259000,18597482,41.0,-13000000,1.0,SELL-PARTIAL,5 - Large
8,IDIX,BAUPOST GROUP LLC,SHR,2013-09-30,153965000,29665693,5.0,BAUPOST GROUP LLC,SHR,2013-06-30,96629000,26767000,3.0,2898693,2.0,HOLD,5 - Large
9,TIVO,BAUPOST GROUP LLC,SHR,2013-09-30,118087000,6160000,19.0,BAUPOST GROUP LLC,SHR,2013-06-30,140694000,6160000,22.0,0,-3.0,SELL-PARTIAL,5 - Large
10,ORCL,BAUPOST GROUP LLC,SHR,2013-09-30,79173000,2386890,33.0,BAUPOST GROUP LLC,SHR,2013-06-30,73301000,2386890,30.0,0,3.0,BUY-MORE,5 - Large
