,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AKAM,BLUE HARBOUR GROUP LP,SHR,2013-09-30,165587000,3202837,51.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,132392000,3111437,42.0,91400,9.0,HOLD,5 - Large
1,WCN,BLUE HARBOUR GROUP LP,SHR,2013-09-30,164657000,6399428,25.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,135408000,6295128,21.0,104300,4.0,SELL-PARTIAL,4 - Mid
2,CACI,BLUE HARBOUR GROUP LP,SHR,2013-09-30,157743000,2282491,69.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,144915000,2282491,63.0,0,6.0,SELL-PARTIAL,5 - Large
3,BRCD,BLUE HARBOUR GROUP LP,SHR,2013-09-30,152854000,18988029,8.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,127307000,22101936,5.0,-3113907,3.0,BUY-MORE,4 - Mid
4,CHS,BLUE HARBOUR GROUP LP,SHR,2013-09-30,150033000,9005561,16.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,137788000,8076661,17.0,928900,-1.0,BUY-MORE,4 - Mid
5,MDRX,BLUE HARBOUR GROUP LP,SHR,2013-09-30,107991000,7262346,14.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,93394000,7217446,12.0,44900,2.0,BUY-MORE,4 - Mid
6,GSM1,BLUE HARBOUR GROUP LP,SHR,2013-09-30,99516000,6457876,15.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,69268000,6372376,10.0,85500,5.0,BUY-MORE,4 - Mid
7,NBR,BLUE HARBOUR GROUP LP,SHR,2013-09-30,95488000,5945687,16.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,81314000,5311187,15.0,634500,1.0,HOLD,4 - Mid
8,ATGE,BLUE HARBOUR GROUP LP,SHR,2013-09-30,73891000,2417890,30.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,29047000,936399,31.0,1481491,-1.0,SELL-PARTIAL,5 - Large
9,HTSI,BLUE HARBOUR GROUP LP,SHR,2013-09-30,29242000,594465,49.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,30084000,642000,46.0,-47535,3.0,SELL-PARTIAL,4 - Mid
10,SAPE,BLUE HARBOUR GROUP LP,SHR,2013-09-30,25884000,1662404,15.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,34168000,2616196,13.0,-953792,2.0,SELL-PARTIAL,5 - Large
11,DHX,BLUE HARBOUR GROUP LP,SHR,2013-09-30,24737000,2906834,8.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,26772000,2906834,9.0,0,-1.0,SELL-PARTIAL,4 - Mid
12,EIG,BLUE HARBOUR GROUP LP,SHR,2013-09-30,24165000,812529,29.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,51740000,2116140,24.0,-1303611,5.0,SELL-PARTIAL,4 - Mid
13,IM,BLUE HARBOUR GROUP LP,SHR,2013-09-30,18728000,812500,23.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,30859000,1625000,18.0,-812500,5.0,SELL-PARTIAL,4 - Mid
14,JACK,BLUE HARBOUR GROUP LP,SHR,2013-09-30,768000,19200,40.0,BLUE HARBOUR GROUP LP,SHR,2013-06-30,59411000,1512122,39.0,-1492922,1.0,SELL-PARTIAL,4 - Mid
0,CACI,BLUE HARBOUR GROUP LP,SHR,2013-12-31,180664000,2467414,73.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,157743000,2282491,69.0,184923,4.0,HOLD,5 - Large
1,WCN,BLUE HARBOUR GROUP LP,SHR,2013-12-31,173838000,7023770,24.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,164657000,6399428,25.0,624342,-1.0,SELL-PARTIAL,4 - Mid
2,CHS,BLUE HARBOUR GROUP LP,SHR,2013-12-31,173488000,9208473,18.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,150033000,9005561,16.0,202912,2.0,SELL-PARTIAL,5 - Large
3,AKAM,BLUE HARBOUR GROUP LP,SHR,2013-12-31,173325000,3673701,47.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,165587000,3202837,51.0,470864,-4.0,BUY-MORE,4 - Mid
4,BRCD,BLUE HARBOUR GROUP LP,SHR,2013-12-31,128480000,14484826,8.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,152854000,18988029,8.0,-4503203,0.0,BUY-MORE,4 - Mid
5,GSM1,BLUE HARBOUR GROUP LP,SHR,2013-12-31,125240000,6953899,18.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,99516000,6457876,15.0,496023,3.0,BUY-MORE,4 - Mid
6,MDRX,BLUE HARBOUR GROUP LP,SHR,2013-12-31,121808000,7878938,15.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,107991000,7262346,14.0,616592,1.0,BUY-MORE,4 - Mid
7,NBR,BLUE HARBOUR GROUP LP,SHR,2013-12-31,101017000,5945687,16.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,95488000,5945687,16.0,0,0.0,HOLD,4 - Mid
8,ATGE,BLUE HARBOUR GROUP LP,SHR,2013-12-31,92278000,2599375,35.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,73891000,2417890,30.0,181485,5.0,SELL-PARTIAL,5 - Large
9,DDC,BLUE HARBOUR GROUP LP,SHR,2013-12-31,33110000,2305689,14.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,21314000,1748500,12.0,557189,2.0,SELL-PARTIAL,4 - Mid
10,ENTG,BLUE HARBOUR GROUP LP,SHR,2013-12-31,27035000,2330628,11.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,23656000,2330628,10.0,0,1.0,SELL-PARTIAL,5 - Large
11,HTSI,BLUE HARBOUR GROUP LP,SHR,2013-12-31,26590000,538805,49.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,29242000,594465,49.0,-55660,0.0,SELL-PARTIAL,4 - Mid
12,DHX,BLUE HARBOUR GROUP LP,SHR,2013-12-31,6675000,920674,7.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,24737000,2906834,8.0,-1986160,-1.0,SELL-PARTIAL,4 - Mid
13,EIG,BLUE HARBOUR GROUP LP,SHR,2013-12-31,6321000,199700,31.0,BLUE HARBOUR GROUP LP,SHR,2013-09-30,24165000,812529,29.0,-612829,2.0,SELL-PARTIAL,4 - Mid
0,AKAM,BLUE HARBOUR GROUP LP,SHR,2014-03-31,213846000,3673701,58.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,173325000,3673701,47.0,0,11.0,HOLD,5 - Large
1,CACI,BLUE HARBOUR GROUP LP,SHR,2014-03-31,182095000,2467414,73.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,180664000,2467414,73.0,0,0.0,SELL-PARTIAL,4 - Mid
2,WCN,BLUE HARBOUR GROUP LP,SHR,2014-03-31,181541000,7172691,25.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,173838000,7023770,24.0,148921,1.0,SELL-PARTIAL,5 - Large
3,BWXT,BLUE HARBOUR GROUP LP,SHR,2014-03-31,173066000,5212834,33.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,37551000,1098300,34.0,4114534,-1.0,BUY-MORE,4 - Mid
4,GSM1,BLUE HARBOUR GROUP LP,SHR,2014-03-31,150322000,7220089,20.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,125240000,6953899,18.0,266190,2.0,BUY-MORE,4 - Mid
5,CHS,BLUE HARBOUR GROUP LP,SHR,2014-03-31,147612000,9208473,16.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,173488000,9208473,18.0,0,-2.0,BUY-MORE,4 - Mid
6,NBR,BLUE HARBOUR GROUP LP,SHR,2014-03-31,146561000,5945687,24.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,101017000,5945687,16.0,0,8.0,BUY-MORE,4 - Mid
7,MDRX,BLUE HARBOUR GROUP LP,SHR,2014-03-31,142057000,7878938,18.0,BLUE HARBOUR GROUP LP,SHR,2013-12-31,121808000,7878938,15.0,0,3.0,HOLD,4 - Mid
