,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,IWM,BRIGADE CAPITAL MANAGEMENT LP,PUT,2013-09-30,217484000,2040000,106.0,BRIGADE CAPITAL MANAGEMENT LP,PUT,2013-06-30,246450000,2500000,98.0,-460000,8.0,SELL-PARTIAL,5 - Large
1,IWM,BRIGADE CAPITAL MANAGEMENT LP,PUT,2013-09-30,217484000,2040000,106.0,BRIGADE CAPITAL MANAGEMENT LP,CLL,2013-06-30,153390000,1556000,98.0,484000,8.0,SELL-PARTIAL,5 - Large
2,IWM,BRIGADE CAPITAL MANAGEMENT LP,CLL,2013-09-30,90619000,850000,106.0,BRIGADE CAPITAL MANAGEMENT LP,PUT,2013-06-30,246450000,2500000,98.0,-1650000,8.0,BUY-MORE,5 - Large
3,IWM,BRIGADE CAPITAL MANAGEMENT LP,CLL,2013-09-30,90619000,850000,106.0,BRIGADE CAPITAL MANAGEMENT LP,CLL,2013-06-30,153390000,1556000,98.0,-706000,8.0,SELL-PARTIAL,5 - Large
4,DRYS,BRIGADE CAPITAL MANAGEMENT LP,DBT,2013-09-30,85478000,88463000,0.0,BRIGADE CAPITAL MANAGEMENT LP,DBT,2013-06-30,84501000,95213000,0.0,-6750000,0.0,SELL-PARTIAL,5 - Large
5,DRYS,BRIGADE CAPITAL MANAGEMENT LP,DBT,2013-09-30,85478000,88463000,0.0,BRIGADE CAPITAL MANAGEMENT LP,SHR,2013-06-30,2218000,1186000,1.0,87277000,-1.0,SELL-PARTIAL,5 - Large
6,FWONA,BRIGADE CAPITAL MANAGEMENT LP,DBT,2013-09-30,64093000,107365000,0.0,BRIGADE CAPITAL MANAGEMENT LP,DBT,2013-06-30,65970000,96660000,0.0,10705000,0.0,BUY-MORE,5 - Large
7,NRG,BRIGADE CAPITAL MANAGEMENT LP,SHR,2013-09-30,58950000,2157000,27.0,BRIGADE CAPITAL MANAGEMENT LP,SHR,2013-06-30,45577000,1707000,26.0,450000,1.0,SELL-PARTIAL,5 - Large
8,FST,BRIGADE CAPITAL MANAGEMENT LP,SHR,2013-09-30,41816000,6855000,6.0,BRIGADE CAPITAL MANAGEMENT LP,SHR,2013-06-30,28364000,6935000,4.0,-80000,2.0,BUY-MORE,5 - Large
9,FST,BRIGADE CAPITAL MANAGEMENT LP,CLL,2013-09-30,6100000,1000000,6.0,BRIGADE CAPITAL MANAGEMENT LP,SHR,2013-06-30,28364000,6935000,4.0,-5935000,2.0,SELL-PARTIAL,5 - Large
