,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,FEIC,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,234728000,2673445,87.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,198607000,2721012,72.0,-47567,15.0,SELL-PARTIAL,4 - Mid
1,TYL,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,224874000,2570865,87.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,183782000,2680987,68.0,-110122,19.0,SELL-PARTIAL,4 - Mid
2,MDSO,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,224139000,2265635,98.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,210671000,2720085,77.0,-454450,21.0,SELL-PARTIAL,5 - Large
3,CNQR,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,193672000,1752691,110.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,144976000,1781474,81.0,-28783,29.0,SELL-PARTIAL,5 - Large
4,CGNX,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,193077000,6170574,31.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,141500000,3129141,45.0,3041433,-14.0,BUY-MORE,4 - Mid
5,NEOG,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,191910000,3160570,60.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,174648000,3143405,55.0,17165,5.0,BUY-MORE,5 - Large
6,CMD,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,191824000,6022745,31.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,137822000,4069141,33.0,1953604,-2.0,BUY-MORE,4 - Mid
7,EGOV,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,188891000,8173551,23.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,134805000,8155143,16.0,18408,7.0,SELL-PARTIAL,4 - Mid
8,MANH,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,188129000,1970966,95.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,153928000,1994919,77.0,-23953,18.0,SELL-PARTIAL,4 - Mid
9,ANSS,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,179787000,2077981,86.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,145057000,1984358,73.0,93623,13.0,BUY-MORE,4 - Mid
10,BLKB,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,175636000,4498865,39.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,147709000,4535120,32.0,-36255,7.0,SELL-PARTIAL,5 - Large
11,ACIW,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,166656000,3082798,54.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,135745000,2920495,46.0,162303,8.0,BUY-MORE,4 - Mid
12,CRRTQ,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,165974000,1674646,99.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,104588000,1551063,67.0,123583,32.0,SELL-PARTIAL,4 - Mid
13,PRO,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,158830000,4645496,34.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,136759000,4566232,29.0,79264,5.0,SELL-PARTIAL,4 - Mid
14,INCY,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,157443000,4126955,38.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,91040000,4138196,21.0,-11241,17.0,BUY-MORE,4 - Mid
15,NTCT,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,156412000,6126602,25.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,130371000,5585751,23.0,540851,2.0,SELL-PARTIAL,4 - Mid
16,BCPC,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,155087000,2996846,51.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,130832000,2923625,44.0,73221,7.0,SELL-PARTIAL,4 - Mid
17,HITT,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,149794000,2292174,65.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,116135000,2002319,58.0,289855,7.0,SELL-PARTIAL,4 - Mid
18,MEAS,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,148937000,2745880,54.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,128527000,2762233,46.0,-16353,8.0,SELL-PARTIAL,3 - Small
19,ABAX,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,146128000,3469743,42.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,142615000,3001784,47.0,467959,-5.0,BUY-MORE,3 - Small
20,TECH,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,144801000,1808660,80.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,125897000,1822484,69.0,-13824,11.0,BUY-MORE,3 - Small
21,MDAS,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,136637000,5375191,25.0,BROWN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,82321000,4640436,17.0,734755,8.0,SELL-PARTIAL,4 - Mid
