,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,Z,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,490281000,5815633,84.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-06-30,344362000,6100035,56.0,-284402,28.0,HOLD,5 - Large
1,TRLA1,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,294653000,6265210,47.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-06-30,312504000,10051614,31.0,-3786404,16.0,HOLD,5 - Large
2,GOOGL,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,82046000,93669,875.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-06-30,162070000,184092,880.0,-90423,-5.0,SELL-PARTIAL,4 - Mid
3,CL,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,49459000,834041,59.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-06-30,344362000,6100035,56.0,-5265994,3.0,BUY-MORE,5 - Large
4,TIF,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,19727000,257462,76.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-06-30,37764000,518450,72.0,-260988,4.0,BUY-MORE,5 - Large
0,Z,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-12-31,511662000,6260390,81.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,490281000,5815633,84.0,444757,-3.0,HOLD,5 - Large
1,TRLA1,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-12-31,261157000,7404507,35.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,294653000,6265210,47.0,1139297,-12.0,HOLD,5 - Large
2,GOOGL,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-12-31,105190000,93860,1120.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-09-30,82046000,93669,875.0,191,245.0,SELL-PARTIAL,4 - Mid
0,Z,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2014-03-31,544561000,6181168,88.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-12-31,511662000,6260390,81.0,-79222,7.0,HOLD,5 - Large
1,TRLA1,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2014-03-31,293835000,8850456,33.0,CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,SHR,2013-12-31,261157000,7404507,35.0,1445949,-2.0,HOLD,5 - Large
