,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,WFC,CAMDEN ASSET MANAGEMENT L P,PRF,2013-09-30,81634000,71766,1137.0,CAMDEN ASSET MANAGEMENT L P,PRF,2013-06-30,80226000,67417,1189.0,4349,-52.0,BUY-MORE,5 - Large
1,GILD,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,78367000,28304000,2.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,66545000,29404000,2.0,-1100000,0.0,BUY-MORE,5 - Large
2,D,CAMDEN ASSET MANAGEMENT L P,PRF,2013-09-30,70979000,1325550,53.0,CAMDEN ASSET MANAGEMENT L P,PRF,2013-06-30,131554000,2640400,49.0,-1314850,4.0,SELL-PARTIAL,5 - Large
3,FWONA,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,70121000,118193000,0.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,22680000,33600000,0.0,84593000,0.0,HOLD,5 - Large
4,VRSN,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,66888000,42740000,1.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,62486000,44415000,1.0,-1675000,0.0,BUY-MORE,6 - Mega
5,KEY,CAMDEN ASSET MANAGEMENT L P,PRF,2013-09-30,65150000,521462,124.0,CAMDEN ASSET MANAGEMENT L P,PRF,2013-06-30,54060000,434215,124.0,87247,0.0,BUY-MORE,5 - Large
6,MT,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,59493000,2765119,21.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,60131000,3207000,18.0,-441881,3.0,BUY-MORE,5 - Large
7,PPL,CAMDEN ASSET MANAGEMENT L P,PRF,2013-09-30,59440000,1107092,53.0,CAMDEN ASSET MANAGEMENT L P,PRF,2013-06-30,51405000,950000,54.0,157092,-1.0,HOLD,4 - Mid
8,ENDP,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,59434000,37483000,1.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,27717000,20733000,1.0,16750000,0.0,BUY-MORE,5 - Large
9,CVG,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,59133000,33093000,1.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,57974000,34393000,1.0,-1300000,0.0,SELL-PARTIAL,5 - Large
10,HBAN,CAMDEN ASSET MANAGEMENT L P,PRF,2013-09-30,55050000,44395,1240.0,CAMDEN ASSET MANAGEMENT L P,PRF,2013-06-30,46563000,38011,1224.0,6384,16.0,BUY-MORE,4 - Mid
11,BGC,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,50640000,44839000,1.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,50152000,45489000,1.0,-650000,0.0,BUY-MORE,5 - Large
12,GM,CAMDEN ASSET MANAGEMENT L P,PRF,2013-09-30,49200000,981556,50.0,CAMDEN ASSET MANAGEMENT L P,PRF,2013-06-30,86317000,1786631,48.0,-805075,2.0,SELL-PARTIAL,5 - Large
13,SNDK,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,44246000,33456000,1.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,60832000,45631000,1.0,-12175000,0.0,BUY-MORE,5 - Large
14,RGS,CAMDEN ASSET MANAGEMENT L P,DBT,2013-09-30,41524000,37728000,1.0,CAMDEN ASSET MANAGEMENT L P,DBT,2013-06-30,44404000,38115000,1.0,-387000,0.0,SELL-PARTIAL,5 - Large
