,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BIDU,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,362680000,2337152,155.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,223121000,2360318,94.0,-23166,61.0,BUY-MORE,6 - Mega
1,GOOGL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,357773000,408459,875.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,363888000,413335,880.0,-4876,-5.0,BUY-MORE,5 - Large
2,HOG,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,353630000,5504829,64.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,193799000,3535192,54.0,1969637,10.0,BUY-MORE,5 - Large
3,ADI,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,312561000,6643169,47.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,302672000,6717077,45.0,-73908,2.0,BUY-MORE,5 - Large
4,BKNG,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,305941000,302627,1010.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,252288000,305017,827.0,-2390,183.0,BUY-MORE,5 - Large
5,KO,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,270980000,7153652,37.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,290377000,7239524,40.0,-85872,-3.0,BUY-MORE,5 - Large
6,ECL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,252657000,2558291,98.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,219972000,2582133,85.0,-23842,13.0,BUY-MORE,6 - Mega
7,FIS,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,249508000,5372691,46.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,199899000,4666179,42.0,706512,4.0,BUY-MORE,5 - Large
8,ALTR1,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,210025000,5651895,37.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,149288000,4525250,32.0,1126645,5.0,BUY-MORE,5 - Large
9,LKQ,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,176363000,5535548,31.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,187308000,7274086,25.0,-1738538,6.0,BUY-MORE,5 - Large
10,ABV.C,CANTILLON CAPITAL MANAGEMENT LLC,PRF,2013-09-30,170567000,4447660,38.0,CANTILLON CAPITAL MANAGEMENT LLC,PRF,2013-06-30,109259000,2925270,37.0,1522390,1.0,BUY-MORE,5 - Large
11,WAT,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,113105000,1064915,106.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,107575000,1075215,100.0,-10300,6.0,BUY-MORE,5 - Large
12,CL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,107562000,1813852,59.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,105032000,1833352,57.0,-19500,2.0,BUY-MORE,5 - Large
13,PM,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,100626000,1162101,86.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,101626000,1173241,86.0,-11140,0.0,BUY-MORE,5 - Large
14,SLH,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,91312000,1727106,52.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,97413000,1750456,55.0,-23350,-3.0,BUY-MORE,5 - Large
15,BCO,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,88736000,3135551,28.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,66995000,2626219,25.0,509332,3.0,BUY-MORE,5 - Large
16,BBD,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,69203000,4985763,13.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,65481000,5033063,13.0,-47300,0.0,BUY-MORE,5 - Large
17,CACC,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,51160000,461693,110.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,48796000,464500,105.0,-2807,5.0,BUY-MORE,5 - Large
18,OPEN,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,546000,7800,70.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-06-30,26792000,418948,63.0,-411148,7.0,BUY-MORE,4 - Mid
0,GOOGL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,457093000,407860,1120.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,357773000,408459,875.0,-599,245.0,BUY-MORE,6 - Mega
1,BIDU,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,415224000,2334294,177.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,362680000,2337152,155.0,-2858,22.0,BUY-MORE,5 - Large
2,HOG,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,380762000,5499155,69.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,353630000,5504829,64.0,-5674,5.0,BUY-MORE,5 - Large
3,BKNG,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,351191000,302126,1162.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,305941000,302627,1010.0,-501,152.0,BUY-MORE,5 - Large
4,ADI,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,338038000,6637299,50.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,312561000,6643169,47.0,-5870,3.0,BUY-MORE,5 - Large
5,KO,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,295113000,7143864,41.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,270980000,7153652,37.0,-9788,4.0,BUY-MORE,5 - Large
6,FIS,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,287957000,5364315,53.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,249508000,5372691,46.0,-8376,7.0,BUY-MORE,6 - Mega
7,ECL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,266349000,2554413,104.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,252657000,2558291,98.0,-3878,6.0,BUY-MORE,5 - Large
8,ALTR1,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,183691000,5646825,32.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,210025000,5651895,37.0,-5070,-5.0,BUY-MORE,5 - Large
9,LKQ,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,182016000,5532408,32.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,176363000,5535548,31.0,-3140,1.0,BUY-MORE,5 - Large
10,GWW,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,172210000,674222,255.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,90113000,344322,261.0,329900,-6.0,BUY-MORE,5 - Large
11,WLTW,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,169291000,3777970,44.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,92114000,2125870,43.0,1652100,1.0,BUY-MORE,5 - Large
12,SLH,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,122025000,1724496,70.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,91312000,1727106,52.0,-2610,18.0,BUY-MORE,5 - Large
13,CL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,118088000,1810890,65.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,107562000,1813852,59.0,-2962,6.0,BUY-MORE,5 - Large
14,BCO,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,106886000,3130792,34.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,88736000,3135551,28.0,-4759,6.0,BUY-MORE,5 - Large
15,WAT,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,106295000,1062950,100.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,113105000,1064915,106.0,-1965,-6.0,BUY-MORE,5 - Large
16,CACC,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,60074000,462143,129.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-09-30,51160000,461693,110.0,450,19.0,BUY-MORE,5 - Large
0,GOOGL,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2014-03-31,452319000,405846,1114.0,CANTILLON CAPITAL MANAGEMENT LLC,SHR,2013-12-31,457093000,407860,1120.0,-2014,-6.0,BUY-MORE,6 - Mega
