,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CMLSQ,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,103836000,19628779,5.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,87121000,25699305,3.0,-6070526,2.0,SELL-PARTIAL,4 - Mid
1,AAPL,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,47795000,100252,476.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,39707000,100137,396.0,115,80.0,HOLD,5 - Large
2,BERY,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,44899000,2248305,19.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,36380000,1648382,22.0,599923,-3.0,BUY-MORE,4 - Mid
3,CCO,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,42646000,5200692,8.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,39357000,5275682,7.0,-74990,1.0,BUY-MORE,4 - Mid
4,AMBC,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,40111000,2211172,18.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,50552000,2121372,23.0,89800,-5.0,HOLD,4 - Mid
5,CETV,CANYON CAPITAL ADVISORS LLC,DBT,2013-09-30,32513000,34000000,0.0,CANYON CAPITAL ADVISORS LLC,DBT,2013-06-30,33381000,35000000,0.0,-1000000,0.0,SELL-PARTIAL,5 - Large
6,DSX,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,30700000,2543529,12.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,29059000,2894300,10.0,-350771,2.0,BUY-MORE,4 - Mid
7,BKD,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,30245000,1150000,26.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,31403000,1187700,26.0,-37700,0.0,BUY-MORE,4 - Mid
8,THI,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,26690000,460200,57.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,24841000,459300,54.0,900,3.0,HOLD,5 - Large
9,DVN,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,26452000,457965,57.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,23701000,456835,51.0,1130,6.0,BUY-MORE,4 - Mid
10,CLNY1,CANYON CAPITAL ADVISORS LLC,DBT,2013-09-30,25312000,24500000,1.0,CANYON CAPITAL ADVISORS LLC,DBT,2013-06-30,19943000,19600000,1.0,4900000,0.0,BUY-MORE,5 - Large
11,PNK,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,20040000,800000,25.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,20341000,1034100,19.0,-234100,6.0,SELL-PARTIAL,5 - Large
12,CZR,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,19011000,966029,19.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,9095000,663889,13.0,302140,6.0,SELL-PARTIAL,5 - Large
13,ROC,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,13102000,195840,66.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,12513000,195430,64.0,410,2.0,HOLD,5 - Large
14,JACK,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,13083000,327155,39.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,14705000,374275,39.0,-47120,0.0,BUY-MORE,4 - Mid
15,CVC,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,11953000,709808,16.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,14813000,880650,16.0,-170842,0.0,SELL-PARTIAL,4 - Mid
16,NDZ,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,10721000,1242289,8.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,9154000,1236989,7.0,5300,1.0,BUY-MORE,4 - Mid
17,CIM,CANYON CAPITAL ADVISORS LLC,SHR,2013-09-30,10051000,3306179,3.0,CANYON CAPITAL ADVISORS LLC,SHR,2013-06-30,12333000,4110963,3.0,-804784,0.0,HOLD,5 - Large
