,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GILD,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,633911000,10087700,62.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,530244000,10354300,51.0,-266600,11.0,BUY-MORE,6 - Mega
1,HD,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,562784000,7419702,75.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,599827000,7742702,77.0,-323000,-2.0,BUY-MORE,5 - Large
2,TXN,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,546394000,13568259,40.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,424276000,12167359,34.0,1400900,6.0,BUY-MORE,6 - Mega
3,MSFT,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,530622000,15929798,33.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,544946000,15781798,34.0,148000,-1.0,BUY-MORE,6 - Mega
4,ORCL,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,477117000,14384000,33.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,407685000,13271000,30.0,1113000,3.0,BUY-MORE,6 - Mega
5,AMGN,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,471239000,4209748,111.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,443294000,4493148,98.0,-283400,13.0,BUY-MORE,6 - Mega
6,DD,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,385415000,10036837,38.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,322885000,10036837,32.0,0,6.0,BUY-MORE,6 - Mega
7,MRK,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,365806000,7683390,47.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,264212000,5688090,46.0,1995300,1.0,BUY-MORE,6 - Mega
8,BMY,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,345689000,7469500,46.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,333812000,7469500,44.0,0,2.0,BUY-MORE,6 - Mega
9,RTX,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,343073000,3181900,107.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,383099000,4122000,92.0,-940100,15.0,BUY-MORE,5 - Large
10,AMZN,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,321957000,1029800,312.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,285965000,1029800,277.0,0,35.0,BUY-MORE,6 - Mega
11,CVX,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,298003000,2452700,121.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,297353000,2512700,118.0,-60000,3.0,BUY-MORE,6 - Mega
12,CCL,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,289243000,8861600,32.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,299180000,8725000,34.0,136600,-2.0,BUY-MORE,6 - Mega
13,COP,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,276536000,3978360,69.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,240691000,3978360,60.0,0,9.0,SELL-PARTIAL,5 - Large
14,ABBV,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,274061000,6127000,44.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,223939000,5417000,41.0,710000,3.0,BUY-MORE,5 - Large
15,MMM,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,265210000,2221000,119.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,242866000,2221000,109.0,0,10.0,BUY-MORE,6 - Mega
16,PFE,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,263525000,9178851,28.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,257100000,9178851,28.0,0,0.0,BUY-MORE,5 - Large
17,MDLZ,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,244888000,7794000,31.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,222363000,7794000,28.0,0,3.0,BUY-MORE,5 - Large
18,EMR,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,242949000,3755000,64.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,204798000,3755000,54.0,0,10.0,BUY-MORE,5 - Large
19,WM,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,239823000,5815300,41.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,227304000,5636100,40.0,179200,1.0,SELL-PARTIAL,6 - Mega
20,MCO,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,239443000,3404558,70.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,207440000,3404558,60.0,0,10.0,SELL-PARTIAL,5 - Large
21,AAPL,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,238852000,501000,476.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,251788000,635700,396.0,-134700,80.0,BUY-MORE,5 - Large
22,SLB,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,234596000,2655000,88.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,217990000,3042000,71.0,-387000,17.0,SELL-PARTIAL,6 - Mega
23,APD,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,229126000,2150000,106.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,196876000,2150000,91.0,0,15.0,SELL-PARTIAL,5 - Large
24,CB,CAPITAL INTERNATIONAL INVESTORS,DBT,2013-09-30,228960000,2447200,93.0,CAPITAL INTERNATIONAL INVESTORS,DBT,2013-06-30,218976000,2447200,89.0,0,4.0,BUY-MORE,6 - Mega
25,BKNG,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,225442000,223000,1010.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,184450000,223000,827.0,0,183.0,BUY-MORE,6 - Mega
26,AVP,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,220029000,10681000,20.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,187483000,8915000,21.0,1766000,-1.0,BUY-MORE,5 - Large
27,MOS,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,213315000,4958500,43.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,198989000,3698000,53.0,1260500,-10.0,BUY-MORE,5 - Large
28,VZ,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,212429000,4552697,46.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,214081000,4252697,50.0,300000,-4.0,SELL-PARTIAL,5 - Large
29,KO,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,210564000,5558700,37.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,222960000,5558700,40.0,0,-3.0,BUY-MORE,5 - Large
30,MMC,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-09-30,208800000,4794494,43.0,CAPITAL INTERNATIONAL INVESTORS,SHR,2013-06-30,191396000,4794494,39.0,0,4.0,BUY-MORE,5 - Large
