,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,KDP,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,607994000,13565243,44.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,626540000,13641203,45.0,-75960,-1.0,SELL-PARTIAL,6 - Mega
1,PG,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,512570000,6780917,75.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,528469000,6864119,76.0,-83202,-1.0,SELL-PARTIAL,5 - Large
2,ADP,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,456861000,6311975,72.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,445458000,6469037,68.0,-157062,4.0,SELL-PARTIAL,5 - Large
3,DPZ,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,368392000,5421518,67.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,329762000,5670894,58.0,-249376,9.0,HOLD,5 - Large
4,PM,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,310607000,3587095,86.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,310921000,3589488,86.0,-2393,0.0,SELL-PARTIAL,5 - Large
5,CLX,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,265498000,3248870,81.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,254939000,3066381,83.0,182489,-2.0,BUY-MORE,5 - Large
6,LEE,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,3116000,1180335,2.0,CEDAR ROCK CAPITAL LTD,SHR,2013-06-30,7026000,3444202,2.0,-2263867,0.0,SELL-PARTIAL,5 - Large
0,KDP,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,659898000,13544699,48.0,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,607994000,13565243,44.0,-20544,4.0,SELL-PARTIAL,6 - Mega
1,ADP,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,501989000,6212817,80.0,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,456861000,6311975,72.0,-99158,8.0,SELL-PARTIAL,5 - Large
2,PG,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,494040000,6068540,81.0,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,512570000,6780917,75.0,-712377,6.0,SELL-PARTIAL,5 - Large
3,DPZ,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,361898000,5195946,69.0,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,368392000,5421518,67.0,-225572,2.0,HOLD,5 - Large
4,CLX,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,300672000,3241397,92.0,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,265498000,3248870,81.0,-7473,11.0,SELL-PARTIAL,5 - Large
5,PM,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,277278000,3182344,87.0,CEDAR ROCK CAPITAL LTD,SHR,2013-09-30,310607000,3587095,86.0,-404751,1.0,BUY-MORE,5 - Large
0,KDP,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,725392000,13319722,54.0,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,659898000,13544699,48.0,-224977,6.0,SELL-PARTIAL,6 - Mega
1,PG,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,484067000,6005794,80.0,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,494040000,6068540,81.0,-62746,-1.0,SELL-PARTIAL,5 - Large
2,ADP,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,466985000,6044326,77.0,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,501989000,6212817,80.0,-168491,-3.0,SELL-PARTIAL,5 - Large
3,DPZ,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,323011000,4196583,76.0,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,361898000,5195946,69.0,-999363,7.0,HOLD,5 - Large
4,CLX,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,285275000,3241397,88.0,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,300672000,3241397,92.0,0,-4.0,SELL-PARTIAL,5 - Large
5,PM,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,200084000,2443925,81.0,CEDAR ROCK CAPITAL LTD,SHR,2013-12-31,277278000,3182344,87.0,-738419,-6.0,BUY-MORE,5 - Large
0,KDP,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,744100000,12702282,58.0,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,725392000,13319722,54.0,-617440,4.0,SELL-PARTIAL,6 - Mega
1,PG,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,601282000,7650868,78.0,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,484067000,6005794,80.0,1645074,-2.0,SELL-PARTIAL,5 - Large
2,ADP,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,448050000,5651487,79.0,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,466985000,6044326,77.0,-392839,2.0,SELL-PARTIAL,5 - Large
3,CLX,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,305715000,3344804,91.0,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,285275000,3241397,88.0,103407,3.0,HOLD,5 - Large
4,DPZ,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,305579000,4180862,73.0,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,323011000,4196583,76.0,-15721,-3.0,SELL-PARTIAL,5 - Large
5,PM,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,222614000,2640418,84.0,CEDAR ROCK CAPITAL LTD,SHR,2014-03-31,200084000,2443925,81.0,196493,3.0,BUY-MORE,5 - Large
0,KDP,CEDAR ROCK CAPITAL LTD,SHR,2014-09-30,804266000,12506082,64.0,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,744100000,12702282,58.0,-196200,6.0,SELL-PARTIAL,6 - Mega
1,PG,CEDAR ROCK CAPITAL LTD,SHR,2014-09-30,632047000,7547729,83.0,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,601282000,7650868,78.0,-103139,5.0,SELL-PARTIAL,5 - Large
2,ADP,CEDAR ROCK CAPITAL LTD,SHR,2014-09-30,467917000,5632124,83.0,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,448050000,5651487,79.0,-19363,4.0,SELL-PARTIAL,5 - Large
3,CLX,CEDAR ROCK CAPITAL LTD,SHR,2014-09-30,321235000,3344804,96.0,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,305715000,3344804,91.0,0,5.0,HOLD,5 - Large
4,DPZ,CEDAR ROCK CAPITAL LTD,SHR,2014-09-30,320545000,4165090,76.0,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,305579000,4180862,73.0,-15772,3.0,SELL-PARTIAL,5 - Large
5,PM,CEDAR ROCK CAPITAL LTD,SHR,2014-09-30,220211000,2640418,83.0,CEDAR ROCK CAPITAL LTD,SHR,2014-06-30,222614000,2640418,84.0,0,-1.0,BUY-MORE,5 - Large
