,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CIT,CENTERBRIDGE PARTNERS LP,SHR,2013-09-30,306827000,6291296,48.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,412537000,8847036,46.0,-2555740,2.0,HOLD,3 - Small
1,BKU,CENTERBRIDGE PARTNERS LP,SHR,2013-09-30,200620000,6432204,31.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,167302000,6432204,26.0,0,5.0,SELL-PARTIAL,5 - Large
2,VC,CENTERBRIDGE PARTNERS LP,SHR,2013-09-30,159393000,2107262,75.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,133010000,2107262,63.0,0,12.0,HOLD,3 - Small
3,QUAD,CENTERBRIDGE PARTNERS LP,SHR,2013-09-30,69254000,2281072,30.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,54973000,2281072,24.0,0,6.0,HOLD,3 - Small
4,MBI,CENTERBRIDGE PARTNERS LP,SHR,2013-09-30,51501000,5034300,10.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,66342000,4984300,13.0,50000,-3.0,SELL-PARTIAL,3 - Small
5,MBI,CENTERBRIDGE PARTNERS LP,CLL,2013-09-30,5115000,500000,10.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,66342000,4984300,13.0,-4484300,-3.0,HOLD,4 - Mid
6,HOT,CENTERBRIDGE PARTNERS LP,CLL,2013-09-30,49838000,750000,66.0,CENTERBRIDGE PARTNERS LP,CLL,2013-06-30,47393000,750000,63.0,0,3.0,SELL-PARTIAL,4 - Mid
7,AMBC,CENTERBRIDGE PARTNERS LP,SHR,2013-09-30,36336000,2003108,18.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,47734000,2003108,23.0,0,-5.0,BUY-MORE,4 - Mid
8,GM,CENTERBRIDGE PARTNERS LP,WNT,2013-09-30,31256000,1183052,26.0,CENTERBRIDGE PARTNERS LP,WNT,2013-06-30,28394000,1183052,24.0,0,2.0,SELL-PARTIAL,4 - Mid
9,GM,CENTERBRIDGE PARTNERS LP,WNT,2013-09-30,31256000,1183052,26.0,CENTERBRIDGE PARTNERS LP,SHR,2013-06-30,1979000,59430,33.0,1123622,-7.0,SELL-PARTIAL,4 - Mid
