,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,EPAC,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,132890000,3421475,38.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,111085000,3369290,32.0,52185,6.0,BUY-MORE,4 - Mid
1,AWHHF,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,106140000,1067915,99.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,117336000,1282225,91.0,-214310,8.0,SELL-PARTIAL,4 - Mid
2,CST,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,94653000,3176285,29.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,69493000,2255535,30.0,920750,-1.0,BUY-MORE,5 - Large
3,BIO,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,92182000,784130,117.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,83173000,741295,112.0,42835,5.0,BUY-MORE,5 - Large
4,SXT,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,91897000,1918920,47.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,77849000,1923625,40.0,-4705,7.0,SELL-PARTIAL,4 - Mid
5,UMBF,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,90810000,1671150,54.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,96463000,1732765,55.0,-61615,-1.0,BUY-MORE,5 - Large
6,ATR,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,89157000,1482745,60.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,74522000,1349800,55.0,132945,5.0,BUY-MORE,4 - Mid
7,TRS,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,88848000,2381355,37.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,80944000,2171250,37.0,210105,0.0,SELL-PARTIAL,5 - Large
8,ENH,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,85790000,1596985,53.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,72978000,1418420,51.0,178565,2.0,SELL-PARTIAL,5 - Large
9,CPHD,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,84926000,2175365,39.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,57313000,1665105,34.0,510260,5.0,SELL-PARTIAL,5 - Large
10,HTSI,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,80515000,1636820,49.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,78629000,1677950,46.0,-41130,3.0,BUY-MORE,4 - Mid
11,THS,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,80164000,1199520,66.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,78381000,1195925,65.0,3595,1.0,BUY-MORE,5 - Large
12,CLC,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,79250000,1427150,55.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,72470000,1388040,52.0,39110,3.0,BUY-MORE,4 - Mid
13,CASY,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,79129000,1078205,73.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,65077000,1081735,60.0,-3530,13.0,BUY-MORE,4 - Mid
14,IEX,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,78604000,1204660,65.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,63338000,1177070,53.0,27590,12.0,BUY-MORE,5 - Large
15,NATI,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,77693000,2511894,30.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,68845000,2464024,27.0,47870,3.0,SELL-PARTIAL,4 - Mid
16,JW.A,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,76067000,1595035,47.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,64987000,1621020,40.0,-25985,7.0,BUY-MORE,4 - Mid
17,TFX,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,72803000,884820,82.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,50368000,649990,77.0,234830,5.0,BUY-MORE,5 - Large
18,WEX,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,72520000,826440,87.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,62701000,817485,76.0,8955,11.0,BUY-MORE,4 - Mid
19,CATM,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,71646000,1930650,37.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,59695000,2162845,27.0,-232195,10.0,SELL-PARTIAL,5 - Large
20,ESL,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,71562000,895755,79.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,63113000,873055,72.0,22700,7.0,BUY-MORE,4 - Mid
21,PB,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,71345000,1153705,61.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,58227000,1124300,51.0,29405,10.0,SELL-PARTIAL,4 - Mid
22,RP,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,63547000,2749760,23.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,49656000,2707525,18.0,42235,5.0,BUY-MORE,5 - Large
23,RAVN,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,62661000,1915660,32.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,57652000,1923025,29.0,-7365,3.0,SELL-PARTIAL,4 - Mid
24,WST,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-09-30,61443000,1493150,41.0,CHAMPLAIN INVESTMENT PARTNERS LLC,SHR,2013-06-30,78056000,1110965,70.0,382185,-29.0,BUY-MORE,5 - Large
