,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GRA,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,216798000,2480531,87.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,205637000,2446889,84.0,33642,3.0,BUY-MORE,5 - Large
1,SHW,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,147369000,808917,182.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,158290000,896319,176.0,-87402,6.0,BUY-MORE,6 - Mega
2,DG,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,143655000,2544359,56.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,156020000,3093800,50.0,-549441,6.0,BUY-MORE,5 - Large
3,COST,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,102200000,887765,115.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,92324000,834984,110.0,52781,5.0,BUY-MORE,6 - Mega
4,ARG,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,98920000,932769,106.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,111649000,1169588,95.0,-236819,11.0,BUY-MORE,5 - Large
5,FLT,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,94555000,858344,110.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,52786000,649275,81.0,209069,29.0,BUY-MORE,6 - Mega
6,HD,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,88414000,1165644,75.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,105072000,1356292,77.0,-190648,-2.0,BUY-MORE,5 - Large
7,BUD,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,84871000,855555,99.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,89270000,989028,90.0,-133473,9.0,BUY-MORE,6 - Mega
8,BF.B,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,81284000,1193078,68.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,72526000,1073661,67.0,119417,1.0,BUY-MORE,5 - Large
9,DEO,CHILTON INVESTMENT CO LLC,SHR,2013-09-30,80055000,629960,127.0,CHILTON INVESTMENT CO LLC,SHR,2013-06-30,69841000,607576,114.0,22384,13.0,BUY-MORE,6 - Mega
