,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,FDN,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,254703000,4736893,53.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,218798000,4819343,45.0,-82450,8.0,,
1,MDY,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,253188000,1118669,226.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,240388000,1144158,210.0,-25489,16.0,,
2,SPY,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,199508000,1187475,168.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,184512000,1150179,160.0,37296,8.0,,
3,IWD,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,198933000,2307812,86.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,194842000,2325357,83.0,-17545,3.0,,
4,SBUX,CHURCHILL MANAGEMENT CORP,SHR,2013-09-30,134284000,1744624,76.0,CHURCHILL MANAGEMENT CORP,SHR,2013-06-30,189172000,2887681,65.0,-1143057,11.0,BUY-MORE,5 - Large
5,IWS,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,133699000,2195019,60.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,132245000,2283232,57.0,-88213,3.0,SELL-PARTIAL,5 - Large
6,IBB,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,123393000,588706,209.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,105635000,607515,173.0,-18809,36.0,,
7,IWN,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,85534000,933371,91.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,77337000,900314,85.0,33057,6.0,SELL-PARTIAL,6 - Mega
8,XLF,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,76073000,3821794,19.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,72435000,3725113,19.0,96681,0.0,BUY-MORE,5 - Large
9,QQQ,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,58859000,746185,78.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,45731000,641658,71.0,104527,7.0,BUY-MORE,6 - Mega
10,XLY,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,26249000,432930,60.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,26499000,469838,56.0,-36908,4.0,SELL-PARTIAL,5 - Large
11,XLV,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,17655000,348978,50.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,14799000,310831,47.0,38147,3.0,BUY-MORE,5 - Large
12,FNX,CHURCHILL MANAGEMENT CORP,FND,2013-09-30,11506000,250886,45.0,CHURCHILL MANAGEMENT CORP,FND,2013-06-30,10927000,258625,42.0,-7739,3.0,SELL-PARTIAL,5 - Large
