,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BUD,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,95951000,967250,99.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,49643000,550000,90.0,417250,9.0,SELL-PARTIAL,5 - Large
1,AZO,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,80752000,191026,422.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,58046000,137000,423.0,54026,-1.0,BUY-MORE,6 - Mega
2,UNP,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,77049000,496000,155.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,14811000,96000,154.0,400000,1.0,SELL-PARTIAL,5 - Large
3,R,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,69081000,1157130,59.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,67933000,1117500,60.0,39630,-1.0,BUY-MORE,5 - Large
4,GOOGL,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,61353000,70045,875.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,62682000,71200,880.0,-1155,-5.0,SELL-PARTIAL,5 - Large
5,PETM,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,60932000,799004,76.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,54463000,813004,66.0,-14000,10.0,SELL-PARTIAL,5 - Large
6,TGI,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,50212000,715065,70.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,22756000,287500,79.0,427565,-9.0,SELL-PARTIAL,5 - Large
7,URI,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,46177000,792200,58.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,51407000,1030000,49.0,-237800,9.0,BUY-MORE,4 - Mid
8,TRN,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,42868000,945260,45.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,88220000,2295000,38.0,-1349740,7.0,SELL-PARTIAL,4 - Mid
9,MMM,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,38728000,324330,119.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,29525000,270000,109.0,54330,10.0,BUY-MORE,6 - Mega
10,CLR,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,34895000,325330,107.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,24656000,286500,86.0,38830,21.0,BUY-MORE,6 - Mega
11,LGF.B,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,33836000,965350,35.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,15795000,575000,27.0,390350,8.0,BUY-MORE,5 - Large
12,PPG,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,30534000,182775,167.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,20790000,142000,146.0,40775,21.0,BUY-MORE,5 - Large
13,ABBV,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,29969000,670000,44.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,20670000,500000,41.0,170000,3.0,BUY-MORE,5 - Large
14,ABT,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,29543000,890130,33.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,26509000,760000,34.0,130130,-1.0,SELL-PARTIAL,5 - Large
15,DE,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,29370000,360850,81.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,29453000,362500,81.0,-1650,0.0,BUY-MORE,4 - Mid
16,COG,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,29321000,785660,37.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,24147000,340000,71.0,445660,-34.0,BUY-MORE,5 - Large
17,DK,CI GLOBAL INVESTMENTS INC,SHR,2013-09-30,29104000,1380000,21.0,CI GLOBAL INVESTMENTS INC,SHR,2013-06-30,39961000,1388500,28.0,-8500,-7.0,BUY-MORE,4 - Mid
