,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,EVHC,CLAYTON DUBILIER RICE LLC,SHR,2014-03-31,3321722000,98188640,33.0,CLAYTON DUBILIER RICE LLC,SHR,2013-12-31,4578512000,128899563,35.0,-30710923,-2.0,BUY-MORE,3 - Small
1,HDS,CLAYTON DUBILIER RICE LLC,SHR,2014-03-31,953478000,36461875,26.0,CLAYTON DUBILIER RICE LLC,SHR,2013-12-31,875450000,36461875,24.0,0,2.0,SELL-PARTIAL,4 - Mid
2,CNR,CLAYTON DUBILIER RICE LLC,SHR,2014-03-31,754478000,43211817,17.0,CLAYTON DUBILIER RICE LLC,SHR,2013-12-31,949560000,54136817,17.0,-10925000,0.0,HOLD,4 - Mid
0,EVHC,CLAYTON DUBILIER RICE LLC,SHR,2014-06-30,3525954000,98188640,35.0,CLAYTON DUBILIER RICE LLC,SHR,2014-03-31,3321722000,98188640,33.0,0,2.0,BUY-MORE,3 - Small
1,CNR,CLAYTON DUBILIER RICE LLC,SHR,2014-06-30,839606000,43211817,19.0,CLAYTON DUBILIER RICE LLC,SHR,2014-03-31,754478000,43211817,17.0,0,2.0,SELL-PARTIAL,4 - Mid
2,HDS,CLAYTON DUBILIER RICE LLC,SHR,2014-06-30,751103000,26456594,28.0,CLAYTON DUBILIER RICE LLC,SHR,2014-03-31,953478000,36461875,26.0,-10005281,2.0,HOLD,4 - Mid
0,EVHC,CLAYTON DUBILIER RICE LLC,SHR,2014-09-30,1763726000,50857145,34.0,CLAYTON DUBILIER RICE LLC,SHR,2014-06-30,3525954000,98188640,35.0,-47331495,-1.0,BUY-MORE,3 - Small
1,CNR,CLAYTON DUBILIER RICE LLC,SHR,2014-09-30,838309000,43211817,19.0,CLAYTON DUBILIER RICE LLC,SHR,2014-06-30,839606000,43211817,19.0,0,0.0,SELL-PARTIAL,4 - Mid
2,HDS,CLAYTON DUBILIER RICE LLC,SHR,2014-09-30,498590000,18290178,27.0,CLAYTON DUBILIER RICE LLC,SHR,2014-06-30,751103000,26456594,28.0,-8166416,-1.0,HOLD,4 - Mid
0,EVHC,CLAYTON DUBILIER RICE LLC,SHR,2014-12-31,1764234000,50857145,34.0,CLAYTON DUBILIER RICE LLC,SHR,2014-09-30,1763726000,50857145,34.0,0,0.0,BUY-MORE,3 - Small
1,SERV,CLAYTON DUBILIER RICE LLC,SHR,2014-12-31,1617086000,60406666,26.0,CLAYTON DUBILIER RICE LLC,SHR,2014-09-30,1461841000,60406666,24.0,0,2.0,SELL-PARTIAL,4 - Mid
2,CNR,CLAYTON DUBILIER RICE LLC,SHR,2014-12-31,800283000,43211817,18.0,CLAYTON DUBILIER RICE LLC,SHR,2014-09-30,838309000,43211817,19.0,0,-1.0,HOLD,4 - Mid
