,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AAPL,CLEARBRIDGE LLC,SHR,2013-09-30,205013000,430022,476.0,CLEARBRIDGE LLC,SHR,2013-06-30,179978000,453882,396.0,-23860,80.0,SELL-PARTIAL,6 - Mega
1,JPM,CLEARBRIDGE LLC,SHR,2013-09-30,158110000,3058816,51.0,CLEARBRIDGE LLC,SHR,2013-06-30,186572000,3534215,52.0,-475399,-1.0,SELL-PARTIAL,6 - Mega
2,MSFT,CLEARBRIDGE LLC,SHR,2013-09-30,133979000,4025809,33.0,CLEARBRIDGE LLC,SHR,2013-06-30,116114000,3361214,34.0,664595,-1.0,SELL-PARTIAL,6 - Mega
3,CVX,CLEARBRIDGE LLC,SHR,2013-09-30,118677000,976769,121.0,CLEARBRIDGE LLC,SHR,2013-06-30,131489000,1111105,118.0,-134336,3.0,SELL-PARTIAL,5 - Large
4,UNH,CLEARBRIDGE LLC,SHR,2013-09-30,118340000,1652565,71.0,CLEARBRIDGE LLC,SHR,2013-06-30,136656000,2086988,65.0,-434423,6.0,BUY-MORE,5 - Large
5,MCD,CLEARBRIDGE LLC,SHR,2013-09-30,113941000,1184290,96.0,CLEARBRIDGE LLC,SHR,2013-06-30,137499000,1388872,99.0,-204582,-3.0,SELL-PARTIAL,6 - Mega
6,RTX,CLEARBRIDGE LLC,SHR,2013-09-30,113435000,1052082,107.0,CLEARBRIDGE LLC,SHR,2013-06-30,122602000,1319151,92.0,-267069,15.0,SELL-PARTIAL,5 - Large
7,C,CLEARBRIDGE LLC,SHR,2013-09-30,112475000,2318591,48.0,CLEARBRIDGE LLC,SHR,2013-06-30,127318000,2654111,47.0,-335520,1.0,HOLD,5 - Large
8,MET,CLEARBRIDGE LLC,SHR,2013-09-30,109349000,2329049,46.0,CLEARBRIDGE LLC,SHR,2013-06-30,139616000,3051034,45.0,-721985,1.0,BUY-MORE,6 - Mega
9,MDT,CLEARBRIDGE LLC,SHR,2013-09-30,104568000,1963718,53.0,CLEARBRIDGE LLC,SHR,2013-06-30,124637000,2421540,51.0,-457822,2.0,SELL-PARTIAL,5 - Large
10,GSK,CLEARBRIDGE LLC,SHR,2013-09-30,98856000,1970422,50.0,CLEARBRIDGE LLC,SHR,2013-06-30,105410000,2109456,49.0,-139034,1.0,BUY-MORE,4 - Mid
11,GNW,CLEARBRIDGE LLC,SHR,2013-09-30,98173000,7669761,12.0,CLEARBRIDGE LLC,SHR,2013-06-30,101610000,8905306,11.0,-1235545,1.0,SELL-PARTIAL,5 - Large
12,AMZN,CLEARBRIDGE LLC,SHR,2013-09-30,95907000,306766,312.0,CLEARBRIDGE LLC,SHR,2013-06-30,98250000,353809,277.0,-47043,35.0,SELL-PARTIAL,6 - Mega
13,WFC,CLEARBRIDGE LLC,SHR,2013-09-30,95575000,2313052,41.0,CLEARBRIDGE LLC,SHR,2013-06-30,109339000,2649337,41.0,-336285,0.0,SELL-PARTIAL,5 - Large
14,COF,CLEARBRIDGE LLC,SHR,2013-09-30,91421000,1329958,68.0,CLEARBRIDGE LLC,SHR,2013-06-30,96363000,1534186,62.0,-204228,6.0,SELL-PARTIAL,5 - Large
15,PFE,CLEARBRIDGE LLC,SHR,2013-09-30,90990000,3167628,28.0,CLEARBRIDGE LLC,SHR,2013-06-30,109301000,3902213,28.0,-734585,0.0,SELL-PARTIAL,5 - Large
16,EMC,CLEARBRIDGE LLC,SHR,2013-09-30,90792000,3552099,25.0,CLEARBRIDGE LLC,SHR,2013-06-30,103951000,4400967,23.0,-848868,2.0,SELL-PARTIAL,5 - Large
17,TDC,CLEARBRIDGE LLC,SHR,2013-09-30,89917000,1621883,55.0,CLEARBRIDGE LLC,SHR,2013-06-30,96908000,1929279,50.0,-307396,5.0,SELL-PARTIAL,5 - Large
18,FITB,CLEARBRIDGE LLC,SHR,2013-09-30,88883000,4924257,18.0,CLEARBRIDGE LLC,SHR,2013-06-30,109944000,6091078,18.0,-1166821,0.0,SELL-PARTIAL,5 - Large
19,CL,CLEARBRIDGE LLC,SHR,2013-09-30,87024000,1467518,59.0,CLEARBRIDGE LLC,SHR,2013-06-30,95767000,1671612,57.0,-204094,2.0,SELL-PARTIAL,6 - Mega
20,PSX,CLEARBRIDGE LLC,SHR,2013-09-30,86312000,1492773,57.0,CLEARBRIDGE LLC,SHR,2013-06-30,70682000,1199824,58.0,292949,-1.0,SELL-PARTIAL,6 - Mega
21,LYB,CLEARBRIDGE LLC,SHR,2013-09-30,85933000,1173467,73.0,CLEARBRIDGE LLC,SHR,2013-06-30,83806000,1264799,66.0,-91332,7.0,SELL-PARTIAL,5 - Large
22,CTSH,CLEARBRIDGE LLC,SHR,2013-09-30,85047000,1035643,82.0,CLEARBRIDGE LLC,SHR,2013-06-30,86209000,1376249,62.0,-340606,20.0,SELL-PARTIAL,6 - Mega
