,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CRM,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,93438000,1800000,51.0,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-06-30,61088000,1600000,38.0,200000,13.0,BUY-MORE,4 - Mid
1,CRM,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,93438000,1800000,51.0,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-06-30,29590000,775000,38.0,1025000,13.0,SELL-PARTIAL,4 - Mid
2,TMUS,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,90895000,3500000,25.0,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-06-30,72941000,2940000,24.0,560000,1.0,BUY-MORE,4 - Mid
3,TMUS,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,90895000,3500000,25.0,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-06-30,27291000,1100000,24.0,2400000,1.0,SELL-PARTIAL,5 - Large
4,P,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,79788000,3175000,25.0,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-06-30,42320000,2300000,18.0,875000,7.0,BUY-MORE,5 - Large
5,ADBE,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,68821000,1325000,51.0,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-06-30,31892000,700000,45.0,625000,6.0,SELL-PARTIAL,5 - Large
6,ADBE,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-09-30,44149000,850000,51.0,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-06-30,31892000,700000,45.0,150000,6.0,BUY-MORE,5 - Large
7,BKNG,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-09-30,60657000,60000,1010.0,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-06-30,43838000,53000,827.0,7000,183.0,SELL-PARTIAL,4 - Mid
8,BKNG,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,40438000,40000,1010.0,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-06-30,43838000,53000,827.0,-13000,183.0,BUY-MORE,4 - Mid
9,MA,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-09-30,60550000,90000,672.0,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-06-30,22980000,40000,574.0,50000,98.0,SELL-PARTIAL,5 - Large
10,LNKD,CONTOUR ASSET MANAGEMENT LLC,SHR,2013-09-30,52903000,215000,246.0,CONTOUR ASSET MANAGEMENT LLC,CLL,2013-06-30,71320000,400000,178.0,-185000,68.0,BUY-MORE,5 - Large
