,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CVLT,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,54078000,615087,87.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,51724000,681560,75.0,-66473,12.0,BUY-MORE,4 - Mid
1,WEB,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,53198000,1644441,32.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,44342000,1732111,25.0,-87670,7.0,SELL-PARTIAL,3 - Small
2,JCOM,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,51414000,1038250,49.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,46461000,1092952,42.0,-54702,7.0,SELL-PARTIAL,4 - Mid
3,SNCR,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,47373000,1244703,38.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,31740000,1028186,30.0,216517,8.0,BUY-MORE,3 - Small
4,BLOX,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,44088000,1054221,41.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,40078000,1369725,29.0,-315504,12.0,SELL-PARTIAL,4 - Mid
5,SFLY,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,41733000,746840,55.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,47594000,851253,55.0,-104413,0.0,BUY-MORE,4 - Mid
6,FIVE,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,41171000,941697,43.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,24348000,660903,36.0,280794,7.0,SELL-PARTIAL,3 - Small
7,NXTM,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,37716000,2865954,13.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,43932000,3076477,14.0,-210523,-1.0,BUY-MORE,4 - Mid
8,TYPE,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,37241000,1299416,28.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,34746000,1367429,25.0,-68013,3.0,SELL-PARTIAL,3 - Small
9,TNGO,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,36346000,1525235,23.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,27726000,1796919,15.0,-271684,8.0,SELL-PARTIAL,4 - Mid
10,GNRC,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,36039000,845188,42.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,32954000,890420,37.0,-45232,5.0,BUY-MORE,4 - Mid
11,WCG,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,35399000,507585,69.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,27269000,490890,55.0,16695,14.0,BUY-MORE,4 - Mid
12,GEOS,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,34413000,408298,84.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,29301000,424158,69.0,-15860,15.0,BUY-MORE,4 - Mid
13,QLIK,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,33266000,971841,34.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,37019000,1309464,28.0,-337623,6.0,BUY-MORE,3 - Small
14,HIBB,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,31570000,562621,56.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,23668000,425909,55.0,136712,1.0,SELL-PARTIAL,3 - Small
15,MD,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,30710000,305872,100.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,29585000,323051,91.0,-17179,9.0,SELL-PARTIAL,4 - Mid
16,AMSF,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,30205000,850614,35.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,31540000,974068,32.0,-123454,3.0,SELL-PARTIAL,4 - Mid
17,UAA,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,29554000,371978,79.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,23686000,396681,59.0,-24703,20.0,SELL-PARTIAL,4 - Mid
18,OSIS,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,29441000,395824,74.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,17593000,273092,64.0,122732,10.0,SELL-PARTIAL,3 - Small
19,HCSG,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,28277000,1097695,25.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,28327000,1155241,24.0,-57546,1.0,SELL-PARTIAL,3 - Small
20,SHOO,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,28119000,522368,53.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,35990000,743904,48.0,-221536,5.0,BUY-MORE,4 - Mid
21,SKX,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,28060000,901951,31.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,22801000,949632,24.0,-47681,7.0,SELL-PARTIAL,3 - Small
22,GMED,CORTINA ASSET MANAGEMENT LLC,SHR,2013-09-30,27576000,1579358,17.0,CORTINA ASSET MANAGEMENT LLC,SHR,2013-06-30,25300000,1500600,16.0,78758,1.0,SELL-PARTIAL,3 - Small
