,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,FMC,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,387736000,5406250,71.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,327591000,5365061,61.0,41189,10.0,BUY-MORE,4 - Mid
1,PVH,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,287864000,2425346,118.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,184148000,1472595,125.0,952751,-7.0,BUY-MORE,4 - Mid
2,PNR,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,278838000,4293781,64.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,275804000,4780788,57.0,-487007,7.0,BUY-MORE,4 - Mid
3,DNB3,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,278222000,2679076,103.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,257100000,2638272,97.0,40804,6.0,BUY-MORE,5 - Large
4,TDC,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,273755000,4937868,55.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,244029000,4858234,50.0,79634,5.0,BUY-MORE,4 - Mid
5,TYC,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,264952000,7574376,34.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,228053000,6921194,32.0,653182,2.0,BUY-MORE,5 - Large
6,STT,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,248371000,3777509,65.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,237316000,3639258,65.0,138251,0.0,SELL-PARTIAL,4 - Mid
7,DOV,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,230562000,2566644,89.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,359268000,4626162,77.0,-2059518,12.0,BUY-MORE,4 - Mid
8,MWV,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,212678000,5541363,38.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,213502000,6259233,34.0,-717870,4.0,BUY-MORE,4 - Mid
9,ZTS,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,206622000,6639521,31.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,150858000,4883727,30.0,1755794,1.0,SELL-PARTIAL,4 - Mid
10,AWK,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,201790000,4888325,41.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,188928000,4582303,41.0,306022,0.0,BUY-MORE,4 - Mid
11,KEY,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,195444000,17144253,11.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,186844000,16924308,11.0,219945,0.0,BUY-MORE,4 - Mid
12,NI,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,185371000,6001015,30.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,204074000,7125478,28.0,-1124463,2.0,SELL-PARTIAL,6 - Mega
13,SNPS,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,180135000,4778121,37.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,162282000,4539346,35.0,238775,2.0,SELL-PARTIAL,6 - Mega
14,STI,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,171656000,5294765,32.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,169634000,5373271,31.0,-78506,1.0,SELL-PARTIAL,5 - Large
15,SWK,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,171062000,1888730,90.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,168037000,2173824,77.0,-285094,13.0,SELL-PARTIAL,5 - Large
16,PTC,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-09-30,170886000,6004420,28.0,CRAMER ROSENTHAL MCGLYNN LLC,SHR,2013-06-30,159744000,6512180,24.0,-507760,4.0,BUY-MORE,5 - Large
