,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AXP,DAVIS SELECTED ADVISERS,SHR,2013-09-30,2802816000,37113556,75.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,2824423000,37779862,74.0,-666306,1.0,SELL-PARTIAL,6 - Mega
1,BK,DAVIS SELECTED ADVISERS,SHR,2013-09-30,2611630000,86506461,30.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,2447340000,87249185,28.0,-742724,2.0,SELL-PARTIAL,6 - Mega
2,WFC,DAVIS SELECTED ADVISERS,SHR,2013-09-30,2435073000,58932056,41.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,2492748000,60400962,41.0,-1468906,0.0,BUY-MORE,6 - Mega
3,WFC,DAVIS SELECTED ADVISERS,SHR,2013-09-30,2435073000,58932056,41.0,DAVIS SELECTED ADVISERS,WNT,2013-06-30,5932000,433960,13.0,58498096,28.0,SELL-PARTIAL,6 - Mega
4,WFC,DAVIS SELECTED ADVISERS,WNT,2013-09-30,5765000,410560,14.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,2492748000,60400962,41.0,-59990402,-27.0,SELL-PARTIAL,5 - Large
5,WFC,DAVIS SELECTED ADVISERS,WNT,2013-09-30,5765000,410560,14.0,DAVIS SELECTED ADVISERS,WNT,2013-06-30,5932000,433960,13.0,-23400,1.0,BUY-MORE,5 - Large
6,GOOGL,DAVIS SELECTED ADVISERS,SHR,2013-09-30,2335884000,2666808,875.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,2358288000,2678747,880.0,-11939,-5.0,SELL-PARTIAL,5 - Large
7,CVS,DAVIS SELECTED ADVISERS,SHR,2013-09-30,2068427000,36448058,56.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,2224108000,38896601,57.0,-2448543,-1.0,SELL-PARTIAL,6 - Mega
8,BRK.A,DAVIS SELECTED ADVISERS,SHR,2013-09-30,1937050000,11367,170409.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,1922714000,11404,168599.0,-37,1810.0,BUY-MORE,6 - Mega
9,BBBY,DAVIS SELECTED ADVISERS,SHR,2013-09-30,1586539000,20508518,77.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,1485063000,20931124,70.0,-422606,7.0,SELL-PARTIAL,5 - Large
10,COST,DAVIS SELECTED ADVISERS,SHR,2013-09-30,1479139000,12843097,115.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,1431461000,12946197,110.0,-103100,5.0,SELL-PARTIAL,5 - Large
11,CNQ,DAVIS SELECTED ADVISERS,SHR,2013-09-30,1124752000,35774554,31.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,1033385000,36567073,28.0,-792519,3.0,BUY-MORE,6 - Mega
12,UNH,DAVIS SELECTED ADVISERS,SHR,2013-09-30,1065574000,14880244,71.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,965868000,14750586,65.0,129658,6.0,BUY-MORE,5 - Large
13,PGR,DAVIS SELECTED ADVISERS,SHR,2013-09-30,910655000,33443093,27.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,912402000,35893072,25.0,-2449979,2.0,BUY-MORE,5 - Large
14,L,DAVIS SELECTED ADVISERS,SHR,2013-09-30,880667000,18841820,46.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,930589000,20959204,44.0,-2117384,2.0,SELL-PARTIAL,5 - Large
15,ESRX,DAVIS SELECTED ADVISERS,SHR,2013-09-30,838184000,13562844,61.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,892923000,14462627,61.0,-899783,0.0,SELL-PARTIAL,5 - Large
16,LH,DAVIS SELECTED ADVISERS,SHR,2013-09-30,782698000,7894873,99.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,588890000,5883020,100.0,2011853,-1.0,SELL-PARTIAL,6 - Mega
17,APD,DAVIS SELECTED ADVISERS,SHR,2013-09-30,766088000,7188588,106.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,661749000,7226703,91.0,-38115,15.0,SELL-PARTIAL,5 - Large
18,Y,DAVIS SELECTED ADVISERS,SHR,2013-09-30,736395000,1797619,409.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,737930000,1925153,383.0,-127534,26.0,BUY-MORE,4 - Mid
19,EOG,DAVIS SELECTED ADVISERS,SHR,2013-09-30,703994000,4158755,169.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,550609000,4181418,131.0,-22663,38.0,SELL-PARTIAL,6 - Mega
20,LBTYA,DAVIS SELECTED ADVISERS,SHR,2013-09-30,629642000,8347370,75.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,395619000,5827348,67.0,2520022,8.0,BUY-MORE,5 - Large
21,TXN,DAVIS SELECTED ADVISERS,SHR,2013-09-30,609215000,15120761,40.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,527991000,15150387,34.0,-29626,6.0,BUY-MORE,5 - Large
22,PCAR,DAVIS SELECTED ADVISERS,SHR,2013-09-30,527740000,9481504,55.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,511163000,9525962,53.0,-44458,2.0,SELL-PARTIAL,5 - Large
23,ECL,DAVIS SELECTED ADVISERS,SHR,2013-09-30,510013000,5164161,98.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,427655000,5020018,85.0,144143,13.0,BUY-MORE,5 - Large
24,KO,DAVIS SELECTED ADVISERS,SHR,2013-09-30,506580000,13373283,37.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,567257000,14142528,40.0,-769245,-3.0,SELL-PARTIAL,4 - Mid
25,OXY,DAVIS SELECTED ADVISERS,SHR,2013-09-30,492327000,5263276,93.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,644844000,7226766,89.0,-1963490,4.0,SELL-PARTIAL,6 - Mega
26,KMX,DAVIS SELECTED ADVISERS,SHR,2013-09-30,473114000,9760973,48.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,435974000,9444852,46.0,316121,2.0,BUY-MORE,5 - Large
27,V,DAVIS SELECTED ADVISERS,SHR,2013-09-30,438941000,2296920,191.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,419180000,2293737,182.0,3183,9.0,HOLD,4 - Mid
28,DIS,DAVIS SELECTED ADVISERS,SHR,2013-09-30,406931000,6309985,64.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,817054000,12938299,63.0,-6628314,1.0,BUY-MORE,3 - Small
29,SCHW,DAVIS SELECTED ADVISERS,SHR,2013-09-30,403355000,19080202,21.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,405510000,19100783,21.0,-20581,0.0,BUY-MORE,4 - Mid
30,BAM,DAVIS SELECTED ADVISERS,SHR,2013-09-30,396684000,10606535,37.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,348482000,9674677,36.0,931858,1.0,SELL-PARTIAL,5 - Large
31,MSFT,DAVIS SELECTED ADVISERS,SHR,2013-09-30,384014000,11538873,33.0,DAVIS SELECTED ADVISERS,SHR,2013-06-30,404592000,11712043,34.0,-173170,-1.0,BUY-MORE,5 - Large
