,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DNDNQ,DEERFIELD MANAGEMENT COMPANY LP SERIES C,DBT,2013-09-30,123511000,191123000,0.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,DBT,2013-06-30,98051000,127880000,0.0,63243000,0.0,BUY-MORE,4 - Mid
1,DNDNQ,DEERFIELD MANAGEMENT COMPANY LP SERIES C,DBT,2013-09-30,123511000,191123000,0.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,PUT,2013-06-30,10300000,2500000,4.0,188623000,-4.0,SELL-PARTIAL,4 - Mid
2,DNDNQ,DEERFIELD MANAGEMENT COMPANY LP SERIES C,PUT,2013-09-30,2051000,700000,2.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,DBT,2013-06-30,98051000,127880000,0.0,-127180000,2.0,BUY-MORE,4 - Mid
3,DNDNQ,DEERFIELD MANAGEMENT COMPANY LP SERIES C,PUT,2013-09-30,2051000,700000,2.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,PUT,2013-06-30,10300000,2500000,4.0,-1800000,-2.0,BUY-MORE,4 - Mid
4,CBST,DEERFIELD MANAGEMENT COMPANY LP SERIES C,CLL,2013-09-30,95325000,1500000,63.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,CLL,2013-06-30,72435000,1500000,48.0,0,15.0,HOLD,3 - Small
5,CBST,DEERFIELD MANAGEMENT COMPANY LP SERIES C,CLL,2013-09-30,95325000,1500000,63.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-06-30,33562000,695000,48.0,805000,15.0,HOLD,4 - Mid
6,CBST,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-09-30,35207000,554000,63.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,CLL,2013-06-30,72435000,1500000,48.0,-946000,15.0,BUY-MORE,4 - Mid
7,CBST,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-09-30,35207000,554000,63.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-06-30,33562000,695000,48.0,-141000,15.0,SELL-PARTIAL,4 - Mid
8,NXTM,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-09-30,66157000,5027164,13.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-06-30,55834000,3909914,14.0,1117250,-1.0,BUY-MORE,4 - Mid
9,ARRY,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-09-30,65841000,10585406,6.0,DEERFIELD MANAGEMENT COMPANY LP SERIES C,SHR,2013-06-30,49420000,10885406,4.0,-300000,2.0,BUY-MORE,5 - Large
