,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,RTX,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,297347000,2757813,107.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,257164000,2766987,92.0,-9174,15.0,BUY-MORE,6 - Mega
1,PRU,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,294203000,3772797,77.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,283303000,3879270,73.0,-106473,4.0,SELL-PARTIAL,5 - Large
2,OXY,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,289127000,3090949,93.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,275416000,3086588,89.0,4361,4.0,BUY-MORE,6 - Mega
3,AIG,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,287720000,5916507,48.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,267700000,5988820,44.0,-72313,4.0,SELL-PARTIAL,5 - Large
4,MDT,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,282948000,5313585,53.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,275741000,5357310,51.0,-43725,2.0,BUY-MORE,5 - Large
5,C,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,270926000,5584957,48.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,268518000,5597626,47.0,-12669,1.0,SELL-PARTIAL,5 - Large
6,JPM,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,251821000,4871764,51.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,257671000,4881065,52.0,-9301,-1.0,BUY-MORE,5 - Large
7,BSX,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,242662000,20669649,11.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,189718000,20465802,9.0,203847,2.0,SELL-PARTIAL,6 - Mega
8,MS,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,240873000,8937791,26.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,221452000,9064766,24.0,-126975,2.0,SELL-PARTIAL,5 - Large
9,EOG,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,238388000,1408249,169.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,209206000,1588742,131.0,-180493,38.0,BUY-MORE,5 - Large
10,PFE,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,229450000,7992003,28.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,222720000,7951442,28.0,40561,0.0,BUY-MORE,5 - Large
11,DOV,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,218678000,2434356,89.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,192198000,2474860,77.0,-40504,12.0,SELL-PARTIAL,5 - Large
12,MSFT,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,208244000,6251707,33.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,214128000,6201222,34.0,50485,-1.0,BUY-MORE,5 - Large
13,PG,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,200559000,2653244,75.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,204186000,2652105,76.0,1139,-1.0,SELL-PARTIAL,6 - Mega
14,PEP,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,193652000,2435877,79.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,197090000,2409713,81.0,26164,-2.0,BUY-MORE,5 - Large
15,KMB,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,186706000,1981592,94.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,191982000,1976347,97.0,5245,-3.0,SELL-PARTIAL,5 - Large
16,DIS,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,184434000,2859881,64.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,180788000,2862828,63.0,-2947,1.0,SELL-PARTIAL,6 - Mega
17,TJX,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,184169000,3265979,56.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,165363000,3303306,50.0,-37327,6.0,BUY-MORE,6 - Mega
18,XEC,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,180857000,1876112,96.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,79174000,1218247,64.0,657865,32.0,BUY-MORE,5 - Large
19,CSCO,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,179975000,7684690,23.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,184628000,7594744,24.0,89946,-1.0,BUY-MORE,4 - Mid
20,VFC,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,174690000,877617,199.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,169801000,879522,193.0,-1905,6.0,SELL-PARTIAL,5 - Large
21,PH,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,173004000,1591283,108.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,150631000,1578940,95.0,12343,13.0,SELL-PARTIAL,5 - Large
22,LUV,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,166590000,11441616,14.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,99757000,7739129,12.0,3702487,2.0,SELL-PARTIAL,5 - Large
23,CMCSK,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-09-30,165563000,3666947,45.0,DIAMOND HILL CAPITAL MANAGEMENT INC,SHR,2013-06-30,107095000,2557194,41.0,1109753,4.0,SELL-PARTIAL,5 - Large
