,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DAL,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,71117000,3014728,23.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,56408000,3014868,18.0,-140,5.0,SELL-PARTIAL,5 - Large
1,QCOM,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,57645000,856278,67.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,51260000,839096,61.0,17182,6.0,SELL-PARTIAL,5 - Large
2,GE,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,54499000,2281259,23.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,52399000,2259554,23.0,21705,0.0,SELL-PARTIAL,6 - Mega
3,F,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,52996000,3141412,16.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,47969000,3100752,15.0,40660,1.0,BUY-MORE,5 - Large
4,UAL,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,51846000,1688261,30.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,51948000,1660201,31.0,28060,-1.0,SELL-PARTIAL,6 - Mega
5,GM,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,51686000,1436932,35.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,46969000,1410051,33.0,26881,2.0,SELL-PARTIAL,6 - Mega
6,JCI,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,51535000,1241806,41.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,44972000,1256544,35.0,-14738,6.0,SELL-PARTIAL,5 - Large
7,BWA,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,51198000,504963,101.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,43627000,506413,86.0,-1450,15.0,BUY-MORE,5 - Large
8,V,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,51059000,267184,191.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,48890000,267524,182.0,-340,9.0,SELL-PARTIAL,6 - Mega
9,CSCO,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,48235000,2058594,23.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,49764000,2044960,24.0,13634,-1.0,SELL-PARTIAL,6 - Mega
10,MRK,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,46377000,974128,47.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,44728000,962930,46.0,11198,1.0,SELL-PARTIAL,6 - Mega
11,EMR,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,44015000,680295,64.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,37469000,686996,54.0,-6701,10.0,BUY-MORE,5 - Large
12,AMGN,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,42011000,375349,111.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,37240000,377461,98.0,-2112,13.0,BUY-MORE,5 - Large
13,NVS,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,42002000,547539,76.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,38552000,545214,70.0,2325,6.0,BUY-MORE,4 - Mid
14,MA,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,41714000,62002,672.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,35884000,62462,574.0,-460,98.0,BUY-MORE,5 - Large
15,ILMN,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,41678000,515625,80.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,38616000,515985,74.0,-360,6.0,SELL-PARTIAL,5 - Large
16,HAR,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,41288000,623407,66.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,33889000,625257,54.0,-1850,12.0,SELL-PARTIAL,5 - Large
17,QGEN,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-09-30,40075000,1872685,21.0,DOUGLAS C LANE ASSOCIATES INC,SHR,2013-06-30,36021000,1809185,19.0,63500,2.0,BUY-MORE,4 - Mid
