,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DAL,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,78973000,2167799,36.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,106366000,2184997,48.0,-17198,-12.0,SELL-PARTIAL,5 - Large
1,GOOGL,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,76106000,109273,696.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,81776000,108756,751.0,517,-55.0,SELL-PARTIAL,6 - Mega
2,EQIX,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,73053000,188413,387.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,64085000,193780,330.0,-5367,57.0,SELL-PARTIAL,5 - Large
3,V,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,72046000,971369,74.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,75860000,991891,76.0,-20522,-2.0,SELL-PARTIAL,6 - Mega
4,CSCO,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,64895000,2261949,28.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,65154000,2288512,28.0,-26563,0.0,SELL-PARTIAL,5 - Large
5,QCOM,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,64161000,1197701,53.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,60469000,1182411,51.0,15290,2.0,SELL-PARTIAL,6 - Mega
6,MSFT,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,63862000,1248029,51.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,69642000,1260950,55.0,-12921,-4.0,SELL-PARTIAL,5 - Large
7,ILMN,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,62047000,441993,140.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,69440000,428354,162.0,13639,-22.0,BUY-MORE,5 - Large
8,GE,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,61084000,1940414,31.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,63213000,1988460,31.0,-48046,0.0,SELL-PARTIAL,5 - Large
9,GM,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,60759000,2146977,28.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,66514000,2116243,31.0,30734,-3.0,BUY-MORE,6 - Mega
10,YUM,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,60078000,724535,82.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,60640000,740866,81.0,-16331,1.0,SELL-PARTIAL,5 - Large
11,UAL,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,58629000,1428577,41.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,86730000,1448878,59.0,-20301,-18.0,SELL-PARTIAL,6 - Mega
12,HWM,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,57031000,6152227,9.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,59099000,6168982,9.0,-16755,0.0,BUY-MORE,5 - Large
13,DHR,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,56636000,560754,100.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,54051000,569797,94.0,-9043,6.0,BUY-MORE,5 - Large
14,TMO,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,55298000,374244,147.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,54188000,382714,141.0,-8470,6.0,BUY-MORE,5 - Large
15,MA,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,54088000,614222,88.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,59509000,629727,94.0,-15505,-6.0,BUY-MORE,6 - Mega
16,APTV,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,52252000,834693,62.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,60239000,802977,75.0,31716,-13.0,SELL-PARTIAL,6 - Mega
17,CERN,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,50621000,863834,58.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,44025000,831292,52.0,32542,6.0,SELL-PARTIAL,5 - Large
18,AMGN,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,50335000,330828,152.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,51117000,340939,149.0,-10111,3.0,BUY-MORE,5 - Large
19,F,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,49062000,3903118,12.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,52981000,3924549,13.0,-21431,-1.0,BUY-MORE,5 - Large
20,DEO,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,48846000,432725,112.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,45840000,424958,107.0,7767,5.0,BUY-MORE,5 - Large
21,AL,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,47611000,1777858,26.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,48727000,1517017,32.0,260841,-6.0,BUY-MORE,5 - Large
22,HAR,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-06-30,47501000,661390,71.0,DOUGLAS LANE ASSOCIATES LLC,SHR,2016-03-31,55032000,618056,89.0,43334,-18.0,BUY-MORE,5 - Large
