,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,PHH,EJF CAPITAL LLC,SHR,2013-09-30,115223000,4853545,23.0,EJF CAPITAL LLC,SHR,2013-06-30,78985000,3875618,20.0,977927,3.0,BUY-MORE,4 - Mid
1,STWD,EJF CAPITAL LLC,SHR,2013-09-30,104730000,4369203,23.0,EJF CAPITAL LLC,SHR,2013-06-30,70838000,2862148,24.0,1507055,-1.0,BUY-MORE,5 - Large
2,RBS,EJF CAPITAL LLC,PRF,2013-09-30,94133000,4469080,21.0,EJF CAPITAL LLC,PRF,2013-06-30,121108000,5641467,21.0,-1172387,0.0,BUY-MORE,4 - Mid
3,CLNY1,EJF CAPITAL LLC,SHR,2013-09-30,60678000,3036958,19.0,EJF CAPITAL LLC,SHR,2013-06-30,30471000,1531998,19.0,1504960,0.0,BUY-MORE,3 - Small
4,XAN,EJF CAPITAL LLC,SHR,2013-09-30,59643000,10040845,5.0,EJF CAPITAL LLC,SHR,2013-06-30,53859000,8757584,6.0,1283261,-1.0,SELL-PARTIAL,4 - Mid
5,CPF,EJF CAPITAL LLC,SHR,2013-09-30,56023000,3165130,17.0,EJF CAPITAL LLC,SHR,2013-06-30,51615000,2867492,18.0,297638,-1.0,SELL-PARTIAL,5 - Large
6,SBY,EJF CAPITAL LLC,SHR,2013-09-30,50986000,3255796,15.0,EJF CAPITAL LLC,SHR,2013-06-30,46808000,2826556,16.0,429240,-1.0,BUY-MORE,3 - Small
7,OCN,EJF CAPITAL LLC,SHR,2013-09-30,38140000,683889,55.0,EJF CAPITAL LLC,SHR,2013-06-30,28190000,683889,41.0,0,14.0,BUY-MORE,4 - Mid
8,RM,EJF CAPITAL LLC,SHR,2013-09-30,27423000,862371,31.0,EJF CAPITAL LLC,SHR,2013-06-30,22539000,901571,24.0,-39200,7.0,BUY-MORE,3 - Small
9,NSM,EJF CAPITAL LLC,SHR,2013-09-30,26576000,472638,56.0,EJF CAPITAL LLC,SHR,2013-06-30,75534000,2017458,37.0,-1544820,19.0,SELL-PARTIAL,5 - Large
10,ABR,EJF CAPITAL LLC,SHR,2013-09-30,25369000,3741757,6.0,EJF CAPITAL LLC,SHR,2013-06-30,26792000,4266294,6.0,-524537,0.0,SELL-PARTIAL,4 - Mid
11,TFSL,EJF CAPITAL LLC,SHR,2013-09-30,17092000,1427900,11.0,EJF CAPITAL LLC,SHR,2013-06-30,11654000,1040523,11.0,387377,0.0,SELL-PARTIAL,5 - Large
12,SNV,EJF CAPITAL LLC,SHR,2013-09-30,15654000,4743572,3.0,EJF CAPITAL LLC,SHR,2013-06-30,7040000,2410856,2.0,2332716,1.0,BUY-MORE,2 - Micro
13,HTBI,EJF CAPITAL LLC,SHR,2013-09-30,13758000,833834,16.0,EJF CAPITAL LLC,SHR,2013-06-30,9054000,533834,16.0,300000,0.0,BUY-MORE,4 - Mid
14,CPSS,EJF CAPITAL LLC,SHR,2013-09-30,12682000,2138600,5.0,EJF CAPITAL LLC,SHR,2013-06-30,14523000,1978600,7.0,160000,-2.0,SELL-PARTIAL,2 - Micro
15,BNCL,EJF CAPITAL LLC,SHR,2013-09-30,12529000,1256700,9.0,EJF CAPITAL LLC,SHR,2013-06-30,19765000,2353029,8.0,-1096329,1.0,SELL-PARTIAL,2 - Micro
16,CIT,EJF CAPITAL LLC,SHR,2013-09-30,12193000,250000,48.0,EJF CAPITAL LLC,SHR,2013-06-30,4169000,89400,46.0,160600,2.0,SELL-PARTIAL,
17,BANR,EJF CAPITAL LLC,SHR,2013-09-30,12176000,319072,38.0,EJF CAPITAL LLC,SHR,2013-06-30,6467000,191375,33.0,127697,5.0,HOLD,2 - Micro
18,CQP,EJF CAPITAL LLC,SHR,2013-09-30,11976000,454341,26.0,EJF CAPITAL LLC,SHR,2013-06-30,22221000,743424,29.0,-289083,-3.0,HOLD,3 - Small
19,CQP,EJF CAPITAL LLC,SHR,2013-09-30,11976000,454341,26.0,EJF CAPITAL LLC,PUT,2013-06-30,299000,10000,29.0,444341,-3.0,HOLD,3 - Small
20,CHFN,EJF CAPITAL LLC,SHR,2013-09-30,11654000,1079115,10.0,EJF CAPITAL LLC,SHR,2013-06-30,8084000,802000,10.0,277115,0.0,HOLD,2 - Micro
21,ISBC,EJF CAPITAL LLC,SHR,2013-09-30,11381000,519687,21.0,EJF CAPITAL LLC,SHR,2013-06-30,6671000,316463,21.0,203224,0.0,HOLD,2 - Micro
22,NBBC,EJF CAPITAL LLC,SHR,2013-09-30,10950000,1502043,7.0,EJF CAPITAL LLC,SHR,2013-06-30,7525000,1256340,5.0,245703,2.0,BUY-MORE,
23,MCBI1,EJF CAPITAL LLC,SHR,2013-09-30,10580000,769988,13.0,EJF CAPITAL LLC,SHR,2013-06-30,11988000,1228286,9.0,-458298,4.0,HOLD,3 - Small
24,BPOP,EJF CAPITAL LLC,SHR,2013-09-30,10500000,400000,26.0,EJF CAPITAL LLC,SHR,2013-06-30,5813000,191400,30.0,208600,-4.0,BUY-MORE,4 - Mid
25,FSGI,EJF CAPITAL LLC,SHR,2013-09-30,10473000,5035000,2.0,EJF CAPITAL LLC,SHR,2013-06-30,13194000,6080000,2.0,-1045000,0.0,BUY-MORE,2 - Micro
26,RTKH,EJF CAPITAL LLC,SHR,2013-09-30,9948000,5024000,1.0,EJF CAPITAL LLC,SHR,2013-06-30,10550000,5024000,2.0,0,-1.0,HOLD,2 - Micro
27,TBNK,EJF CAPITAL LLC,SHR,2013-09-30,9649000,439200,21.0,EJF CAPITAL LLC,SHR,2013-06-30,9209000,407300,22.0,31900,-1.0,HOLD,3 - Small
28,LION,EJF CAPITAL LLC,SHR,2013-09-30,9375000,611146,15.0,EJF CAPITAL LLC,SHR,2013-06-30,7523000,608174,12.0,2972,3.0,HOLD,2 - Micro
29,UCFC,EJF CAPITAL LLC,SHR,2013-09-30,9333000,2399357,3.0,EJF CAPITAL LLC,SHR,2013-06-30,10270000,2208620,4.0,190737,-1.0,BUY-MORE,2 - Micro
30,RDN,EJF CAPITAL LLC,SHR,2013-09-30,9055000,650000,13.0,EJF CAPITAL LLC,SHR,2013-06-30,5810000,500000,11.0,150000,2.0,HOLD,2 - Micro
31,EBSB,EJF CAPITAL LLC,SHR,2013-09-30,8917000,409245,21.0,EJF CAPITAL LLC,SHR,2013-06-30,7021000,372861,18.0,36384,3.0,BUY-MORE,2 - Micro
32,C,EJF CAPITAL LLC,SHR,2013-09-30,8247000,170000,48.0,EJF CAPITAL LLC,SHR,2013-06-30,8635000,180000,47.0,-10000,1.0,HOLD,3 - Small
33,SIFI,EJF CAPITAL LLC,SHR,2013-09-30,8100000,713651,11.0,EJF CAPITAL LLC,SHR,2013-06-30,7697000,696552,11.0,17099,0.0,BUY-MORE,2 - Micro
34,SLM,EJF CAPITAL LLC,SHR,2013-09-30,7470000,300000,24.0,EJF CAPITAL LLC,SHR,2013-06-30,8243000,360600,22.0,-60600,2.0,HOLD,2 - Micro
35,NFBK,EJF CAPITAL LLC,SHR,2013-09-30,7381000,608001,12.0,EJF CAPITAL LLC,SHR,2013-06-30,8554000,729861,11.0,-121860,1.0,HOLD,2 - Micro
36,VSB,EJF CAPITAL LLC,SHR,2013-09-30,6720000,1265548,5.0,EJF CAPITAL LLC,SHR,2013-06-30,5543000,1265548,4.0,0,1.0,HOLD,2 - Micro
37,APTS,EJF CAPITAL LLC,SHR,2013-09-30,6441000,793186,8.0,EJF CAPITAL LLC,SHR,2013-06-30,9514000,1057141,8.0,-263955,0.0,BUY-MORE,6 - Mega
38,KFN,EJF CAPITAL LLC,SHR,2013-09-30,6242000,604284,10.0,EJF CAPITAL LLC,SHR,2013-06-30,2651000,251300,10.0,352984,0.0,BUY-MORE,5 - Large
39,APO,EJF CAPITAL LLC,SHR,2013-09-30,5652000,200000,28.0,EJF CAPITAL LLC,SHR,2013-06-30,5543000,230000,24.0,-30000,4.0,BUY-MORE,2 - Micro
40,CBNJ,EJF CAPITAL LLC,SHR,2013-09-30,5621000,613600,9.0,EJF CAPITAL LLC,SHR,2013-06-30,5550000,584250,9.0,29350,0.0,SELL-PARTIAL,5 - Large
41,SCNB,EJF CAPITAL LLC,SHR,2013-09-30,5620000,317139,17.0,EJF CAPITAL LLC,SHR,2013-06-30,5523000,338034,16.0,-20895,1.0,BUY-MORE,5 - Large
42,KRNY,EJF CAPITAL LLC,SHR,2013-09-30,5280000,516595,10.0,EJF CAPITAL LLC,SHR,2013-06-30,3754000,357825,10.0,158770,0.0,BUY-MORE,2 - Micro
43,FMD,EJF CAPITAL LLC,SHR,2013-09-30,5186000,6324462,0.0,EJF CAPITAL LLC,SHR,2013-06-30,8736000,7402987,1.0,-1078525,-1.0,BUY-MORE,2 - Micro
