,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HES,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,1322128000,17095000,77.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,1107058000,16650000,66.0,445000,11.0,BUY-MORE,5 - Large
1,APTV,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,800529000,13703000,58.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,911518000,17982200,50.0,-4279200,8.0,HOLD,5 - Large
2,NTAP,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,457950000,10750000,42.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,578013000,15299504,37.0,-4549504,5.0,BUY-MORE,4 - Mid
3,DELL1,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,415233000,30176807,13.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,299034000,22450006,13.0,7726801,0.0,HOLD,5 - Large
4,CPWR,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,208917000,18670000,11.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,193048000,18670000,10.0,0,1.0,HOLD,5 - Large
5,XLE,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,124365000,1500000,82.0,ELLIOTT MANAGEMENT CORP,CLL,2013-06-30,39151000,500000,78.0,1000000,4.0,HOLD,5 - Large
6,IWM,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,95949000,900000,106.0,ELLIOTT MANAGEMENT CORP,PUT,2013-06-30,135800000,1400000,97.0,-500000,9.0,BUY-MORE,5 - Large
7,RVBD,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,94609000,6484500,14.0,ELLIOTT MANAGEMENT CORP,CLL,2013-06-30,21784000,1400000,15.0,5084500,-1.0,SELL-PARTIAL,5 - Large
8,MLCO,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,80497000,2529747,31.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,69516000,3108947,22.0,-579200,9.0,HOLD,5 - Large
9,QQQ,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,78880000,1000000,78.0,ELLIOTT MANAGEMENT CORP,PUT,2013-06-30,92651000,1300000,71.0,-300000,7.0,HOLD,4 - Mid
10,NBHC,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,78095000,3812500,20.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,74066000,3812500,19.0,0,1.0,HOLD,4 - Mid
11,ELX,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,69265000,8925927,7.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,58197000,8925927,6.0,0,1.0,SELL-PARTIAL,5 - Large
12,ELN,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,49856000,3200000,15.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,36335000,2569634,14.0,630366,1.0,SELL-PARTIAL,5 - Large
13,XLF,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,39093000,1963500,19.0,ELLIOTT MANAGEMENT CORP,PUT,2013-06-30,16197000,833000,19.0,1130500,0.0,BUY-MORE,5 - Large
14,FBIO,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,26231000,3731279,7.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,32052000,3731279,8.0,0,-1.0,HOLD,4 - Mid
15,GM,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,18798000,522600,35.0,ELLIOTT MANAGEMENT CORP,PUT,2013-06-30,17407000,522600,33.0,0,2.0,SELL-PARTIAL,4 - Mid
16,GM,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,18798000,522600,35.0,ELLIOTT MANAGEMENT CORP,WNT,2013-06-30,16304000,808168,20.0,-285568,15.0,BUY-MORE,5 - Large
17,MYL,ELLIOTT MANAGEMENT CORP,DBT,2013-09-30,14488000,5000000,2.0,ELLIOTT MANAGEMENT CORP,DBT,2013-06-30,11851000,5000000,2.0,0,0.0,BUY-MORE,5 - Large
18,EQIX,ELLIOTT MANAGEMENT CORP,DBT,2013-09-30,12559000,7500000,1.0,ELLIOTT MANAGEMENT CORP,DBT,2013-06-30,8425000,5000000,1.0,2500000,0.0,SELL-PARTIAL,5 - Large
19,HIG,ELLIOTT MANAGEMENT CORP,WNT,2013-09-30,11175000,500000,22.0,ELLIOTT MANAGEMENT CORP,WNT,2013-06-30,10950000,500000,21.0,0,1.0,SELL-PARTIAL,5 - Large
20,XLI,ELLIOTT MANAGEMENT CORP,PUT,2013-09-30,9282000,200000,46.0,ELLIOTT MANAGEMENT CORP,PUT,2013-06-30,8528000,200000,42.0,0,4.0,BUY-MORE,5 - Large
21,MITL,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,9091000,1530548,5.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,5877000,1530548,3.0,0,2.0,BUY-MORE,5 - Large
22,LLTC,ELLIOTT MANAGEMENT CORP,DBT,2013-09-30,9046000,8500000,1.0,ELLIOTT MANAGEMENT CORP,DBT,2013-06-30,8886000,8500000,1.0,0,0.0,SELL-PARTIAL,5 - Large
23,VRSN,ELLIOTT MANAGEMENT CORP,DBT,2013-09-30,7835000,5000000,1.0,ELLIOTT MANAGEMENT CORP,DBT,2013-06-30,2814000,2000000,1.0,3000000,0.0,BUY-MORE,5 - Large
24,X,ELLIOTT MANAGEMENT CORP,DBT,2013-09-30,7682000,7500000,1.0,ELLIOTT MANAGEMENT CORP,DBT,2013-06-30,7661000,7500000,1.0,0,0.0,SELL-PARTIAL,5 - Large
25,ASMB,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,5165000,1787158,2.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,4236000,1787158,2.0,0,0.0,HOLD,5 - Large
26,ZION,ELLIOTT MANAGEMENT CORP,WNT,2013-09-30,1818000,365000,4.0,ELLIOTT MANAGEMENT CORP,WNT,2013-06-30,2037000,365000,5.0,0,-1.0,BUY-MORE,5 - Large
27,LNC,ELLIOTT MANAGEMENT CORP,WNT,2013-09-30,1145000,35000,32.0,ELLIOTT MANAGEMENT CORP,WNT,2013-06-30,944000,35000,26.0,0,6.0,SELL-PARTIAL,5 - Large
28,CRMD,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,721000,781440,0.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,742000,781440,0.0,0,0.0,SELL-PARTIAL,5 - Large
29,CRMD,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,721000,781440,0.0,ELLIOTT MANAGEMENT CORP,WNT,2013-06-30,0,390720,0.0,390720,0.0,BUY-MORE,5 - Large
30,CRMD,ELLIOTT MANAGEMENT CORP,WNT,2013-09-30,0,390720,0.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,742000,781440,0.0,-390720,0.0,HOLD,4 - Mid
31,CRMD,ELLIOTT MANAGEMENT CORP,WNT,2013-09-30,0,390720,0.0,ELLIOTT MANAGEMENT CORP,WNT,2013-06-30,0,390720,0.0,0,0.0,BUY-MORE,5 - Large
32,DYN,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,472000,24395,19.0,ELLIOTT MANAGEMENT CORP,SHR,2013-06-30,550000,24395,22.0,0,-3.0,HOLD,4 - Mid
0,HES,ELLIOTT MANAGEMENT CORP,SHR,2013-12-31,1418885000,17095000,83.0,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,1322128000,17095000,77.0,0,6.0,BUY-MORE,5 - Large
1,NTAP,ELLIOTT MANAGEMENT CORP,SHR,2013-12-31,442255000,10750000,41.0,ELLIOTT MANAGEMENT CORP,SHR,2013-09-30,457950000,10750000,42.0,0,-1.0,HOLD,5 - Large
