,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NPSP,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,21624000,679801,31.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,9073000,600471,15.0,79330,16.0,SELL-PARTIAL,4 - Mid
1,MWIV,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,19846000,132875,149.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,15954000,129455,123.0,3420,26.0,BUY-MORE,5 - Large
2,OZK,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,14740000,307464,47.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,12950000,298874,43.0,8590,4.0,BUY-MORE,4 - Mid
3,ALNY,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,14727000,230077,64.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,6654000,214637,31.0,15440,33.0,HOLD,4 - Mid
4,SAVE,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,12862000,375300,34.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,11557000,364340,31.0,10960,3.0,BUY-MORE,4 - Mid
5,SBGI,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,12382000,369404,33.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,10441000,355504,29.0,13900,4.0,SELL-PARTIAL,4 - Mid
6,BLOX,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,12093000,289163,41.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,8307000,283913,29.0,5250,12.0,SELL-PARTIAL,4 - Mid
7,ACHC,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,11917000,302228,39.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,9733000,294308,33.0,7920,6.0,SELL-PARTIAL,4 - Mid
8,TREX,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,11890000,240061,49.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,11551000,243221,47.0,-3160,2.0,BUY-MORE,4 - Mid
9,AKRXQ,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,11460000,582300,19.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,7722000,571190,13.0,11110,6.0,BUY-MORE,4 - Mid
10,SIVB,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,11313000,130987,86.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,10854000,130267,83.0,720,3.0,BUY-MORE,4 - Mid
11,RRTS,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,11238000,397931,28.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,9039000,324691,27.0,73240,1.0,BUY-MORE,3 - Small
12,MIDD,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,10436000,49956,208.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,8019000,47146,170.0,2810,38.0,BUY-MORE,3 - Small
13,FANG,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,10269000,240839,42.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,7070000,212199,33.0,28640,9.0,BUY-MORE,4 - Mid
14,GPOR,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,10212000,158715,64.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,7230000,153535,47.0,5180,17.0,BUY-MORE,4 - Mid
15,MGAM,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,9864000,285489,34.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,9567000,366970,26.0,-81481,8.0,BUY-MORE,4 - Mid
16,AFSI,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,9562000,245136,39.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,7520000,210653,35.0,34483,4.0,BUY-MORE,3 - Small
17,MHR,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,9320000,1510578,6.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,5810000,1591819,3.0,-81241,3.0,BUY-MORE,4 - Mid
18,MHR,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,9320000,1510578,6.0,EMERALD MUTUAL FUND ADVISERS TRUST,WNT,2013-06-30,8000,56413,0.0,1454165,6.0,SELL-PARTIAL,4 - Mid
19,EPAM,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,9317000,270049,34.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,7067000,259999,27.0,10050,7.0,BUY-MORE,3 - Small
20,ULTI,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,9267000,62872,147.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,7277000,62042,117.0,830,30.0,BUY-MORE,4 - Mid
21,SRPT,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,8446000,178834,47.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,6772000,178034,38.0,800,9.0,BUY-MORE,3 - Small
22,AWAY1,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,8424000,301292,27.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,6315000,195282,32.0,106010,-5.0,BUY-MORE,3 - Small
23,LL,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,7992000,74940,106.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,3232000,41500,77.0,33440,29.0,HOLD,4 - Mid
24,CLDX,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,7915000,223412,35.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,3400000,217792,15.0,5620,20.0,SELL-PARTIAL,4 - Mid
25,REXX,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,7647000,342623,22.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,5309000,302013,17.0,40610,5.0,SELL-PARTIAL,4 - Mid
26,KATE,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,7574000,301390,25.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,8572000,383700,22.0,-82310,3.0,HOLD,4 - Mid
27,USG,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,7405000,259085,28.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,5932000,257335,23.0,1750,5.0,SELL-PARTIAL,4 - Mid
28,LAD,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-09-30,7380000,101146,72.0,EMERALD MUTUAL FUND ADVISERS TRUST,SHR,2013-06-30,4620000,86660,53.0,14486,19.0,BUY-MORE,4 - Mid
