,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BRK.A,EVERETT HARRIS CO,SHR,2013-09-30,252207000,1480,170410.0,EVERETT HARRIS CO,SHR,2013-06-30,249359000,1479,168599.0,1,1811.0,,
1,NVO,EVERETT HARRIS CO,SHR,2013-09-30,109452000,646804,169.0,EVERETT HARRIS CO,SHR,2013-06-30,100445000,648155,154.0,-1351,15.0,SELL-PARTIAL,6 - Mega
2,COST,EVERETT HARRIS CO,SHR,2013-09-30,108889000,945467,115.0,EVERETT HARRIS CO,SHR,2013-06-30,105558000,954667,110.0,-9200,5.0,SELL-PARTIAL,6 - Mega
3,CHL,EVERETT HARRIS CO,SHR,2013-09-30,98124000,1738856,56.0,EVERETT HARRIS CO,SHR,2013-06-30,92237000,1781661,51.0,-42805,5.0,BUY-MORE,6 - Mega
4,BRK.B,EVERETT HARRIS CO,SHR,2013-09-30,90422000,796598,113.0,EVERETT HARRIS CO,SHR,2013-06-30,89244000,797391,111.0,-793,2.0,SELL-PARTIAL,5 - Large
5,CL,EVERETT HARRIS CO,SHR,2013-09-30,89804000,1514400,59.0,EVERETT HARRIS CO,SHR,2013-06-30,89649000,1564835,57.0,-50435,2.0,SELL-PARTIAL,6 - Mega
6,WMT,EVERETT HARRIS CO,SHR,2013-09-30,89230000,1206459,73.0,EVERETT HARRIS CO,SHR,2013-06-30,89297000,1198774,74.0,7685,-1.0,BUY-MORE,5 - Large
7,UPS,EVERETT HARRIS CO,SHR,2013-09-30,84340000,923058,91.0,EVERETT HARRIS CO,SHR,2013-06-30,77729000,898803,86.0,24255,5.0,SELL-PARTIAL,6 - Mega
8,JNJ,EVERETT HARRIS CO,SHR,2013-09-30,81704000,942489,86.0,EVERETT HARRIS CO,SHR,2013-06-30,80668000,939534,85.0,2955,1.0,SELL-PARTIAL,5 - Large
9,GOOGL,EVERETT HARRIS CO,SHR,2013-09-30,73622000,84052,875.0,EVERETT HARRIS CO,SHR,2013-06-30,73064000,82992,880.0,1060,-5.0,SELL-PARTIAL,6 - Mega
10,VOD,EVERETT HARRIS CO,SHR,2013-09-30,66165000,1880751,35.0,EVERETT HARRIS CO,SHR,2013-06-30,52516000,1826953,28.0,53798,7.0,SELL-PARTIAL,5 - Large
11,DIS,EVERETT HARRIS CO,SHR,2013-09-30,63019000,977190,64.0,EVERETT HARRIS CO,SHR,2013-06-30,61078000,967190,63.0,10000,1.0,SELL-PARTIAL,5 - Large
12,IBM,EVERETT HARRIS CO,SHR,2013-09-30,60503000,326727,185.0,EVERETT HARRIS CO,SHR,2013-06-30,63892000,334322,191.0,-7595,-6.0,SELL-PARTIAL,5 - Large
13,QCOM,EVERETT HARRIS CO,SHR,2013-09-30,57713000,857298,67.0,EVERETT HARRIS CO,SHR,2013-06-30,51870000,849067,61.0,8231,6.0,BUY-MORE,6 - Mega
14,MCD,EVERETT HARRIS CO,SHR,2013-09-30,55813000,580113,96.0,EVERETT HARRIS CO,SHR,2013-06-30,57367000,579466,98.0,647,-2.0,SELL-PARTIAL,5 - Large
15,BAX,EVERETT HARRIS CO,SHR,2013-09-30,55718000,848200,65.0,EVERETT HARRIS CO,SHR,2013-06-30,58369000,842630,69.0,5570,-4.0,BUY-MORE,6 - Mega
16,UL,EVERETT HARRIS CO,SHR,2013-09-30,52658000,1364898,38.0,EVERETT HARRIS CO,SHR,2013-06-30,55151000,1363438,40.0,1460,-2.0,SELL-PARTIAL,6 - Mega
17,BDX,EVERETT HARRIS CO,SHR,2013-09-30,50364000,503534,100.0,EVERETT HARRIS CO,SHR,2013-06-30,49731000,503199,98.0,335,2.0,BUY-MORE,6 - Mega
18,UN,EVERETT HARRIS CO,SHR,2013-09-30,48176000,1277190,37.0,EVERETT HARRIS CO,SHR,2013-06-30,50063000,1273545,39.0,3645,-2.0,SELL-PARTIAL,6 - Mega
19,TGT,EVERETT HARRIS CO,SHR,2013-09-30,46913000,733251,63.0,EVERETT HARRIS CO,SHR,2013-06-30,47004000,682606,68.0,50645,-5.0,SELL-PARTIAL,6 - Mega
20,MSFT,EVERETT HARRIS CO,SHR,2013-09-30,44838000,1347290,33.0,EVERETT HARRIS CO,SHR,2013-06-30,46738000,1352970,34.0,-5680,-1.0,SELL-PARTIAL,5 - Large
21,BAC,EVERETT HARRIS CO,SHR,2013-09-30,44496000,3224342,13.0,EVERETT HARRIS CO,SHR,2013-06-30,39925000,3104567,12.0,119775,1.0,SELL-PARTIAL,5 - Large
22,BAC,EVERETT HARRIS CO,SHR,2013-09-30,44496000,3224342,13.0,EVERETT HARRIS CO,PRF,2013-06-30,14302000,12895,1109.0,3211447,-1096.0,SELL-PARTIAL,5 - Large
23,BAC,EVERETT HARRIS CO,PRF,2013-09-30,13981000,12930,1081.0,EVERETT HARRIS CO,SHR,2013-06-30,39925000,3104567,12.0,-3091637,1069.0,BUY-MORE,5 - Large
24,BAC,EVERETT HARRIS CO,PRF,2013-09-30,13981000,12930,1081.0,EVERETT HARRIS CO,PRF,2013-06-30,14302000,12895,1109.0,35,-28.0,BUY-MORE,5 - Large
25,AAPL,EVERETT HARRIS CO,SHR,2013-09-30,41039000,86081,476.0,EVERETT HARRIS CO,SHR,2013-06-30,34455000,86892,396.0,-811,80.0,SELL-PARTIAL,5 - Large
26,PEP,EVERETT HARRIS CO,SHR,2013-09-30,39454000,496276,79.0,EVERETT HARRIS CO,SHR,2013-06-30,40684000,497420,81.0,-1144,-2.0,SELL-PARTIAL,5 - Large
27,WFM,EVERETT HARRIS CO,SHR,2013-09-30,36431000,622759,58.0,EVERETT HARRIS CO,SHR,2013-06-30,30205000,586739,51.0,36020,7.0,SELL-PARTIAL,6 - Mega
28,ABT,EVERETT HARRIS CO,SHR,2013-09-30,35902000,1081699,33.0,EVERETT HARRIS CO,SHR,2013-06-30,36110000,1035259,34.0,46440,-1.0,SELL-PARTIAL,5 - Large
29,CVX,EVERETT HARRIS CO,SHR,2013-09-30,32593000,268255,121.0,EVERETT HARRIS CO,SHR,2013-06-30,31764000,268415,118.0,-160,3.0,BUY-MORE,5 - Large
30,OKS,EVERETT HARRIS CO,SHR,2013-09-30,25277000,476832,53.0,EVERETT HARRIS CO,SHR,2013-06-30,23528000,475112,49.0,1720,4.0,BUY-MORE,4 - Mid
31,VFC,EVERETT HARRIS CO,SHR,2013-09-30,24859000,124890,199.0,EVERETT HARRIS CO,SHR,2013-06-30,22043000,114175,193.0,10715,6.0,SELL-PARTIAL,5 - Large
32,ABBV,EVERETT HARRIS CO,SHR,2013-09-30,24235000,541797,44.0,EVERETT HARRIS CO,SHR,2013-06-30,25106000,607296,41.0,-65499,3.0,HOLD,5 - Large
33,LH,EVERETT HARRIS CO,SHR,2013-09-30,23217000,234188,99.0,EVERETT HARRIS CO,SHR,2013-06-30,21718000,216968,100.0,17220,-1.0,SELL-PARTIAL,6 - Mega
34,PETM,EVERETT HARRIS CO,SHR,2013-09-30,21104000,276735,76.0,EVERETT HARRIS CO,SHR,2013-06-30,15462000,230810,66.0,45925,10.0,BUY-MORE,5 - Large
