,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AAPL,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,181165000,380000,476.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,187955000,474000,396.0,-94000,80.0,HOLD,6 - Mega
1,CVX,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,177269000,1459000,121.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,175025000,1479000,118.0,-20000,3.0,BUY-MORE,6 - Mega
2,XOM,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,162055000,1883479,86.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,183661000,2032772,90.0,-149293,-4.0,BUY-MORE,6 - Mega
3,JPM,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,149402000,2890350,51.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,160632000,3042850,52.0,-152500,-1.0,SELL-PARTIAL,6 - Mega
4,JNJ,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,124149000,1432100,86.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,127854000,1489100,85.0,-57000,1.0,SELL-PARTIAL,6 - Mega
5,PG,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,116534000,1541662,75.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,119462000,1551662,76.0,-10000,-1.0,HOLD,6 - Mega
6,GOOGL,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,110715000,126400,875.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,111279000,126400,880.0,0,-5.0,HOLD,6 - Mega
7,VGK,FACTORY MUTUAL INSURANCE CO,FND,2013-09-30,108183000,1985000,54.0,FACTORY MUTUAL INSURANCE CO,FND,2013-06-30,95538000,1985000,48.0,0,6.0,HOLD,6 - Mega
8,SLB,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,104530000,1183000,88.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,83341000,1163000,71.0,20000,17.0,HOLD,6 - Mega
9,QCOM,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,100643000,1495000,67.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,93315000,1527500,61.0,-32500,6.0,HOLD,6 - Mega
10,PM,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,96080000,1109600,86.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,94910000,1095700,86.0,13900,0.0,BUY-MORE,5 - Large
11,PFE,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,95849000,3336797,28.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,94864000,3386797,28.0,-50000,0.0,HOLD,6 - Mega
12,WFC,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,95803000,2318555,41.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,95687000,2318555,41.0,0,0.0,HOLD,6 - Mega
13,IBM,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,92183000,497800,185.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,95135000,497800,191.0,0,-6.0,SELL-PARTIAL,6 - Mega
14,GE,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,90518000,3788950,23.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,89953000,3878950,23.0,-90000,0.0,HOLD,6 - Mega
15,C,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,85745000,1767569,48.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,82871000,1727569,47.0,40000,1.0,SELL-PARTIAL,6 - Mega
16,VPL,FACTORY MUTUAL INSURANCE CO,FND,2013-09-30,84429000,1390000,60.0,FACTORY MUTUAL INSURANCE CO,FND,2013-06-30,66438000,1190000,55.0,200000,5.0,SELL-PARTIAL,6 - Mega
17,CVS,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,82486000,1453500,56.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,83111000,1453500,57.0,0,-1.0,BUY-MORE,6 - Mega
18,AMZN,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,76597000,245000,312.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,68867000,248000,277.0,-3000,35.0,HOLD,6 - Mega
19,KO,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,76040000,2007400,37.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,85731000,2137400,40.0,-130000,-3.0,HOLD,6 - Mega
20,USB,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,73160000,2000000,36.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,69770000,1930000,36.0,70000,0.0,SELL-PARTIAL,6 - Mega
21,EWG,FACTORY MUTUAL INSURANCE CO,FND,2013-09-30,70915000,2550000,27.0,FACTORY MUTUAL INSURANCE CO,FND,2013-06-30,60021000,2430000,24.0,120000,3.0,BUY-MORE,5 - Large
22,DIS,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,70133000,1087500,64.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,69812000,1105500,63.0,-18000,1.0,BUY-MORE,6 - Mega
23,CSCO,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,69834000,2980400,23.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,71311000,2930400,24.0,50000,-1.0,HOLD,5 - Large
24,BX,FACTORY MUTUAL INSURANCE CO,SHR,2013-09-30,69376000,2787300,24.0,FACTORY MUTUAL INSURANCE CO,SHR,2013-06-30,57016000,2707300,21.0,80000,3.0,HOLD,6 - Mega
