,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,POT,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,836069000,26728564,31.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,561878000,14735856,38.0,11992708,-7.0,SELL-PARTIAL,5 - Large
1,MMM,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,807448000,6761979,119.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,996771000,9115422,109.0,-2353443,10.0,SELL-PARTIAL,5 - Large
2,ITW,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,770314000,10099834,76.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,693273000,10022741,69.0,77093,7.0,SELL-PARTIAL,5 - Large
3,BRK.B,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,767350000,6760197,113.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,839084000,7497181,111.0,-736984,2.0,SELL-PARTIAL,5 - Large
4,BK,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,719541000,23833754,30.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,662907000,23633048,28.0,200706,2.0,SELL-PARTIAL,6 - Mega
5,TEL,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,709044000,13693404,51.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,619233000,13597573,45.0,95831,6.0,SELL-PARTIAL,6 - Mega
6,ACN,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,705898000,9585790,73.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,629156000,8743138,71.0,842652,2.0,SELL-PARTIAL,5 - Large
7,SLB,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,697073000,7889007,88.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,561567000,7836546,71.0,52461,17.0,SELL-PARTIAL,5 - Large
8,DVN,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,671775000,11630460,57.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,598760000,11541257,51.0,89203,6.0,SELL-PARTIAL,6 - Mega
9,COV,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,665095000,10913926,60.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,527752000,8398348,62.0,2515578,-2.0,SELL-PARTIAL,5 - Large
10,WMT,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,569205000,7696124,73.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,573089000,7693497,74.0,2627,-1.0,BUY-MORE,5 - Large
11,DANOY,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,549530000,36537929,15.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,431416000,28761047,15.0,7776882,0.0,BUY-MORE,5 - Large
12,CTAS,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,546954000,10682693,51.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,473264000,10392278,45.0,290415,6.0,SELL-PARTIAL,5 - Large
13,CMA,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,540180000,13741542,39.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,543653000,13649332,39.0,92210,0.0,SELL-PARTIAL,5 - Large
14,EXPD,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,530522000,12040900,44.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,454591000,11959775,38.0,81125,6.0,BUY-MORE,5 - Large
15,ABC,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,518982000,8493983,61.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,471030000,8436860,55.0,57123,6.0,BUY-MORE,5 - Large
16,AXP,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,517175000,6848192,75.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,508369000,6800011,74.0,48181,1.0,SELL-PARTIAL,5 - Large
17,PCAR,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,436137000,7835727,55.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,417249000,7775796,53.0,59931,2.0,BUY-MORE,5 - Large
18,NSRGY,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,418454000,6012268,69.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,392290000,5963671,65.0,48597,4.0,SELL-PARTIAL,5 - Large
19,TWX,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,406613000,6178586,65.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,483791000,8367196,57.0,-2188610,8.0,SELL-PARTIAL,5 - Large
20,MSFT,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,401584000,12055969,33.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,413342000,11970524,34.0,85445,-1.0,SELL-PARTIAL,5 - Large
21,SYY,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,388802000,12214968,31.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,414028000,12120263,34.0,94705,-3.0,SELL-PARTIAL,5 - Large
22,WLTW,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,358384000,8271045,43.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,335372000,8223935,40.0,47110,3.0,SELL-PARTIAL,5 - Large
23,GSK,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,307943000,6137991,50.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,455548000,9116420,49.0,-2978429,1.0,SELL-PARTIAL,6 - Mega
24,ARW,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,160347000,3304072,48.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,130027000,3262922,39.0,41150,9.0,SELL-PARTIAL,5 - Large
25,XEC,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,127094000,1318407,96.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,99590000,1532387,64.0,-213980,32.0,SELL-PARTIAL,5 - Large
26,BR,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,115520000,3638421,31.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,88717000,3337751,26.0,300670,5.0,SELL-PARTIAL,5 - Large
27,PDCO,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,113572000,2825165,40.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,104674000,2783890,37.0,41275,3.0,SELL-PARTIAL,5 - Large
28,AXE,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,110380000,1259179,87.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,94406000,1245294,75.0,13885,12.0,BUY-MORE,5 - Large
29,CSL,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,102928000,1464331,70.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,80299000,1288701,62.0,175630,8.0,BUY-MORE,4 - Mid
30,CFR,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,99923000,1416340,70.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,93578000,1401505,66.0,14835,4.0,SELL-PARTIAL,4 - Mid
31,FDO,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,96987000,1346669,72.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,82771000,1328374,62.0,18295,10.0,BUY-MORE,5 - Large
32,PL,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,95443000,2243075,42.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,85365000,2222460,38.0,20615,4.0,BUY-MORE,4 - Mid
33,KMT,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,90156000,1977106,45.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,75778000,1951521,38.0,25585,7.0,BUY-MORE,4 - Mid
34,FUL,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,89911000,1989615,45.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,73762000,1950850,37.0,38765,8.0,BUY-MORE,4 - Mid
35,WRB,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,89016000,2076904,42.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,83800000,2050914,40.0,25990,2.0,BUY-MORE,4 - Mid
36,AVY,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,83439000,1917257,43.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,80786000,1889282,42.0,27975,1.0,BUY-MORE,5 - Large
37,R,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,77943000,1305575,59.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,65337000,1074795,60.0,230780,-1.0,SELL-PARTIAL,4 - Mid
38,KEX,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,72788000,840997,86.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,65666000,825566,79.0,15431,7.0,BUY-MORE,5 - Large
39,DNB3,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,69837000,672484,103.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,64772000,664664,97.0,7820,6.0,BUY-MORE,4 - Mid
40,CMP,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,68525000,898456,76.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,60728000,718421,84.0,180035,-8.0,BUY-MORE,4 - Mid
41,SCSC,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,67927000,1963200,34.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,62239000,1944980,31.0,18220,3.0,SELL-PARTIAL,3 - Small
42,INT,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,62079000,1663859,37.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,65191000,1630579,39.0,33280,-2.0,BUY-MORE,4 - Mid
43,OMI,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,56220000,1625315,34.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,54078000,1598525,33.0,26790,1.0,BUY-MORE,4 - Mid
44,IPHS,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,55209000,1046026,52.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,48474000,1027653,47.0,18373,5.0,BUY-MORE,4 - Mid
45,GLRE,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,53357000,1876120,28.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,44634000,1819575,24.0,56545,4.0,BUY-MORE,4 - Mid
46,ATR,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,48051000,799114,60.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,76875000,1392419,55.0,-593305,5.0,SELL-PARTIAL,4 - Mid
47,AJG,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,47745000,1093814,43.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,74460000,1704284,43.0,-610470,0.0,SELL-PARTIAL,4 - Mid
48,ZION,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,45757000,1668730,27.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,35305000,1222465,28.0,446265,-1.0,BUY-MORE,4 - Mid
49,MKSI,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,42379000,1593777,26.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,37683000,1419847,26.0,173930,0.0,SELL-PARTIAL,3 - Small
50,RHI,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,41149000,1054287,39.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,34077000,1025492,33.0,28795,6.0,SELL-PARTIAL,4 - Mid
51,FWRD,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,35370000,876569,40.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,32024000,836579,38.0,39990,2.0,BUY-MORE,4 - Mid
52,MSA,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,13334000,258360,51.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,41578000,893185,46.0,-634825,5.0,SELL-PARTIAL,4 - Mid
53,FRFHF,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,4891000,12000,407.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,4096000,10500,390.0,1500,17.0,BUY-MORE,4 - Mid
54,FBIZ,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,814000,24948,32.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,748000,24948,29.0,0,3.0,BUY-MORE,4 - Mid
55,UEPS,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,303000,25200,12.0,FIDUCIARY MANAGEMENT INC,SHR,2013-06-30,185000,25200,7.0,0,5.0,BUY-MORE,3 - Small
0,AXE,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,1111933000,1245914,892.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,110380000,1259179,87.0,-13265,805.0,SELL-PARTIAL,5 - Large
1,POT,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,1003582000,30448479,32.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,836069000,26728564,31.0,3719915,1.0,SELL-PARTIAL,5 - Large
2,MMM,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,954477000,6805542,140.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,807448000,6761979,119.0,43563,21.0,SELL-PARTIAL,5 - Large
3,ACN,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,862018000,10484287,82.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,705898000,9585790,73.0,898497,9.0,SELL-PARTIAL,5 - Large
4,ITW,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,852927000,10144229,84.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,770314000,10099834,76.0,44395,8.0,SELL-PARTIAL,6 - Mega
5,BK,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,837259000,23962779,34.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,719541000,23833754,30.0,129025,4.0,SELL-PARTIAL,6 - Mega
6,BRK.B,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,807383000,6809912,118.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,767350000,6760197,113.0,49715,5.0,SELL-PARTIAL,5 - Large
7,COV,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,747037000,10969700,68.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,665095000,10913926,60.0,55774,8.0,SELL-PARTIAL,5 - Large
8,DVN,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,723205000,11689102,61.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,671775000,11630460,57.0,58642,4.0,SELL-PARTIAL,6 - Mega
9,SLB,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,716282000,7948969,90.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,697073000,7889007,88.0,59962,2.0,SELL-PARTIAL,5 - Large
10,AXP,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,707200000,7794554,90.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,517175000,6848192,75.0,946362,15.0,BUY-MORE,5 - Large
11,CMA,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,656622000,13811992,47.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,540180000,13741542,39.0,70450,8.0,BUY-MORE,5 - Large
12,CTAS,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,638935000,10722188,59.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,546954000,10682693,51.0,39495,8.0,SELL-PARTIAL,5 - Large
13,WMT,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,608507000,7732971,78.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,569205000,7696124,73.0,36847,5.0,SELL-PARTIAL,5 - Large
14,DANOY,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,605803000,41721959,14.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,549530000,36537929,15.0,5184030,-1.0,BUY-MORE,5 - Large
15,NSRGY,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,603844000,820523,735.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,418454000,6012268,69.0,-5191745,666.0,BUY-MORE,5 - Large
16,ABC,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,600777000,8544692,70.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,518982000,8493983,61.0,50709,9.0,SELL-PARTIAL,5 - Large
17,EXPD,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,536062000,12114390,44.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,530522000,12040900,44.0,73490,0.0,BUY-MORE,5 - Large
18,TEL,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,516664000,9375140,55.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,709044000,13693404,51.0,-4318264,4.0,SELL-PARTIAL,5 - Large
19,PCAR,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,466388000,7882167,59.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,436137000,7835727,55.0,46440,4.0,SELL-PARTIAL,5 - Large
20,TWX,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,433694000,6220517,69.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,406613000,6178586,65.0,41931,4.0,SELL-PARTIAL,5 - Large
21,UNH,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,422681000,5613300,75.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,138380000,1932415,71.0,3680885,4.0,SELL-PARTIAL,5 - Large
22,WLTW,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,372573000,8314500,44.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,358384000,8271045,43.0,43455,1.0,SELL-PARTIAL,5 - Large
23,GSK,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,329574000,6172951,53.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,307943000,6137991,50.0,34960,3.0,SELL-PARTIAL,6 - Mega
24,BR,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,145175000,3673466,39.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,115520000,3638421,31.0,35045,8.0,SELL-PARTIAL,5 - Large
25,ARW,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,134060000,2471152,54.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,160347000,3304072,48.0,-832920,6.0,SELL-PARTIAL,5 - Large
26,PDCO,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,115429000,2801670,41.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,113572000,2825165,40.0,-23495,1.0,SELL-PARTIAL,5 - Large
27,CSL,FIDUCIARY MANAGEMENT INC,SHR,2013-12-31,115115000,1449811,79.0,FIDUCIARY MANAGEMENT INC,SHR,2013-09-30,102928000,1464331,70.0,-14520,9.0,SELL-PARTIAL,5 - Large
