,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MSFT,FLOSSBACH VON STORCH AG,SHR,2013-09-30,242815000,7296135,33.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,207086000,5994660,34.0,1301475,-1.0,BUY-MORE,5 - Large
1,QCOM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,241979000,3594452,67.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,253321000,4146682,61.0,-552230,6.0,BUY-MORE,5 - Large
2,MCD,FLOSSBACH VON STORCH AG,SHR,2013-09-30,189434000,1968965,96.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,160557000,1621785,99.0,347180,-3.0,BUY-MORE,6 - Mega
3,KO,FLOSSBACH VON STORCH AG,SHR,2013-09-30,189324000,4998000,37.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,147505000,3677500,40.0,1320500,-3.0,SELL-PARTIAL,6 - Mega
4,KO,FLOSSBACH VON STORCH AG,CLL,2013-09-30,9470000,2500,3788.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,147505000,3677500,40.0,-3675000,3748.0,BUY-MORE,4 - Mid
5,ORCL,FLOSSBACH VON STORCH AG,SHR,2013-09-30,149132000,4496003,33.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,130607000,4251523,30.0,244480,3.0,BUY-MORE,4 - Mid
6,XOM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,140209000,1629574,86.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,115273000,1275850,90.0,353724,-4.0,SELL-PARTIAL,4 - Mid
7,NOV,FLOSSBACH VON STORCH AG,SHR,2013-09-30,134736000,1724956,78.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,149040000,2163131,68.0,-438175,10.0,HOLD,4 - Mid
8,CSCO,FLOSSBACH VON STORCH AG,SHR,2013-09-30,134681000,5748000,23.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,155367000,6384500,24.0,-636500,-1.0,BUY-MORE,6 - Mega
9,PFE,FLOSSBACH VON STORCH AG,SHR,2013-09-30,131942000,4593270,28.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,126421000,4513440,28.0,79830,0.0,BUY-MORE,5 - Large
10,EMC,FLOSSBACH VON STORCH AG,SHR,2013-09-30,128991000,5046580,25.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,129690000,5490670,23.0,-444090,2.0,BUY-MORE,6 - Mega
11,EMC,FLOSSBACH VON STORCH AG,SHR,2013-09-30,128991000,5046580,25.0,FLOSSBACH VON STORCH AG,DBT,2013-06-30,2231000,1500000,1.0,3546580,24.0,BUY-MORE,6 - Mega
12,EMC,FLOSSBACH VON STORCH AG,SHR,2013-09-30,128991000,5046580,25.0,FLOSSBACH VON STORCH AG,CLL,2013-06-30,945000,1400,675.0,5045180,-650.0,SELL-PARTIAL,6 - Mega
13,ABT,FLOSSBACH VON STORCH AG,SHR,2013-09-30,115182000,3470386,33.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,62062000,1779287,34.0,1691099,-1.0,SELL-PARTIAL,6 - Mega
14,WMT,FLOSSBACH VON STORCH AG,SHR,2013-09-30,100069000,1353020,73.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,104643000,1404790,74.0,-51770,-1.0,SELL-PARTIAL,5 - Large
15,JNJ,FLOSSBACH VON STORCH AG,SHR,2013-09-30,97022000,1119186,86.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,133187000,1551210,85.0,-432024,1.0,BUY-MORE,5 - Large
16,EMR,FLOSSBACH VON STORCH AG,SHR,2013-09-30,89650000,1385620,64.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,132685000,2432805,54.0,-1047185,10.0,BUY-MORE,5 - Large
17,XRX,FLOSSBACH VON STORCH AG,SHR,2013-09-30,85744000,8332766,10.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,48807000,5381155,9.0,2951611,1.0,SELL-PARTIAL,5 - Large
18,K,FLOSSBACH VON STORCH AG,SHR,2013-09-30,78014000,1328350,58.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,78142000,1216600,64.0,111750,-6.0,HOLD,5 - Large
19,IBM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,66502000,359120,185.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,76000,400,190.0,358720,-5.0,SELL-PARTIAL,5 - Large
20,MMM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,51519000,431450,119.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,134031000,1225710,109.0,-794260,10.0,BUY-MORE,5 - Large
21,MDT,FLOSSBACH VON STORCH AG,SHR,2013-09-30,49419000,928050,53.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,44715000,868750,51.0,59300,2.0,SELL-PARTIAL,5 - Large
22,NEM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,49344000,1756000,28.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,12697000,423940,29.0,1332060,-1.0,BUY-MORE,5 - Large
23,NEM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,49344000,1756000,28.0,FLOSSBACH VON STORCH AG,DBT,2013-06-30,11185000,10500000,1.0,-8744000,27.0,HOLD,5 - Large
24,NEM,FLOSSBACH VON STORCH AG,DBT,2013-09-30,11456000,10500000,1.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,12697000,423940,29.0,10076060,-28.0,BUY-MORE,5 - Large
25,NEM,FLOSSBACH VON STORCH AG,DBT,2013-09-30,11456000,10500000,1.0,FLOSSBACH VON STORCH AG,DBT,2013-06-30,11185000,10500000,1.0,0,0.0,BUY-MORE,6 - Mega
26,ABBV,FLOSSBACH VON STORCH AG,SHR,2013-09-30,47781000,1068200,44.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,43465000,1051400,41.0,16800,3.0,BUY-MORE,5 - Large
27,CVX,FLOSSBACH VON STORCH AG,SHR,2013-09-30,45674000,375921,121.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,23786000,201000,118.0,174921,3.0,BUY-MORE,5 - Large
28,AAPL,FLOSSBACH VON STORCH AG,SHR,2013-09-30,44514000,93370,476.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,142826000,360190,396.0,-266820,80.0,BUY-MORE,5 - Large
29,AMGN,FLOSSBACH VON STORCH AG,SHR,2013-09-30,44142000,394390,111.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,60074000,608900,98.0,-214510,13.0,BUY-MORE,5 - Large
30,MO,FLOSSBACH VON STORCH AG,SHR,2013-09-30,42577000,1239500,34.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,31001000,886000,34.0,353500,0.0,SELL-PARTIAL,5 - Large
31,TPR,FLOSSBACH VON STORCH AG,SHR,2013-09-30,41097000,753650,54.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,85739000,1501814,57.0,-748164,-3.0,BUY-MORE,5 - Large
32,PM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,40406000,466633,86.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,36842000,425333,86.0,41300,0.0,SELL-PARTIAL,6 - Mega
33,PETM,FLOSSBACH VON STORCH AG,SHR,2013-09-30,40010000,524650,76.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,37545000,560450,66.0,-35800,10.0,SELL-PARTIAL,5 - Large
34,LO,FLOSSBACH VON STORCH AG,SHR,2013-09-30,39834000,889544,44.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,53838000,1232544,43.0,-343000,1.0,BUY-MORE,5 - Large
35,WU,FLOSSBACH VON STORCH AG,SHR,2013-09-30,35260000,1889580,18.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,32628000,1906950,17.0,-17370,1.0,BUY-MORE,5 - Large
36,MDLZ,FLOSSBACH VON STORCH AG,SHR,2013-09-30,34754000,1106060,31.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,27400000,960400,28.0,145660,3.0,SELL-PARTIAL,5 - Large
37,PEP,FLOSSBACH VON STORCH AG,SHR,2013-09-30,29479000,370800,79.0,FLOSSBACH VON STORCH AG,SHR,2013-06-30,34024000,415990,81.0,-45190,-2.0,BUY-MORE,6 - Mega
