,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NSM,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,3819292000,67922682,56.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,2540012000,67842212,37.0,80470,19.0,HOLD,5 - Large
1,BKD,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,462718000,17593826,26.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,465180000,17593826,26.0,0,0.0,HOLD,4 - Mid
2,AIG,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,310476000,6384486,48.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,284660000,6384486,44.0,0,4.0,SELL-PARTIAL,5 - Large
3,WD,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,167796000,10546534,15.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,184564000,10546534,17.0,0,-2.0,BUY-MORE,4 - Mid
4,GLD,FORTRESS INVESTMENT GROUP LLC,CLL,2013-09-30,49349000,385000,128.0,FORTRESS INVESTMENT GROUP LLC,CLL,2013-06-30,45858000,385000,119.0,0,9.0,HOLD,3 - Small
5,GDX,FORTRESS INVESTMENT GROUP LLC,CLL,2013-09-30,34127000,1364000,25.0,FORTRESS INVESTMENT GROUP LLC,CLL,2013-06-30,24167000,986800,24.0,377200,1.0,HOLD,3 - Small
6,AMZN,FORTRESS INVESTMENT GROUP LLC,CLL,2013-09-30,28949000,92600,312.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,363000,1307,277.0,91293,35.0,BUY-MORE,3 - Small
7,AMZN,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,13654000,43674,312.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,363000,1307,277.0,42367,35.0,SELL-PARTIAL,3 - Small
8,XOM,FORTRESS INVESTMENT GROUP LLC,PUT,2013-09-30,25810000,300000,86.0,FORTRESS INVESTMENT GROUP LLC,CLL,2013-06-30,8132000,90000,90.0,210000,-4.0,HOLD,3 - Small
9,ETN,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,15966000,231939,68.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,15169000,230500,65.0,1439,3.0,SELL-PARTIAL,3 - Small
10,CHDN,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,15051000,173956,86.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,13715000,173956,78.0,0,8.0,HOLD,4 - Mid
11,GM,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,12858000,357490,35.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,27417000,823090,33.0,-465600,2.0,HOLD,3 - Small
12,HLF,FORTRESS INVESTMENT GROUP LLC,CLL,2013-09-30,12209000,175000,69.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,6952000,154000,45.0,21000,24.0,SELL-PARTIAL,3 - Small
13,GMLP,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,11155000,343286,32.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,15226000,446566,34.0,-103280,-2.0,HOLD,4 - Mid
14,PENN,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,8737000,157823,55.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,8352000,157823,52.0,0,3.0,HOLD,3 - Small
15,SBGI,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,8058000,240421,33.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,5064000,172421,29.0,68000,4.0,HOLD,4 - Mid
16,EDU,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,7292000,292809,24.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,12974000,585708,22.0,-292899,2.0,HOLD,3 - Small
17,DS,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,6905000,1228691,5.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,6426000,1228691,5.0,0,0.0,HOLD,4 - Mid
18,BIDU,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,6765000,43600,155.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,1243000,13150,94.0,30450,61.0,HOLD,3 - Small
19,EEM,FORTRESS INVESTMENT GROUP LLC,FND,2013-09-30,5899000,144700,40.0,FORTRESS INVESTMENT GROUP LLC,FND,2013-06-30,20871000,541150,38.0,-396450,2.0,HOLD,3 - Small
20,CCK,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,5696000,134700,42.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,6786000,165000,41.0,-30300,1.0,SELL-PARTIAL,3 - Small
21,SPLK,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,5376000,89539,60.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,5709000,123148,46.0,-33609,14.0,HOLD,2 - Micro
22,SPLK,FORTRESS INVESTMENT GROUP LLC,CLL,2013-09-30,420000,7000,60.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,5709000,123148,46.0,-116148,14.0,HOLD,4 - Mid
23,TM,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,4830000,37726,128.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,4586000,38000,120.0,-274,8.0,HOLD,3 - Small
24,GD,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,3046000,34800,87.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,15384000,196400,78.0,-161600,9.0,HOLD,5 - Large
25,AGO,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,2718000,145000,18.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,3199000,145000,22.0,0,-4.0,HOLD,3 - Small
26,GOOGL,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,2657000,3033,876.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,55870000,63464,880.0,-60431,-4.0,HOLD,3 - Small
27,SINA,FORTRESS INVESTMENT GROUP LLC,SHR,2013-09-30,2508000,30898,81.0,FORTRESS INVESTMENT GROUP LLC,SHR,2013-06-30,6855000,123000,55.0,-92102,26.0,HOLD,4 - Mid
