,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NSRGY,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,987616000,14119392,69.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,866434000,13232876,65.0,886516,4.0,SELL-PARTIAL,6 - Mega
1,BRK.A,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,844041000,4953,170410.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,824623000,4891,168600.0,62,1810.0,SELL-PARTIAL,6 - Mega
2,PM,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,832713000,9616739,86.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,796189000,9191748,86.0,424991,0.0,SELL-PARTIAL,5 - Large
3,CFRHF,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,681344000,6800276,100.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,600269000,6797657,88.0,2619,12.0,BUY-MORE,5 - Large
4,MA,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,674082000,1001935,672.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,562997000,979977,574.0,21958,98.0,SELL-PARTIAL,5 - Large
5,HEINY,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,636572000,10070489,63.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,549657000,9821379,55.0,249110,8.0,SELL-PARTIAL,5 - Large
6,WFC,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,574709000,13908732,41.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,558483000,13532418,41.0,376314,0.0,SELL-PARTIAL,5 - Large
7,WFC,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,574709000,13908732,41.0,GARDNER RUSSO GARDNER LLC,WNT,2013-06-30,2430000,177750,13.0,13730982,28.0,SELL-PARTIAL,5 - Large
8,WFC,GARDNER RUSSO GARDNER LLC,WNT,2013-09-30,2496000,177750,14.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,558483000,13532418,41.0,-13354668,-27.0,SELL-PARTIAL,6 - Mega
9,WFC,GARDNER RUSSO GARDNER LLC,WNT,2013-09-30,2496000,177750,14.0,GARDNER RUSSO GARDNER LLC,WNT,2013-06-30,2430000,177750,13.0,0,1.0,SELL-PARTIAL,5 - Large
10,PDRDY,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,551256000,4476150,123.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,460189000,4194282,109.0,281868,14.0,BUY-MORE,6 - Mega
11,SBMRY,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,543473000,10675988,50.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,483363000,10109303,47.0,566685,3.0,SELL-PARTIAL,6 - Mega
12,BUD,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,481010000,4848827,99.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,414159000,4588748,90.0,260079,9.0,SELL-PARTIAL,5 - Large
13,UN,GARDNER RUSSO GARDNER LLC,SHR,2013-09-30,403323000,10691578,37.0,GARDNER RUSSO GARDNER LLC,SHR,2013-06-30,396898000,10096606,39.0,594972,-2.0,SELL-PARTIAL,5 - Large
