,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GE,GENERAL ELECTRIC CO,SHR,2013-09-30,2043591000,85541685,23.0,GENERAL ELECTRIC CO,SHR,2013-06-30,2059978000,88830439,23.0,-3288754,0.0,SELL-PARTIAL,4 - Mid
1,QCOM,GENERAL ELECTRIC CO,SHR,2013-09-30,539357000,8011839,67.0,GENERAL ELECTRIC CO,SHR,2013-06-30,493013000,8070277,61.0,-58438,6.0,HOLD,3 - Small
2,SLB,GENERAL ELECTRIC CO,SHR,2013-09-30,506904000,5736800,88.0,GENERAL ELECTRIC CO,SHR,2013-06-30,406015000,5665855,71.0,70945,17.0,HOLD,6 - Mega
3,EMC,GENERAL ELECTRIC CO,SHR,2013-09-30,461539000,18057100,25.0,GENERAL ELECTRIC CO,SHR,2013-06-30,319435000,13523901,23.0,4533199,2.0,HOLD,6 - Mega
4,BIDU,GENERAL ELECTRIC CO,SHR,2013-09-30,439620000,2832971,155.0,GENERAL ELECTRIC CO,SHR,2013-06-30,307799000,3253619,94.0,-420648,61.0,SELL-PARTIAL,1 - Nano
5,ESRX,GENERAL ELECTRIC CO,SHR,2013-09-30,420164000,6798775,61.0,GENERAL ELECTRIC CO,SHR,2013-06-30,398600000,6456105,61.0,342670,0.0,SELL-PARTIAL,5 - Large
6,PEP,GENERAL ELECTRIC CO,SHR,2013-09-30,416824000,5243063,79.0,GENERAL ELECTRIC CO,SHR,2013-06-30,418510000,5116882,81.0,126181,-2.0,SELL-PARTIAL,6 - Mega
7,LOW,GENERAL ELECTRIC CO,SHR,2013-09-30,397879000,8357047,47.0,GENERAL ELECTRIC CO,SHR,2013-06-30,345536000,8448315,40.0,-91268,7.0,SELL-PARTIAL,6 - Mega
8,AAPL,GENERAL ELECTRIC CO,SHR,2013-09-30,391714000,821634,476.0,GENERAL ELECTRIC CO,SHR,2013-06-30,378878000,955484,396.0,-133850,80.0,SELL-PARTIAL,6 - Mega
9,JNJ,GENERAL ELECTRIC CO,SHR,2013-09-30,390825000,4508303,86.0,GENERAL ELECTRIC CO,SHR,2013-06-30,418100000,4869558,85.0,-361255,1.0,SELL-PARTIAL,5 - Large
10,CSCO,GENERAL ELECTRIC CO,SHR,2013-09-30,369467000,15768315,23.0,GENERAL ELECTRIC CO,SHR,2013-06-30,382962000,15737106,24.0,31209,-1.0,SELL-PARTIAL,6 - Mega
11,GILD,GENERAL ELECTRIC CO,SHR,2013-09-30,360478000,5733708,62.0,GENERAL ELECTRIC CO,SHR,2013-06-30,289754000,5651531,51.0,82177,11.0,SELL-PARTIAL,5 - Large
12,CME,GENERAL ELECTRIC CO,SHR,2013-09-30,344628000,4664705,73.0,GENERAL ELECTRIC CO,SHR,2013-06-30,355294000,4677997,75.0,-13292,-2.0,BUY-MORE,5 - Large
13,CVX,GENERAL ELECTRIC CO,SHR,2013-09-30,340417000,2801789,121.0,GENERAL ELECTRIC CO,SHR,2013-06-30,336350000,2842238,118.0,-40449,3.0,SELL-PARTIAL,5 - Large
14,JPM,GENERAL ELECTRIC CO,SHR,2013-09-30,339100000,6560255,51.0,GENERAL ELECTRIC CO,SHR,2013-06-30,340067000,6441879,52.0,118376,-1.0,SELL-PARTIAL,6 - Mega
15,MON,GENERAL ELECTRIC CO,SHR,2013-09-30,318903000,3055507,104.0,GENERAL ELECTRIC CO,SHR,2013-06-30,258133000,2612679,98.0,442828,6.0,BUY-MORE,5 - Large
16,PFE,GENERAL ELECTRIC CO,SHR,2013-09-30,314473000,10947697,28.0,GENERAL ELECTRIC CO,SHR,2013-06-30,314154000,11215764,28.0,-268067,0.0,SELL-PARTIAL,5 - Large
17,COV,GENERAL ELECTRIC CO,SHR,2013-09-30,309322000,5075849,60.0,GENERAL ELECTRIC CO,SHR,2013-06-30,345238000,5493918,62.0,-418069,-2.0,SELL-PARTIAL,6 - Mega
18,GOOGL,GENERAL ELECTRIC CO,SHR,2013-09-30,291457000,332748,875.0,GENERAL ELECTRIC CO,SHR,2013-06-30,261441000,296967,880.0,35781,-5.0,SELL-PARTIAL,6 - Mega
19,EBAY,GENERAL ELECTRIC CO,SHR,2013-09-30,277330000,4970526,55.0,GENERAL ELECTRIC CO,SHR,2013-06-30,261101000,5048366,51.0,-77840,4.0,SELL-PARTIAL,5 - Large
20,DOV,GENERAL ELECTRIC CO,SHR,2013-09-30,277286000,3086786,89.0,GENERAL ELECTRIC CO,SHR,2013-06-30,269432000,3469379,77.0,-382593,12.0,BUY-MORE,6 - Mega
21,LBTYA,GENERAL ELECTRIC CO,SHR,2013-09-30,267600000,3547659,75.0,GENERAL ELECTRIC CO,SHR,2013-06-30,241975000,3564225,67.0,-16566,8.0,BUY-MORE,5 - Large
22,V,GENERAL ELECTRIC CO,SHR,2013-09-30,266985000,1397096,191.0,GENERAL ELECTRIC CO,SHR,2013-06-30,336862000,1843294,182.0,-446198,9.0,SELL-PARTIAL,5 - Large
23,APC,GENERAL ELECTRIC CO,SHR,2013-09-30,261941000,2816869,92.0,GENERAL ELECTRIC CO,SHR,2013-06-30,283758000,3302194,85.0,-485325,7.0,BUY-MORE,5 - Large
24,HON,GENERAL ELECTRIC CO,SHR,2013-09-30,261415000,3148066,83.0,GENERAL ELECTRIC CO,SHR,2013-06-30,261848000,3300323,79.0,-152257,4.0,BUY-MORE,6 - Mega
25,STT,GENERAL ELECTRIC CO,SHR,2013-09-30,250540000,3810496,65.0,GENERAL ELECTRIC CO,SHR,2013-06-30,248426000,3809623,65.0,873,0.0,SELL-PARTIAL,6 - Mega
26,AMGN,GENERAL ELECTRIC CO,SHR,2013-09-30,247510000,2211396,111.0,GENERAL ELECTRIC CO,SHR,2013-06-30,147956000,1499653,98.0,711743,13.0,SELL-PARTIAL,6 - Mega
27,C,GENERAL ELECTRIC CO,SHR,2013-09-30,234633000,4836790,48.0,GENERAL ELECTRIC CO,SHR,2013-06-30,224596000,4682012,47.0,154778,1.0,SELL-PARTIAL,5 - Large
28,OXY,GENERAL ELECTRIC CO,SHR,2013-09-30,231669000,2476680,93.0,GENERAL ELECTRIC CO,SHR,2013-06-30,206282000,2311806,89.0,164874,4.0,SELL-PARTIAL,5 - Large
29,GS,GENERAL ELECTRIC CO,SHR,2013-09-30,231305000,1462010,158.0,GENERAL ELECTRIC CO,SHR,2013-06-30,224969000,1487401,151.0,-25391,7.0,SELL-PARTIAL,6 - Mega
30,WFC,GENERAL ELECTRIC CO,SHR,2013-09-30,218958000,5299077,41.0,GENERAL ELECTRIC CO,SHR,2013-06-30,227178000,5504682,41.0,-205605,0.0,SELL-PARTIAL,5 - Large
31,AMT,GENERAL ELECTRIC CO,SHR,2013-09-30,217849000,2938737,74.0,GENERAL ELECTRIC CO,SHR,2013-06-30,178391000,2438033,73.0,500704,1.0,SELL-PARTIAL,5 - Large
32,UNH,GENERAL ELECTRIC CO,SHR,2013-09-30,211432000,2952542,71.0,GENERAL ELECTRIC CO,SHR,2013-06-30,216668000,3308913,65.0,-356371,6.0,SELL-PARTIAL,6 - Mega
33,UPS,GENERAL ELECTRIC CO,SHR,2013-09-30,203322000,2225257,91.0,GENERAL ELECTRIC CO,SHR,2013-06-30,237840000,2750229,86.0,-524972,5.0,BUY-MORE,5 - Large
34,TWX,GENERAL ELECTRIC CO,SHR,2013-09-30,200928000,3053149,65.0,GENERAL ELECTRIC CO,SHR,2013-06-30,162965000,2818496,57.0,234653,8.0,SELL-PARTIAL,5 - Large
35,AIG,GENERAL ELECTRIC CO,SHR,2013-09-30,199019000,4092525,48.0,GENERAL ELECTRIC CO,SHR,2013-06-30,193967000,4339303,44.0,-246778,4.0,BUY-MORE,6 - Mega
36,DKS,GENERAL ELECTRIC CO,SHR,2013-09-30,198842000,3725027,53.0,GENERAL ELECTRIC CO,SHR,2013-06-30,150750000,3011377,50.0,713650,3.0,BUY-MORE,5 - Large
37,CMCSA,GENERAL ELECTRIC CO,SHR,2013-09-30,192205000,4433789,43.0,GENERAL ELECTRIC CO,SHR,2013-06-30,175744000,4430149,39.0,3640,4.0,SELL-PARTIAL,5 - Large
38,CMCSK,GENERAL ELECTRIC CO,SHR,2013-09-30,191180000,4237618,45.0,GENERAL ELECTRIC CO,SHR,2013-06-30,153987000,3688309,41.0,549309,4.0,SELL-PARTIAL,5 - Large
39,LYB,GENERAL ELECTRIC CO,SHR,2013-09-30,186850000,2551550,73.0,GENERAL ELECTRIC CO,SHR,2013-06-30,157832000,2382003,66.0,169547,7.0,SELL-PARTIAL,5 - Large
40,AMP,GENERAL ELECTRIC CO,SHR,2013-09-30,181560000,1993408,91.0,GENERAL ELECTRIC CO,SHR,2013-06-30,170875000,2112704,80.0,-119296,11.0,SELL-PARTIAL,5 - Large
41,HAL,GENERAL ELECTRIC CO,SHR,2013-09-30,181096000,3761088,48.0,GENERAL ELECTRIC CO,SHR,2013-06-30,168625000,4041820,41.0,-280732,7.0,BUY-MORE,5 - Large
42,F,GENERAL ELECTRIC CO,SHR,2013-09-30,176783000,10479132,16.0,GENERAL ELECTRIC CO,SHR,2013-06-30,156507000,10116823,15.0,362309,1.0,BUY-MORE,5 - Large
43,ORCL,GENERAL ELECTRIC CO,SHR,2013-09-30,162755000,4906690,33.0,GENERAL ELECTRIC CO,SHR,2013-06-30,180379000,5873638,30.0,-966948,3.0,SELL-PARTIAL,5 - Large
44,CCE1,GENERAL ELECTRIC CO,SHR,2013-09-30,161082000,4006017,40.0,GENERAL ELECTRIC CO,SHR,2013-06-30,132676000,3773485,35.0,232532,5.0,SELL-PARTIAL,5 - Large
45,CB,GENERAL ELECTRIC CO,SHR,2013-09-30,154048000,1646511,93.0,GENERAL ELECTRIC CO,SHR,2013-06-30,174189000,1946684,89.0,-300173,4.0,BUY-MORE,5 - Large
46,IVZ,GENERAL ELECTRIC CO,SHR,2013-09-30,149543000,4687865,31.0,GENERAL ELECTRIC CO,SHR,2013-06-30,158129000,4972618,31.0,-284753,0.0,BUY-MORE,6 - Mega
47,RF,GENERAL ELECTRIC CO,SHR,2013-09-30,139491000,15063815,9.0,GENERAL ELECTRIC CO,SHR,2013-06-30,154326000,16193725,9.0,-1129910,0.0,BUY-MORE,6 - Mega
48,DISCK,GENERAL ELECTRIC CO,SHR,2013-09-30,137017000,1753935,78.0,GENERAL ELECTRIC CO,SHR,2013-06-30,136322000,1953828,69.0,-199893,9.0,BUY-MORE,4 - Mid
49,LVS,GENERAL ELECTRIC CO,SHR,2013-09-30,135542000,2040681,66.0,GENERAL ELECTRIC CO,SHR,2013-06-30,83415000,1575949,52.0,464732,14.0,BUY-MORE,5 - Large
50,AMZN,GENERAL ELECTRIC CO,SHR,2013-09-30,125671000,401968,312.0,GENERAL ELECTRIC CO,SHR,2013-06-30,107001000,385326,277.0,16642,35.0,BUY-MORE,5 - Large
51,AGN,GENERAL ELECTRIC CO,SHR,2013-09-30,123684000,858918,143.0,GENERAL ELECTRIC CO,SHR,2013-06-30,113145000,896411,126.0,-37493,17.0,BUY-MORE,5 - Large
52,INTU,GENERAL ELECTRIC CO,SHR,2013-09-30,123431000,1861426,66.0,GENERAL ELECTRIC CO,SHR,2013-06-30,106325000,1741886,61.0,119540,5.0,SELL-PARTIAL,5 - Large
