,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,QCOM,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,611717000,9081312,67.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,480251000,7862656,61.0,1218656,6.0,SELL-PARTIAL,5 - Large
1,INTU,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,473922000,7147074,66.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,386697000,6336173,61.0,810901,5.0,BUY-MORE,5 - Large
2,WAT,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,385424000,3628887,106.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,351750000,3515743,100.0,113144,6.0,SELL-PARTIAL,5 - Large
3,MSCI,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,376858000,9360599,40.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,301673000,9067423,33.0,293176,7.0,BUY-MORE,5 - Large
4,BDX,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,352084000,3520135,100.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,338157000,3421607,98.0,98528,2.0,BUY-MORE,5 - Large
5,HSIC,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,330902000,3190959,103.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,412979000,4313093,95.0,-1122134,8.0,SELL-PARTIAL,5 - Large
6,VAR,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,288330000,3858289,74.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,252521000,3743821,67.0,114468,7.0,BUY-MORE,5 - Large
7,BCR,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,288087000,2500753,115.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,264275000,2431684,108.0,69069,7.0,BUY-MORE,5 - Large
8,DHR,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,265150000,3825008,69.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,352427000,5567575,63.0,-1742567,6.0,SELL-PARTIAL,4 - Mid
9,TDC,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,246403000,4444500,55.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,231820000,4615166,50.0,-170666,5.0,BUY-MORE,4 - Mid
10,NLSN,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,204015000,5597129,36.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,202547000,6029968,33.0,-432839,3.0,BUY-MORE,6 - Mega
11,JLL,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,195363000,2237837,87.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,178517000,1958714,91.0,279123,-4.0,SELL-PARTIAL,5 - Large
12,SYY,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,147316000,4628223,31.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,126072000,3690638,34.0,937585,-3.0,SELL-PARTIAL,6 - Mega
13,MJN,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,141519000,1905724,74.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,99239000,1252544,79.0,653180,-5.0,SELL-PARTIAL,5 - Large
14,NTRS,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,114414000,2103594,54.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,118452000,2045805,57.0,57789,-3.0,BUY-MORE,4 - Mid
15,PPO,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,112664000,2749923,40.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,108245000,2685977,40.0,63946,0.0,BUY-MORE,5 - Large
16,LH,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,103255000,1041512,99.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,122011000,1218888,100.0,-177376,-1.0,SELL-PARTIAL,5 - Large
17,GWW,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,83958000,320804,261.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,142394000,564653,252.0,-243849,9.0,SELL-PARTIAL,5 - Large
18,SCTY1,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,75955000,2195219,34.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,159822000,4231442,37.0,-2036223,-3.0,SELL-PARTIAL,5 - Large
19,EBAY,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,74701000,1338969,55.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,67649000,1307994,51.0,30975,4.0,SELL-PARTIAL,5 - Large
20,FDS,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,61574000,564377,109.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,93355000,915782,101.0,-351405,8.0,BUY-MORE,5 - Large
21,BLKB,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,49022000,1255698,39.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,99640000,3059248,32.0,-1803550,7.0,BUY-MORE,6 - Mega
22,STRA,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,36039000,867984,41.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,41401000,847860,48.0,20124,-7.0,SELL-PARTIAL,5 - Large
23,SPY,GENERATION INVESTMENT MANAGEMENT LLP,FND,2013-09-30,19718000,117300,168.0,GENERATION INVESTMENT MANAGEMENT LLP,FND,2013-06-30,20689000,129300,160.0,-12000,8.0,SELL-PARTIAL,5 - Large
24,HDB,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,3186000,103500,30.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-06-30,3751000,103500,36.0,0,-6.0,SELL-PARTIAL,5 - Large
0,QCOM,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,672696000,9059883,74.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,611717000,9081312,67.0,-21429,7.0,SELL-PARTIAL,5 - Large
1,INTU,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,520509000,6820091,76.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,473922000,7147074,66.0,-326983,10.0,BUY-MORE,5 - Large
2,WAT,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,448405000,4484052,99.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,385424000,3628887,106.0,855165,-7.0,SELL-PARTIAL,5 - Large
3,MSCI,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,407406000,9318524,43.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,376858000,9360599,40.0,-42075,3.0,BUY-MORE,5 - Large
4,BCR,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,333234000,2487934,133.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,288087000,2500753,115.0,-12819,18.0,BUY-MORE,5 - Large
5,VAR,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,298366000,3840467,77.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,288330000,3858289,74.0,-17822,3.0,SELL-PARTIAL,5 - Large
6,DHR,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,293920000,3807256,77.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,265150000,3825008,69.0,-17752,8.0,BUY-MORE,5 - Large
7,JLL,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,284620000,2779763,102.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,195363000,2237837,87.0,541926,15.0,BUY-MORE,5 - Large
8,HSIC,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,275046000,2407192,114.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,330902000,3190959,103.0,-783767,11.0,SELL-PARTIAL,4 - Mid
9,BDX,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,270163000,2445136,110.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,352084000,3520135,100.0,-1074999,10.0,BUY-MORE,4 - Mid
10,SYY,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-12-31,217629000,6028497,36.0,GENERATION INVESTMENT MANAGEMENT LLP,SHR,2013-09-30,147316000,4628223,31.0,1400274,5.0,BUY-MORE,6 - Mega
