,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NFLX,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,265375000,858235,309.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,174709483,827654,211.0,30581,98.0,SELL-PARTIAL,5 - Large
1,LNKD,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,245494000,997700,246.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,180607202,1012940,178.0,-15240,68.0,SELL-PARTIAL,6 - Mega
2,FB,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,220353000,4386878,50.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,73721779,2963094,24.0,1423784,26.0,SELL-PARTIAL,4 - Mid
3,AMZN,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,218851000,700010,312.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,234665822,845064,277.0,-145054,35.0,BUY-MORE,5 - Large
4,TRIP,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,202809000,2674168,75.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,164507262,2702600,60.0,-28432,15.0,SELL-PARTIAL,4 - Mid
5,PCRX,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,192840000,4011232,48.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,119444185,4118765,29.0,-107533,19.0,SELL-PARTIAL,4 - Mid
6,TSLA,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,156232000,807942,193.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,99799816,929581,107.0,-121639,86.0,SELL-PARTIAL,4 - Mid
7,YELP,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,146351000,2211413,66.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,2221108,63880,34.0,2147533,32.0,SELL-PARTIAL,6 - Mega
8,ALNY,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,122968000,1921078,64.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,51969268,1676428,31.0,244650,33.0,SELL-PARTIAL,4 - Mid
9,KMX,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,121461000,2505898,48.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,116764951,2529570,46.0,-23672,2.0,SELL-PARTIAL,4 - Mid
10,U10D,GILDER GAGNON HOWE CO LLC,UND,2013-09-30,116217000,7282929,15.0,GILDER GAGNON HOWE CO LLC,UND,2013-06-30,90022585,7444744,12.0,-161815,3.0,BUY-MORE,4 - Mid
11,WFM,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,115619000,1976389,58.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,102921956,1999261,51.0,-22872,7.0,SELL-PARTIAL,6 - Mega
12,DXCM,GILDER GAGNON HOWE CO LLC,SHR,2013-09-30,114973000,4074182,28.0,GILDER GAGNON HOWE CO LLC,SHR,2013-06-30,84059962,3744319,22.0,329863,6.0,BUY-MORE,4 - Mid
