,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MOS,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,343988000,7996048,43.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,573795000,10663323,53.0,-2667275,-10.0,SELL-PARTIAL,5 - Large
1,CF,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,340458000,1614835,210.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,344850000,2010796,171.0,-395961,39.0,BUY-MORE,5 - Large
2,POT,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,313123000,10010310,31.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,503359000,13201109,38.0,-3190799,-7.0,SELL-PARTIAL,5 - Large
3,ABV.C,GLOBAL THEMATIC PARTNERS LLC,PRF,2013-09-30,265901000,6933501,38.0,GLOBAL THEMATIC PARTNERS LLC,PRF,2013-06-30,227309000,6085880,37.0,847621,1.0,SELL-PARTIAL,4 - Mid
4,DD,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,254806000,6635614,38.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,375576000,11674810,32.0,-5039196,6.0,BUY-MORE,5 - Large
5,BG,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,250508000,3300062,75.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,339823000,4801832,70.0,-1501770,5.0,SELL-PARTIAL,5 - Large
6,CSX,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,228782000,8888083,25.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,186980000,8062948,23.0,825135,2.0,BUY-MORE,5 - Large
7,CPN,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,228012000,11735173,19.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,233095000,10979452,21.0,755721,-2.0,SELL-PARTIAL,5 - Large
8,IBN,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,220645000,7238932,30.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,261422000,6834554,38.0,404378,-8.0,SELL-PARTIAL,5 - Large
9,ORCL,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,214238000,6458783,33.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,170717000,5557242,30.0,901541,3.0,SELL-PARTIAL,5 - Large
10,ITUB,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,207569000,14700479,14.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,186519000,14436448,12.0,264031,2.0,SELL-PARTIAL,5 - Large
11,LH,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,204267000,2060364,99.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,219646000,2194272,100.0,-133908,-1.0,SELL-PARTIAL,5 - Large
12,AAPL,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,198035000,415389,476.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,183996000,464541,396.0,-49152,80.0,SELL-PARTIAL,5 - Large
13,NCR,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,178675000,4510836,39.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,222303000,6738542,32.0,-2227706,7.0,SELL-PARTIAL,5 - Large
14,WY,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,170975000,5971945,28.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,72374000,2540424,28.0,3431521,0.0,SELL-PARTIAL,5 - Large
15,FCX,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,158853000,4802046,33.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,147650000,5347773,27.0,-545727,6.0,SELL-PARTIAL,5 - Large
16,TMO,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,124179000,1347554,92.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,108280000,1279447,84.0,68107,8.0,BUY-MORE,3 - Small
17,BAC,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,115636000,8379192,13.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,101839000,7919208,12.0,459984,1.0,SELL-PARTIAL,5 - Large
18,HAIN,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,113627000,1473418,77.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,156606000,2410467,64.0,-937049,13.0,SELL-PARTIAL,5 - Large
19,FDX,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,108067000,947057,114.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,103581000,1050695,98.0,-103638,16.0,SELL-PARTIAL,5 - Large
20,BAP,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,101145000,787359,128.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,74044000,578661,127.0,208698,1.0,SELL-PARTIAL,5 - Large
21,YUM,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,100246000,1404201,71.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,93130000,1343100,69.0,61101,2.0,SELL-PARTIAL,5 - Large
22,ANDV,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,99736000,2267779,43.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,74288000,1419836,52.0,847943,-9.0,SELL-PARTIAL,4 - Mid
23,TV,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,94289000,3373570,27.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,68361000,2752071,24.0,621499,3.0,BUY-MORE,5 - Large
24,AGU,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,91130000,1084479,84.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,62739000,721457,86.0,363022,-2.0,SELL-PARTIAL,5 - Large
25,NAV,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,85682000,2348680,36.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,63321000,2280950,27.0,67730,9.0,SELL-PARTIAL,5 - Large
26,VLO,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,84533000,2475371,34.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,50687000,1457748,34.0,1017623,0.0,SELL-PARTIAL,5 - Large
27,MDLZ,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,78710000,2505153,31.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,80772000,2831271,28.0,-326118,3.0,SELL-PARTIAL,5 - Large
28,ASH,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,76286000,824893,92.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,76452000,915610,83.0,-90717,9.0,SELL-PARTIAL,5 - Large
29,HOT,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,75332000,1133638,66.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,85651000,1355412,63.0,-221774,3.0,SELL-PARTIAL,5 - Large
30,ADBE,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,72654000,1398851,51.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,70704000,1551838,45.0,-152987,6.0,SELL-PARTIAL,5 - Large
31,LAZ,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,68462000,1900619,36.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,68577000,2133125,32.0,-232506,4.0,BUY-MORE,4 - Mid
32,VFC,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,62969000,316336,199.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,57200000,296290,193.0,20046,6.0,SELL-PARTIAL,5 - Large
33,CAT,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,61484000,737485,83.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,116436000,1411517,82.0,-674032,1.0,SELL-PARTIAL,6 - Mega
34,ETP1,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,59577000,1144143,52.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,115971000,2294680,50.0,-1150537,2.0,SELL-PARTIAL,5 - Large
35,BAK,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,59572000,3734800,15.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,71304000,4791862,14.0,-1057062,1.0,BUY-MORE,4 - Mid
36,SWK,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,59510000,657091,90.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,55495000,717891,77.0,-60800,13.0,SELL-PARTIAL,
37,WNR,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,57678000,1920056,30.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,37815000,1347207,28.0,572849,2.0,SELL-PARTIAL,4 - Mid
38,NKE,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,57657000,793706,72.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,66010000,1036618,63.0,-242912,9.0,SELL-PARTIAL,4 - Mid
39,AGCO,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-09-30,53610000,887313,60.0,GLOBAL THEMATIC PARTNERS LLC,SHR,2013-06-30,154340000,3075086,50.0,-2187773,10.0,SELL-PARTIAL,4 - Mid
