,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CE,GMT CAPITAL CORP,SHR,2013-09-30,322948000,6117600,52.0,GMT CAPITAL CORP,SHR,2013-06-30,277388000,6191700,44.0,-74100,8.0,SELL-PARTIAL,5 - Large
1,UAL,GMT CAPITAL CORP,SHR,2013-09-30,310365000,10106330,30.0,GMT CAPITAL CORP,SHR,2013-06-30,323615000,10342430,31.0,-236100,-1.0,SELL-PARTIAL,4 - Mid
2,CNQ,GMT CAPITAL CORP,SHR,2013-09-30,249024000,7907680,31.0,GMT CAPITAL CORP,SHR,2013-06-30,234737000,8351980,28.0,-444300,3.0,BUY-MORE,6 - Mega
3,DAL,GMT CAPITAL CORP,SHR,2013-09-30,220715000,9356300,23.0,GMT CAPITAL CORP,SHR,2013-06-30,184011000,9834900,18.0,-478600,5.0,BUY-MORE,4 - Mid
4,C,GMT CAPITAL CORP,SHR,2013-09-30,200875000,4140893,48.0,GMT CAPITAL CORP,SHR,2013-06-30,198010000,4127793,47.0,13100,1.0,BUY-MORE,4 - Mid
5,GOOGL,GMT CAPITAL CORP,SHR,2013-09-30,183976000,210040,875.0,GMT CAPITAL CORP,SHR,2013-06-30,185692000,210925,880.0,-885,-5.0,SELL-PARTIAL,5 - Large
6,COF,GMT CAPITAL CORP,SHR,2013-09-30,174854000,2543700,68.0,GMT CAPITAL CORP,SHR,2013-06-30,159770000,2543700,62.0,0,6.0,BUY-MORE,5 - Large
7,TRW,GMT CAPITAL CORP,SHR,2013-09-30,162715000,2281800,71.0,GMT CAPITAL CORP,SHR,2013-06-30,158552000,2386400,66.0,-104600,5.0,BUY-MORE,5 - Large
8,APC,GMT CAPITAL CORP,SHR,2013-09-30,162686000,1749500,92.0,GMT CAPITAL CORP,SHR,2013-06-30,166498000,1937600,85.0,-188100,7.0,SELL-PARTIAL,5 - Large
9,APO,GMT CAPITAL CORP,SHR,2013-09-30,148161000,5242774,28.0,GMT CAPITAL CORP,SHR,2013-06-30,121938000,5059674,24.0,183100,4.0,SELL-PARTIAL,5 - Large
10,ENTG,GMT CAPITAL CORP,SHR,2013-09-30,133361000,13126100,10.0,GMT CAPITAL CORP,SHR,2013-06-30,126014000,13427200,9.0,-301100,1.0,BUY-MORE,5 - Large
11,FLEX,GMT CAPITAL CORP,SHR,2013-09-30,127649000,14042800,9.0,GMT CAPITAL CORP,SHR,2013-06-30,133445000,17240900,7.0,-3198100,2.0,SELL-PARTIAL,4 - Mid
12,JPM,GMT CAPITAL CORP,SHR,2013-09-30,122221000,2364500,51.0,GMT CAPITAL CORP,SHR,2013-06-30,123940000,2347800,52.0,16700,-1.0,SELL-PARTIAL,5 - Large
