,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ALKS,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,83035000,2469810,33.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,76157000,2655410,28.0,-185600,5.0,BUY-MORE,5 - Large
1,WST,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,68733000,1670300,41.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,57055000,812050,70.0,858250,-29.0,SELL-PARTIAL,3 - Small
2,BLOX,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,62437000,1493000,41.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,49385000,1687800,29.0,-194800,12.0,BUY-MORE,4 - Mid
3,ULTI,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,59262000,402050,147.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,58252000,496650,117.0,-94600,30.0,BUY-MORE,4 - Mid
4,EEFT,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,55921000,1402235,39.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,49161000,1543035,31.0,-140800,8.0,SELL-PARTIAL,4 - Mid
5,LQDT,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,50900000,1519414,33.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,26089000,752495,34.0,766919,-1.0,SELL-PARTIAL,3 - Small
6,CROX,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,47988000,3528500,13.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,44207000,2679200,16.0,849300,-3.0,BUY-MORE,4 - Mid
7,BRKR,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,47350000,2293000,20.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,37088000,2296500,16.0,-3500,4.0,BUY-MORE,3 - Small
8,OUTR,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,46508000,929600,50.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,34316000,584800,58.0,344800,-8.0,BUY-MORE,4 - Mid
9,DKS,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-09-30,45146000,845756,53.0,GRANAHAN INVESTMENT MANAGEMENT INC,SHR,2013-06-30,37876000,756614,50.0,89142,3.0,SELL-PARTIAL,3 - Small
