,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ESRX,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,559289000,9050000,61.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,558748000,9050000,61.0,0,0.0,BUY-MORE,6 - Mega
1,CELG,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,354514000,2300000,154.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,292450000,2500000,116.0,-200000,38.0,SELL-PARTIAL,5 - Large
2,JNJ,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,314252000,3625000,86.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,311245000,3625000,85.0,0,1.0,SELL-PARTIAL,6 - Mega
3,DD,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,238080000,6200000,38.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,199457000,6200000,32.0,0,6.0,SELL-PARTIAL,5 - Large
4,WMT,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,184901000,2500000,73.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,186223000,2500000,74.0,0,-1.0,SELL-PARTIAL,6 - Mega
5,TMO,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,184301000,2000000,92.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,228503000,2700000,84.0,-700000,8.0,SELL-PARTIAL,6 - Mega
6,TJX,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,169170000,3000000,56.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,150181000,3000000,50.0,0,6.0,SELL-PARTIAL,5 - Large
7,POT,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,164220000,5250000,31.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,200187000,5250000,38.0,0,-7.0,SELL-PARTIAL,4 - Mid
8,SYY,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,159150000,5000000,31.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,170800000,5000000,34.0,0,-3.0,SELL-PARTIAL,6 - Mega
9,BBBY,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,154720000,2000000,77.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,141900000,2000000,70.0,0,7.0,SELL-PARTIAL,5 - Large
10,SYK,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,148697000,2200000,67.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,142298000,2200000,64.0,0,3.0,SELL-PARTIAL,5 - Large
11,TGT,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,147155000,2300000,63.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,192808000,2800000,68.0,-500000,-5.0,SELL-PARTIAL,5 - Large
12,IFF,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,139910000,1700000,82.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,127771000,1700000,75.0,0,7.0,SELL-PARTIAL,5 - Large
13,VRTX,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,135853000,1791786,75.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,200150000,2500000,80.0,-708214,-5.0,BUY-MORE,6 - Mega
14,CMCSK,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,130835000,2900000,45.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,121076000,2900000,41.0,0,4.0,BUY-MORE,5 - Large
15,ABBV,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,119876000,2680000,44.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,110791000,2680000,41.0,0,3.0,SELL-PARTIAL,5 - Large
16,MOS,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,111852000,2600000,43.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,139908000,2600000,53.0,0,-10.0,SELL-PARTIAL,5 - Large
17,MAR,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,110801000,2634371,42.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,106349000,2634371,40.0,0,2.0,BUY-MORE,5 - Large
18,PG,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,104314000,1380000,75.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,106246000,1380000,76.0,0,-1.0,SELL-PARTIAL,5 - Large
19,HSIC,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,93390000,900000,103.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,105313000,1100000,95.0,-200000,8.0,SELL-PARTIAL,5 - Large
20,ABT,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,88951000,2680000,33.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,93479000,2680000,34.0,0,-1.0,BUY-MORE,5 - Large
21,APD,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,85257000,800000,106.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,73257000,800000,91.0,0,15.0,SELL-PARTIAL,5 - Large
22,DIS,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,70939000,1100000,64.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,31575000,500000,63.0,600000,1.0,SELL-PARTIAL,5 - Large
23,MON,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,52185000,500000,104.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,49400000,500000,98.0,0,6.0,SELL-PARTIAL,5 - Large
24,CL,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,41511000,700000,59.0,GREEN VALLEY INVESTORS LLC,SHR,2013-06-30,25817000,450600,57.0,249400,2.0,SELL-PARTIAL,5 - Large
0,ESRX,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,635672000,9050000,70.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,559289000,9050000,61.0,0,9.0,BUY-MORE,6 - Mega
1,CELG,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,388625000,2300000,168.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,354514000,2300000,154.0,0,14.0,SELL-PARTIAL,5 - Large
2,JNJ,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,332013000,3625000,91.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,314252000,3625000,86.0,0,5.0,SELL-PARTIAL,6 - Mega
3,DD,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,275280000,6200000,44.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,238080000,6200000,38.0,0,6.0,SELL-PARTIAL,5 - Large
4,WMT,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,236070000,3000000,78.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,184901000,2500000,73.0,500000,5.0,SELL-PARTIAL,6 - Mega
5,TJX,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,191191000,3000000,63.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,169170000,3000000,56.0,0,7.0,SELL-PARTIAL,6 - Mega
6,TMO,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,189296000,1700000,111.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,184301000,2000000,92.0,-300000,19.0,SELL-PARTIAL,5 - Large
7,SYY,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,180499000,5000000,36.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,159150000,5000000,31.0,0,5.0,SELL-PARTIAL,4 - Mid
8,POT,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,173041000,5250000,32.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,164220000,5250000,31.0,0,1.0,SELL-PARTIAL,6 - Mega
9,SYK,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,165310000,2200000,75.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,148697000,2200000,67.0,0,8.0,SELL-PARTIAL,5 - Large
10,BBBY,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,160602000,2000000,80.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,154720000,2000000,77.0,0,3.0,SELL-PARTIAL,5 - Large
11,CMCSK,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,150699000,2900000,51.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,130835000,2900000,45.0,0,6.0,SELL-PARTIAL,5 - Large
12,IFF,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,146166000,1700000,85.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,139910000,1700000,82.0,0,3.0,SELL-PARTIAL,5 - Large
13,TGT,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,145522000,2300000,63.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,147155000,2300000,63.0,0,0.0,BUY-MORE,6 - Mega
14,ABBV,GREEN VALLEY INVESTORS LLC,SHR,2013-12-31,141531000,2680000,52.0,GREEN VALLEY INVESTORS LLC,SHR,2013-09-30,119876000,2680000,44.0,0,8.0,BUY-MORE,5 - Large
