,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TD,GUARDIAN CAPITAL LP,SHR,2013-09-30,529916000,5876843,90.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,457656000,5695371,80.0,181472,10.0,BUY-MORE,5 - Large
1,RY,GUARDIAN CAPITAL LP,SHR,2013-09-30,471734000,7351190,64.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,406732000,6977094,58.0,374096,6.0,SELL-PARTIAL,5 - Large
2,BNS,GUARDIAN CAPITAL LP,SHR,2013-09-30,451976000,7878946,57.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,408715000,7642142,53.0,236804,4.0,SELL-PARTIAL,5 - Large
3,MFC,GUARDIAN CAPITAL LP,SHR,2013-09-30,247187000,14919709,16.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,238356000,14887687,16.0,32022,0.0,SELL-PARTIAL,5 - Large
4,CNI,GUARDIAN CAPITAL LP,SHR,2013-09-30,219936000,2167332,101.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,205271000,2107231,97.0,60101,4.0,BUY-MORE,5 - Large
5,CVE,GUARDIAN CAPITAL LP,SHR,2013-09-30,217915000,7291021,29.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,205114000,7187205,28.0,103816,1.0,SELL-PARTIAL,5 - Large
6,MGA,GUARDIAN CAPITAL LP,SHR,2013-09-30,212534000,2573177,82.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,193186000,2712759,71.0,-139582,11.0,BUY-MORE,5 - Large
7,TU,GUARDIAN CAPITAL LP,SHR,2013-09-30,178904000,5389652,33.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,202659000,6939259,29.0,-1549607,4.0,SELL-PARTIAL,5 - Large
8,ENB,GUARDIAN CAPITAL LP,SHR,2013-09-30,176123000,4210662,41.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,162339000,3860010,42.0,350652,-1.0,SELL-PARTIAL,5 - Large
9,CNQ,GUARDIAN CAPITAL LP,SHR,2013-09-30,160426000,5097255,31.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,140412000,4978112,28.0,119143,3.0,SELL-PARTIAL,5 - Large
10,CM,GUARDIAN CAPITAL LP,SHR,2013-09-30,145406000,1822449,79.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,128965000,1816290,71.0,6159,8.0,SELL-PARTIAL,5 - Large
11,SJR,GUARDIAN CAPITAL LP,SHR,2013-09-30,132908000,5714720,23.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,136928000,5702798,24.0,11922,-1.0,BUY-MORE,5 - Large
12,TRI,GUARDIAN CAPITAL LP,SHR,2013-09-30,132658000,3787854,35.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,123482000,3782188,32.0,5666,3.0,BUY-MORE,5 - Large
13,GG,GUARDIAN CAPITAL LP,SHR,2013-09-30,128775000,4941995,26.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,103492000,4165026,24.0,776969,2.0,SELL-PARTIAL,5 - Large
14,SU,GUARDIAN CAPITAL LP,SHR,2013-09-30,117993000,3295015,35.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,108482000,3678577,29.0,-383562,6.0,SELL-PARTIAL,5 - Large
15,FNV,GUARDIAN CAPITAL LP,SHR,2013-09-30,116958000,2574169,45.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,90997000,2540677,35.0,33492,10.0,SELL-PARTIAL,5 - Large
16,GIL,GUARDIAN CAPITAL LP,SHR,2013-09-30,113763000,2447813,46.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,93283000,2299153,40.0,148660,6.0,BUY-MORE,4 - Mid
17,CCJ,GUARDIAN CAPITAL LP,SHR,2013-09-30,103598000,5734668,18.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,121904000,5902617,20.0,-167949,-2.0,SELL-PARTIAL,5 - Large
18,BTE,GUARDIAN CAPITAL LP,SHR,2013-09-30,100186000,2423925,41.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,86976000,2412381,36.0,11544,5.0,BUY-MORE,5 - Large
19,TRP,GUARDIAN CAPITAL LP,SHR,2013-09-30,99554000,2262792,43.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,95782000,2223635,43.0,39157,0.0,SELL-PARTIAL,5 - Large
20,MEOH,GUARDIAN CAPITAL LP,SHR,2013-09-30,93411000,1816815,51.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,74843000,1746385,42.0,70430,9.0,SELL-PARTIAL,4 - Mid
21,PBA,GUARDIAN CAPITAL LP,SHR,2013-09-30,91846000,2766946,33.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,85457000,2791548,30.0,-24602,3.0,SELL-PARTIAL,5 - Large
22,IMAX,GUARDIAN CAPITAL LP,SHR,2013-09-30,91460000,3029505,30.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,70197000,2822931,24.0,206574,6.0,BUY-MORE,5 - Large
23,CTRX,GUARDIAN CAPITAL LP,SHR,2013-09-30,79245000,1722398,46.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,63033000,1294407,48.0,427991,-2.0,BUY-MORE,4 - Mid
24,RCI,GUARDIAN CAPITAL LP,SHR,2013-09-30,73476000,1706262,43.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,66459000,1695666,39.0,10596,4.0,BUY-MORE,4 - Mid
25,BAM,GUARDIAN CAPITAL LP,SHR,2013-09-30,70888000,1891750,37.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,67474000,1876412,35.0,15338,2.0,SELL-PARTIAL,5 - Large
26,OVV,GUARDIAN CAPITAL LP,SHR,2013-09-30,69946000,4041538,17.0,GUARDIAN CAPITAL LP,SHR,2013-06-30,54722000,3233485,16.0,808053,1.0,BUY-MORE,5 - Large
