,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AAPL,HANDELSBANKEN FONDER AB,SHR,2016-03-31,105787000,970615,108.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,169782000,1612981,105.0,-642366,3.0,BUY-MORE,6 - Mega
1,JNJ,HANDELSBANKEN FONDER AB,SHR,2016-03-31,77722000,718316,108.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,133328000,1297974,102.0,-579658,6.0,BUY-MORE,6 - Mega
2,FB,HANDELSBANKEN FONDER AB,SHR,2016-03-31,53914000,472516,114.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,76607000,731965,104.0,-259449,10.0,BUY-MORE,5 - Large
3,SXT,HANDELSBANKEN FONDER AB,SHR,2016-03-31,52589000,828700,63.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,75931000,1208700,62.0,-380000,1.0,BUY-MORE,4 - Mid
4,NTES,HANDELSBANKEN FONDER AB,SHR,2016-03-31,52122000,363019,143.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,64126000,353819,181.0,9200,-38.0,BUY-MORE,4 - Mid
5,DIS,HANDELSBANKEN FONDER AB,SHR,2016-03-31,51507000,518653,99.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,77599000,738471,105.0,-219818,-6.0,BUY-MORE,6 - Mega
6,HD,HANDELSBANKEN FONDER AB,SHR,2016-03-31,50087000,375381,133.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,64601000,488473,132.0,-113092,1.0,BUY-MORE,4 - Mid
7,ASR,HANDELSBANKEN FONDER AB,SHR,2016-03-31,46547000,309959,150.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,44080000,313359,140.0,-3400,10.0,BUY-MORE,5 - Large
8,NDAQ,HANDELSBANKEN FONDER AB,SHR,2016-03-31,45484000,685200,66.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,42603000,732380,58.0,-47180,8.0,BUY-MORE,4 - Mid
9,ATVI,HANDELSBANKEN FONDER AB,SHR,2016-03-31,42133000,1245051,33.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,48633000,1256341,38.0,-11290,-5.0,BUY-MORE,6 - Mega
10,MA,HANDELSBANKEN FONDER AB,SHR,2016-03-31,41814000,442473,94.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,70434000,723435,97.0,-280962,-3.0,BUY-MORE,6 - Mega
11,HCA,HANDELSBANKEN FONDER AB,SHR,2016-03-31,40976000,525000,78.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,33580000,496520,67.0,28480,11.0,BUY-MORE,6 - Mega
12,ABBV,HANDELSBANKEN FONDER AB,SHR,2016-03-31,40590000,710612,57.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,53246000,898825,59.0,-188213,-2.0,BUY-MORE,5 - Large
13,ADS,HANDELSBANKEN FONDER AB,SHR,2016-03-31,39380000,179000,220.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,41195000,148949,276.0,30051,-56.0,BUY-MORE,5 - Large
14,CL,HANDELSBANKEN FONDER AB,SHR,2016-03-31,38821000,549478,70.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,42849000,643182,66.0,-93704,4.0,BUY-MORE,4 - Mid
15,NKE,HANDELSBANKEN FONDER AB,SHR,2016-03-31,37345000,607527,61.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,68916000,1102660,62.0,-495133,-1.0,BUY-MORE,5 - Large
16,PGR,HANDELSBANKEN FONDER AB,SHR,2016-03-31,37200000,1058617,35.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,38805000,1220283,31.0,-161666,4.0,SELL-PARTIAL,6 - Mega
17,CELG,HANDELSBANKEN FONDER AB,SHR,2016-03-31,35563000,355310,100.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,54531000,455338,119.0,-100028,-19.0,BUY-MORE,6 - Mega
18,COO,HANDELSBANKEN FONDER AB,SHR,2016-03-31,35028000,227500,153.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,44741000,333388,134.0,-105888,19.0,BUY-MORE,5 - Large
19,FRC,HANDELSBANKEN FONDER AB,SHR,2016-03-31,34186000,513000,66.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,33089000,500896,66.0,12104,0.0,BUY-MORE,6 - Mega
20,BIDU,HANDELSBANKEN FONDER AB,SHR,2016-03-31,32395000,169715,190.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,33992000,179815,189.0,-10100,1.0,BUY-MORE,4 - Mid
21,HOLI,HANDELSBANKEN FONDER AB,SHR,2016-03-31,30998000,1472612,21.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,30711000,1384612,22.0,88000,-1.0,BUY-MORE,3 - Small
22,MJN,HANDELSBANKEN FONDER AB,SHR,2016-03-31,30334000,357000,84.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,30601000,387596,78.0,-30596,6.0,BUY-MORE,5 - Large
23,GILD,HANDELSBANKEN FONDER AB,SHR,2016-03-31,30070000,327341,91.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,49385000,488044,101.0,-160703,-10.0,BUY-MORE,4 - Mid
24,ECL,HANDELSBANKEN FONDER AB,SHR,2016-03-31,29281000,262565,111.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,34575000,302286,114.0,-39721,-3.0,SELL-PARTIAL,6 - Mega
25,AMG,HANDELSBANKEN FONDER AB,SHR,2016-03-31,28858000,177700,162.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,28925000,181051,159.0,-3351,3.0,BUY-MORE,4 - Mid
26,BFAM,HANDELSBANKEN FONDER AB,SHR,2016-03-31,28451000,439200,64.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,63407000,949200,66.0,-510000,-2.0,BUY-MORE,5 - Large
27,DFS,HANDELSBANKEN FONDER AB,SHR,2016-03-31,27494000,539946,50.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,41255000,769404,53.0,-229458,-3.0,BUY-MORE,5 - Large
28,ANSS,HANDELSBANKEN FONDER AB,SHR,2016-03-31,26280000,293757,89.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,27658000,299001,92.0,-5244,-3.0,SELL-PARTIAL,6 - Mega
29,AET,HANDELSBANKEN FONDER AB,SHR,2016-03-31,26091000,232227,112.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,29626000,274006,108.0,-41779,4.0,BUY-MORE,3 - Small
30,WFC,HANDELSBANKEN FONDER AB,SHR,2016-03-31,25793000,533358,48.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,54382000,1000405,54.0,-467047,-6.0,BUY-MORE,5 - Large
31,BKNG,HANDELSBANKEN FONDER AB,SHR,2016-03-31,25525000,19803,1288.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,30276000,23747,1274.0,-3944,14.0,BUY-MORE,5 - Large
32,LPNT,HANDELSBANKEN FONDER AB,SHR,2016-03-31,25262000,364800,69.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,41280000,562400,73.0,-197600,-4.0,HOLD,5 - Large
33,AMZN,HANDELSBANKEN FONDER AB,SHR,2016-03-31,25213000,42472,593.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,71233000,105391,675.0,-62919,-82.0,BUY-MORE,4 - Mid
34,BLL,HANDELSBANKEN FONDER AB,SHR,2016-03-31,23882000,335000,71.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,23129000,318009,72.0,16991,-1.0,BUY-MORE,5 - Large
35,TWX,HANDELSBANKEN FONDER AB,SHR,2016-03-31,23397000,322494,72.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,26655000,412176,64.0,-89682,8.0,BUY-MORE,4 - Mid
36,PYPL,HANDELSBANKEN FONDER AB,SHR,2016-03-31,23383000,605790,38.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,28554000,788773,36.0,-182983,2.0,BUY-MORE,4 - Mid
37,CMCSK,HANDELSBANKEN FONDER AB,SHR,2016-03-31,22236000,364042,61.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,34136000,604922,56.0,-240880,5.0,BUY-MORE,5 - Large
38,MD,HANDELSBANKEN FONDER AB,SHR,2016-03-31,21260000,329000,64.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,31845000,444389,71.0,-115389,-7.0,BUY-MORE,5 - Large
39,AOS,HANDELSBANKEN FONDER AB,SHR,2016-03-31,20959000,274650,76.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,21041000,274650,76.0,0,0.0,BUY-MORE,5 - Large
40,AKO.B,HANDELSBANKEN FONDER AB,SHR,2016-03-31,20536000,1076870,19.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,17107000,982620,17.0,94250,2.0,BUY-MORE,6 - Mega
41,MSFT,HANDELSBANKEN FONDER AB,SHR,2016-03-31,20324000,367980,55.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,71818000,1294480,55.0,-926500,0.0,BUY-MORE,5 - Large
42,CVS,HANDELSBANKEN FONDER AB,SHR,2016-03-31,19180000,184900,103.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,31862000,325891,97.0,-140991,6.0,SELL-PARTIAL,5 - Large
43,SCI,HANDELSBANKEN FONDER AB,SHR,2016-03-31,19028000,771000,24.0,HANDELSBANKEN FONDER AB,SHR,2015-12-31,35673000,1371000,26.0,-600000,-2.0,BUY-MORE,5 - Large
