,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MDRX,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,163570000,11000000,14.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,192806000,14900000,12.0,-3900000,2.0,BUY-MORE,5 - Large
1,GILD,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,94305000,1500000,62.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,107667000,2100000,51.0,-600000,11.0,BUY-MORE,4 - Mid
2,GILD,HEALTHCOR MANAGEMENT LP,PUT,2013-09-30,78682000,1251500,62.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,107667000,2100000,51.0,-848500,11.0,BUY-MORE,5 - Large
3,ARTC,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,81834000,2300000,35.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,77693000,2250000,34.0,50000,1.0,BUY-MORE,5 - Large
4,ISRG,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,80730000,214554,376.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,93634000,185000,506.0,29554,-130.0,BUY-MORE,5 - Large
5,WMGI,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,78240000,3000000,26.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,72733000,2775000,26.0,225000,0.0,BUY-MORE,4 - Mid
6,EHTH,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,72653000,2252119,32.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,51168000,2252119,22.0,0,10.0,SELL-PARTIAL,5 - Large
7,CBST,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,58784000,925000,63.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,57948000,1200000,48.0,-275000,15.0,BUY-MORE,5 - Large
8,CBST,HEALTHCOR MANAGEMENT LP,PUT,2013-09-30,57195000,900000,63.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,57948000,1200000,48.0,-300000,15.0,SELL-PARTIAL,5 - Large
9,ALXN,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,46464000,400000,116.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,59956000,650000,92.0,-250000,24.0,SELL-PARTIAL,5 - Large
10,MYL,HEALTHCOR MANAGEMENT LP,SHR,2013-09-30,45804000,1200000,38.0,HEALTHCOR MANAGEMENT LP,SHR,2013-06-30,65939000,2125000,31.0,-925000,7.0,BUY-MORE,4 - Mid
