,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,UNTCQ,HEARTLAND ADVISORS INC,SHR,2013-09-30,124753000,2683436,46.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,115216000,2705870,42.0,-22434,4.0,SELL-PARTIAL,4 - Mid
1,SGY,HEARTLAND ADVISORS INC,SHR,2013-09-30,111019000,3423356,32.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,74606000,3386581,22.0,36775,10.0,BUY-MORE,4 - Mid
2,FSS,HEARTLAND ADVISORS INC,SHR,2013-09-30,109680000,8522183,12.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,77992000,8913328,8.0,-391145,4.0,SELL-PARTIAL,3 - Small
3,UPLMQ,HEARTLAND ADVISORS INC,SHR,2013-09-30,85749000,4168628,20.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,87171000,4398123,19.0,-229495,1.0,BUY-MORE,5 - Large
4,IPI,HEARTLAND ADVISORS INC,SHR,2013-09-30,84590000,5394739,15.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,70076000,3678514,19.0,1716225,-4.0,BUY-MORE,4 - Mid
5,OLN,HEARTLAND ADVISORS INC,SHR,2013-09-30,80162000,3474735,23.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,85253000,3564070,23.0,-89335,0.0,SELL-PARTIAL,4 - Mid
6,GVA,HEARTLAND ADVISORS INC,SHR,2013-09-30,79873000,2610225,30.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,78316000,2631585,29.0,-21360,1.0,BUY-MORE,4 - Mid
7,IVC,HEARTLAND ADVISORS INC,SHR,2013-09-30,78077000,4520964,17.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,66464000,4628427,14.0,-107463,3.0,SELL-PARTIAL,4 - Mid
8,CNW,HEARTLAND ADVISORS INC,SHR,2013-09-30,72539000,1683436,43.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,84946000,2180336,38.0,-496900,5.0,BUY-MORE,4 - Mid
9,CNMD,HEARTLAND ADVISORS INC,SHR,2013-09-30,71334000,2098682,33.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,66786000,2137827,31.0,-39145,2.0,SELL-PARTIAL,3 - Small
10,FREDQ,HEARTLAND ADVISORS INC,SHR,2013-09-30,71170000,4547601,15.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,71754000,4632265,15.0,-84664,0.0,SELL-PARTIAL,4 - Mid
11,GATX,HEARTLAND ADVISORS INC,SHR,2013-09-30,68681000,1445301,47.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,68361000,1441301,47.0,4000,0.0,SELL-PARTIAL,3 - Small
12,NCI,HEARTLAND ADVISORS INC,SHR,2013-09-30,67831000,4387497,15.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,52618000,4384833,12.0,2664,3.0,BUY-MORE,4 - Mid
13,UFPI,HEARTLAND ADVISORS INC,SHR,2013-09-30,67460000,1602381,42.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,63577000,1592619,39.0,9762,3.0,SELL-PARTIAL,3 - Small
14,WPX,HEARTLAND ADVISORS INC,SHR,2013-09-30,65111000,3380652,19.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,58170000,3071267,18.0,309385,1.0,SELL-PARTIAL,3 - Small
15,KALU,HEARTLAND ADVISORS INC,SHR,2013-09-30,64716000,908298,71.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,59145000,954873,61.0,-46575,10.0,SELL-PARTIAL,6 - Mega
16,BRC,HEARTLAND ADVISORS INC,SHR,2013-09-30,63893000,2094859,30.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,58596000,1906804,30.0,188055,0.0,BUY-MORE,3 - Small
17,UMPQ,HEARTLAND ADVISORS INC,SHR,2013-09-30,63395000,3908417,16.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,58434000,3893017,15.0,15400,1.0,SELL-PARTIAL,4 - Mid
18,MTRN,HEARTLAND ADVISORS INC,SHR,2013-09-30,63136000,1969293,32.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,52247000,1928638,27.0,40655,5.0,HOLD,3 - Small
19,RGS,HEARTLAND ADVISORS INC,SHR,2013-09-30,62871000,4282732,14.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,63040000,3839232,16.0,443500,-2.0,SELL-PARTIAL,6 - Mega
20,ASB,HEARTLAND ADVISORS INC,SHR,2013-09-30,62837000,4056605,15.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,62841000,4041205,15.0,15400,0.0,SELL-PARTIAL,3 - Small
21,PTEN,HEARTLAND ADVISORS INC,SHR,2013-09-30,61720000,2886805,21.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,50549000,2611683,19.0,275122,2.0,SELL-PARTIAL,5 - Large
22,WIRE,HEARTLAND ADVISORS INC,SHR,2013-09-30,61566000,1560995,39.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,53960000,1582395,34.0,-21400,5.0,BUY-MORE,4 - Mid
23,ONB,HEARTLAND ADVISORS INC,SHR,2013-09-30,60677000,4273005,14.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,58880000,4257405,13.0,15600,1.0,HOLD,3 - Small
24,NX,HEARTLAND ADVISORS INC,SHR,2013-09-30,60061000,3189624,18.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,50187000,2980224,16.0,209400,2.0,BUY-MORE,3 - Small
25,CRRTQ,HEARTLAND ADVISORS INC,SHR,2013-09-30,52180000,526490,99.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,53862000,798790,67.0,-272300,32.0,BUY-MORE,3 - Small
26,TROX,HEARTLAND ADVISORS INC,SHR,2013-09-30,51724000,2113754,24.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,40456000,2007754,20.0,106000,4.0,BUY-MORE,4 - Mid
27,CMC,HEARTLAND ADVISORS INC,SHR,2013-09-30,50860000,3000566,16.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,45169000,3058166,14.0,-57600,2.0,SELL-PARTIAL,3 - Small
28,AIN,HEARTLAND ADVISORS INC,SHR,2013-09-30,50618000,1411142,35.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,60643000,1838773,32.0,-427631,3.0,BUY-MORE,3 - Small
29,ESE,HEARTLAND ADVISORS INC,SHR,2013-09-30,50544000,1521041,33.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,44896000,1386535,32.0,134506,1.0,SELL-PARTIAL,3 - Small
30,PKE,HEARTLAND ADVISORS INC,SHR,2013-09-30,48501000,1692873,28.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,40646000,1692873,24.0,0,4.0,SELL-PARTIAL,6 - Mega
31,RNST,HEARTLAND ADVISORS INC,SHR,2013-09-30,48187000,1773553,27.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,43047000,1768553,24.0,5000,3.0,BUY-MORE,4 - Mid
32,ALOG,HEARTLAND ADVISORS INC,SHR,2013-09-30,47020000,568969,82.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,51875000,712269,72.0,-143300,10.0,BUY-MORE,4 - Mid
33,CHS,HEARTLAND ADVISORS INC,SHR,2013-09-30,46800000,2809136,16.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,26792000,1570437,17.0,1238699,-1.0,BUY-MORE,3 - Small
34,BGG,HEARTLAND ADVISORS INC,SHR,2013-09-30,46334000,2302891,20.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,40536000,2047291,19.0,255600,1.0,BUY-MORE,4 - Mid
35,GBCI,HEARTLAND ADVISORS INC,SHR,2013-09-30,46274000,1872669,24.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,41555000,1872669,22.0,0,2.0,BUY-MORE,4 - Mid
36,ENH,HEARTLAND ADVISORS INC,SHR,2013-09-30,46101000,858167,53.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,45448000,883334,51.0,-25167,2.0,BUY-MORE,3 - Small
37,GEF,HEARTLAND ADVISORS INC,SHR,2013-09-30,43526000,887736,49.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,45954000,872496,52.0,15240,-3.0,BUY-MORE,4 - Mid
38,PMC,HEARTLAND ADVISORS INC,SHR,2013-09-30,42425000,3197081,13.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,43961000,3171781,13.0,25300,0.0,SELL-PARTIAL,3 - Small
39,CTS,HEARTLAND ADVISORS INC,SHR,2013-09-30,42295000,2681997,15.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,36468000,2673597,13.0,8400,2.0,SELL-PARTIAL,4 - Mid
40,RGP,HEARTLAND ADVISORS INC,SHR,2013-09-30,41696000,3072636,13.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,34394000,2965036,11.0,107600,2.0,SELL-PARTIAL,6 - Mega
41,MANT,HEARTLAND ADVISORS INC,SHR,2013-09-30,38895000,1352413,28.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,35220000,1348398,26.0,4015,2.0,SELL-PARTIAL,4 - Mid
42,MKSI,HEARTLAND ADVISORS INC,SHR,2013-09-30,38278000,1439546,26.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,30132000,1135346,26.0,304200,0.0,SELL-PARTIAL,4 - Mid
43,STEL,HEARTLAND ADVISORS INC,SHR,2013-09-30,37675000,1674439,22.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,32795000,1668939,19.0,5500,3.0,SELL-PARTIAL,4 - Mid
44,ATGE,HEARTLAND ADVISORS INC,SHR,2013-09-30,37603000,1230465,30.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,12408000,400000,31.0,830465,-1.0,BUY-MORE,3 - Small
45,DNB3,HEARTLAND ADVISORS INC,SHR,2013-09-30,37235000,358550,103.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,35390000,363160,97.0,-4610,6.0,BUY-MORE,4 - Mid
46,INDB,HEARTLAND ADVISORS INC,SHR,2013-09-30,37013000,1036770,35.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,35637000,1032970,34.0,3800,1.0,SELL-PARTIAL,3 - Small
47,RCL,HEARTLAND ADVISORS INC,SHR,2013-09-30,36623000,956712,38.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,31435000,942871,33.0,13841,5.0,SELL-PARTIAL,6 - Mega
48,MCRL,HEARTLAND ADVISORS INC,SHR,2013-09-30,36406000,3996235,9.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,39340000,3981735,9.0,14500,0.0,SELL-PARTIAL,4 - Mid
49,HHS,HEARTLAND ADVISORS INC,SHR,2013-09-30,36394000,4121585,8.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,35446000,4121585,8.0,0,0.0,SELL-PARTIAL,6 - Mega
50,NR,HEARTLAND ADVISORS INC,SHR,2013-09-30,35961000,2840514,12.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,38895000,3539105,10.0,-698591,2.0,SELL-PARTIAL,5 - Large
51,ZEP,HEARTLAND ADVISORS INC,SHR,2013-09-30,35884000,2206861,16.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,34068000,2152111,15.0,54750,1.0,BUY-MORE,4 - Mid
52,ENTG,HEARTLAND ADVISORS INC,SHR,2013-09-30,35221000,3470089,10.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,27253000,2902389,9.0,567700,1.0,BUY-MORE,3 - Small
53,GIFI,HEARTLAND ADVISORS INC,SHR,2013-09-30,34909000,1424273,24.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,27063000,1413195,19.0,11078,5.0,SELL-PARTIAL,5 - Large
54,HSII,HEARTLAND ADVISORS INC,SHR,2013-09-30,34591000,1814834,19.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,29856000,1785634,16.0,29200,3.0,SELL-PARTIAL,6 - Mega
55,BBOX,HEARTLAND ADVISORS INC,SHR,2013-09-30,33544000,1094794,30.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,27150000,1072294,25.0,22500,5.0,BUY-MORE,4 - Mid
56,JCI,HEARTLAND ADVISORS INC,SHR,2013-09-30,32968000,794406,41.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,28692000,801682,35.0,-7276,6.0,BUY-MORE,5 - Large
57,ENSG,HEARTLAND ADVISORS INC,SHR,2013-09-30,32405000,788255,41.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,29968000,850891,35.0,-62636,6.0,SELL-PARTIAL,5 - Large
58,TDW,HEARTLAND ADVISORS INC,SHR,2013-09-30,32170000,542593,59.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,35957000,631161,56.0,-88568,3.0,BUY-MORE,4 - Mid
59,HSP,HEARTLAND ADVISORS INC,SHR,2013-09-30,31724000,808883,39.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,33361000,870830,38.0,-61947,1.0,BUY-MORE,4 - Mid
60,JBT,HEARTLAND ADVISORS INC,SHR,2013-09-30,31720000,1274908,24.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,24210000,1152314,21.0,122594,3.0,HOLD,3 - Small
61,ATMI,HEARTLAND ADVISORS INC,SHR,2013-09-30,31044000,1170587,26.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,22040000,931930,23.0,238657,3.0,SELL-PARTIAL,4 - Mid
62,BHLB,HEARTLAND ADVISORS INC,SHR,2013-09-30,30995000,1234368,25.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,34096000,1228253,27.0,6115,-2.0,SELL-PARTIAL,4 - Mid
63,IDTI,HEARTLAND ADVISORS INC,SHR,2013-09-30,30597000,3248113,9.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,24880000,3133553,7.0,114560,2.0,BUY-MORE,4 - Mid
64,RFMD,HEARTLAND ADVISORS INC,SHR,2013-09-30,30414000,5392475,5.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,26879000,5024055,5.0,368420,0.0,HOLD,3 - Small
65,SUP,HEARTLAND ADVISORS INC,SHR,2013-09-30,29729000,1667356,17.0,HEARTLAND ADVISORS INC,SHR,2013-06-30,28695000,1667356,17.0,0,0.0,SELL-PARTIAL,4 - Mid
