,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TSLA,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,102942000,532361,193.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,94376000,879061,107.0,-346700,86.0,SELL-PARTIAL,4 - Mid
1,BKNG,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,99680000,98600,1010.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,85726000,103700,826.0,-5100,184.0,BUY-MORE,5 - Large
2,CRM,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,98249000,1892677,51.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,85369000,2235977,38.0,-343300,13.0,SELL-PARTIAL,6 - Mega
3,EBAY,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,98194000,1759900,55.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,82617000,1597400,51.0,162500,4.0,BUY-MORE,4 - Mid
4,AMZN,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,97982000,313400,312.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,83195000,299600,277.0,13800,35.0,SELL-PARTIAL,5 - Large
5,CMG,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,97939000,228400,428.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,83144000,228200,364.0,200,64.0,SELL-PARTIAL,5 - Large
6,CTXS,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,96199000,1362400,70.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,84070000,1392800,60.0,-30400,10.0,SELL-PARTIAL,5 - Large
7,SBUX,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,95620000,1242300,76.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,89572000,1367300,65.0,-125000,11.0,SELL-PARTIAL,5 - Large
8,GOOGL,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,95474000,109000,875.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,84428000,95900,880.0,13100,-5.0,SELL-PARTIAL,6 - Mega
9,AAPL,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,94877000,199006,476.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,78317000,197506,396.0,1500,80.0,SELL-PARTIAL,5 - Large
10,SCHW,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,94627000,4476200,21.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,85050000,4006100,21.0,470100,0.0,SELL-PARTIAL,5 - Large
11,SIRI,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,94500000,24387000,3.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,84908000,25345900,3.0,-958900,0.0,BUY-MORE,4 - Mid
12,TGT,HHR ASSET MANAGEMENT LLC,SHR,2013-09-30,93635000,1463500,63.0,HHR ASSET MANAGEMENT LLC,SHR,2013-06-30,83238000,1208800,68.0,254700,-5.0,SELL-PARTIAL,5 - Large
