,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CTXS,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,191637000,2714017,70.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,144923000,2400982,60.0,313035,10.0,SELL-PARTIAL,6 - Mega
1,QCOM,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,189055000,2808303,67.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,153906000,2519328,61.0,288975,6.0,SELL-PARTIAL,6 - Mega
2,V,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,172891000,904715,191.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,160403000,877720,182.0,26995,9.0,SELL-PARTIAL,6 - Mega
3,AMZN,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,169750000,542958,312.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,146282000,526783,277.0,16175,35.0,SELL-PARTIAL,6 - Mega
4,RRC,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,158090000,2083149,75.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,156444000,2023335,77.0,59814,-2.0,SELL-PARTIAL,5 - Large
5,BKNG,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,140667000,139143,1010.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,111567000,134959,826.0,4184,184.0,BUY-MORE,6 - Mega
6,YUM,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,132884000,1861388,71.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,125178000,1805275,69.0,56113,2.0,SELL-PARTIAL,6 - Mega
7,CSCO,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,132252000,5644334,23.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,133253000,5475785,24.0,168549,-1.0,SELL-PARTIAL,5 - Large
8,ADBE,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,131347000,2528821,51.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,112063000,2459679,45.0,69142,6.0,SELL-PARTIAL,5 - Large
9,COV,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-09-30,128950000,2116017,60.0,HOLLAND CAPITAL MANAGEMENT LLC,SHR,2013-06-30,118614000,1887560,62.0,228457,-2.0,SELL-PARTIAL,5 - Large
