,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BEAV,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,442920000,6000000,73.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,378480000,6000000,63.0,0,10.0,BUY-MORE,6 - Mega
1,AAPL,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,123907000,259900,476.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,109278000,275900,396.0,-16000,80.0,BUY-MORE,6 - Mega
2,PM,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,90097000,1040500,86.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,76442000,882500,86.0,158000,0.0,BUY-MORE,6 - Mega
3,JPM,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,82311000,1592400,51.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,84327000,1597400,52.0,-5000,-1.0,BUY-MORE,6 - Mega
4,XOM,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,81041000,941900,86.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,94316000,1043900,90.0,-102000,-4.0,BUY-MORE,6 - Mega
5,CVX,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,77942000,641500,121.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,76152000,643500,118.0,-2000,3.0,BUY-MORE,6 - Mega
6,WFC,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,75244000,1821000,41.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,71273000,1727000,41.0,94000,0.0,BUY-MORE,6 - Mega
7,MRK,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,59655000,1253000,47.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,60617000,1305000,46.0,-52000,1.0,BUY-MORE,5 - Large
8,CSCO,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,57028000,2435000,23.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,56885000,2340000,24.0,95000,-1.0,BUY-MORE,5 - Large
9,DUK,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,53758000,805000,66.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,54473000,807000,67.0,-2000,-1.0,BUY-MORE,6 - Mega
10,UN,HONEYWELL INTERNATIONAL INC,SHR,2013-09-30,52242000,1385000,37.0,HONEYWELL INTERNATIONAL INC,SHR,2013-06-30,23586000,600000,39.0,785000,-2.0,BUY-MORE,5 - Large
