,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BHC,HOUND PARTNERS LLC,SHR,2013-09-30,222359000,2131300,104.0,HOUND PARTNERS LLC,SHR,2013-06-30,198587000,2307000,86.0,-175700,18.0,BUY-MORE,5 - Large
1,CRI,HOUND PARTNERS LLC,SHR,2013-09-30,185244000,2440959,75.0,HOUND PARTNERS LLC,SHR,2013-06-30,205091000,2768884,74.0,-327925,1.0,SELL-PARTIAL,5 - Large
2,SPY,HOUND PARTNERS LLC,PUT,2013-09-30,184811000,1100000,168.0,HOUND PARTNERS LLC,PUT,2013-06-30,211754000,1320000,160.0,-220000,8.0,BUY-MORE,6 - Mega
3,FLT,HOUND PARTNERS LLC,SHR,2013-09-30,176172000,1599241,110.0,HOUND PARTNERS LLC,SHR,2013-06-30,173730000,2136896,81.0,-537655,29.0,SELL-PARTIAL,5 - Large
4,GRA,HOUND PARTNERS LLC,SHR,2013-09-30,147586000,1688632,87.0,HOUND PARTNERS LLC,SHR,2013-06-30,143241000,1704443,84.0,-15811,3.0,BUY-MORE,4 - Mid
5,CHTRQ,HOUND PARTNERS LLC,SHR,2013-09-30,116163000,862000,134.0,HOUND PARTNERS LLC,SHR,2013-06-30,97841000,790000,123.0,72000,11.0,BUY-MORE,4 - Mid
6,GLNG,HOUND PARTNERS LLC,SHR,2013-09-30,105637000,2804264,37.0,HOUND PARTNERS LLC,SHR,2013-06-30,93292000,2925437,31.0,-121173,6.0,SELL-PARTIAL,4 - Mid
7,CFX,HOUND PARTNERS LLC,SHR,2013-09-30,95962000,1698742,56.0,HOUND PARTNERS LLC,SHR,2013-06-30,91765000,1760981,52.0,-62239,4.0,BUY-MORE,5 - Large
8,AIG,HOUND PARTNERS LLC,SHR,2013-09-30,95344000,1960606,48.0,HOUND PARTNERS LLC,SHR,2013-06-30,87475000,1956926,44.0,3680,4.0,BUY-MORE,6 - Mega
9,AIG,HOUND PARTNERS LLC,SHR,2013-09-30,95344000,1960606,48.0,HOUND PARTNERS LLC,WNT,2013-06-30,20327000,1114403,18.0,846203,30.0,BUY-MORE,5 - Large
