,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CNO,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,188327000,13078270,14.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,165667000,12782978,12.0,295292,2.0,SELL-PARTIAL,4 - Mid
1,VAL,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,105414000,1961161,53.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,99435000,1710861,58.0,250300,-5.0,SELL-PARTIAL,3 - Small
2,CRS,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,84236000,1449612,58.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,56409000,1251559,45.0,198053,13.0,SELL-PARTIAL,6 - Mega
3,VRTS,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,81599000,501720,162.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,56040000,317917,176.0,183803,-14.0,SELL-PARTIAL,4 - Mid
4,CA,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,77085000,2598104,29.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,72705000,2539504,28.0,58600,1.0,SELL-PARTIAL,5 - Large
5,TUP,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,71143000,823668,86.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,60806000,782655,77.0,41013,9.0,SELL-PARTIAL,5 - Large
6,PFE,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,64809000,2257395,28.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,62238000,2221995,28.0,35400,0.0,SELL-PARTIAL,4 - Mid
7,MSFT,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,57253000,1718741,33.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,68084000,1971741,34.0,-253000,-1.0,SELL-PARTIAL,6 - Mega
8,LLY,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,56238000,1117397,50.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,54771000,1115097,49.0,2300,1.0,SELL-PARTIAL,6 - Mega
9,GRPU,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,56028000,1571622,35.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,42992000,1244421,34.0,327201,1.0,SELL-PARTIAL,6 - Mega
10,LEN.B,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,53595000,1870625,28.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,29471000,1039438,28.0,831187,0.0,SELL-PARTIAL,3 - Small
11,CSH,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,52656000,1162990,45.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,51657000,1136362,45.0,26628,0.0,SELL-PARTIAL,6 - Mega
12,MRK,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,52345000,1099508,47.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,51866000,1116608,46.0,-17100,1.0,BUY-MORE,3 - Small
13,BAC,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,51763000,3750877,13.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,45373000,3528277,12.0,222600,1.0,SELL-PARTIAL,4 - Mid
14,IOSP,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,50620000,1084902,46.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,40321000,1003471,40.0,81431,6.0,SELL-PARTIAL,4 - Mid
15,EXC,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,50213000,1694048,29.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,50777000,1644248,30.0,49800,-1.0,BUY-MORE,5 - Large
16,HLF,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,48468000,694687,69.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,55384000,1226937,45.0,-532250,24.0,SELL-PARTIAL,4 - Mid
17,LSE,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,47889000,5640515,8.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,44599000,5284073,8.0,356442,0.0,SELL-PARTIAL,5 - Large
18,EVRI,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,47883000,6130974,7.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,39569000,6320846,6.0,-189872,1.0,SELL-PARTIAL,6 - Mega
19,XL,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,47759000,1549599,30.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,45801000,1510599,30.0,39000,0.0,BUY-MORE,3 - Small
20,XOM,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,46039000,535100,86.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,44867000,496600,90.0,38500,-4.0,SELL-PARTIAL,3 - Small
21,HPQ,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,45971000,2191103,20.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,53914000,2174003,24.0,17100,-4.0,BUY-MORE,5 - Large
22,JPM,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,45023000,871052,51.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,41806000,791952,52.0,79100,-1.0,BUY-MORE,5 - Large
23,C,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,44874000,925040,48.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,41399000,863040,47.0,62000,1.0,SELL-PARTIAL,3 - Small
24,VOYA,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,43603000,1492801,29.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,39682000,1466447,27.0,26354,2.0,SELL-PARTIAL,5 - Large
25,ORIG,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,41503000,2280275,18.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,21144000,1129037,18.0,1151238,0.0,SELL-PARTIAL,5 - Large
26,ICON,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,41468000,1248245,33.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,32591000,1108149,29.0,140096,4.0,BUY-MORE,3 - Small
27,RCII,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,40669000,1067430,38.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,36292000,966530,37.0,100900,1.0,SELL-PARTIAL,6 - Mega
28,KALU,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,36290000,509310,71.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,27017000,436183,61.0,73127,10.0,BUY-MORE,3 - Small
29,PM,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,36265000,418796,86.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,30645000,353796,86.0,65000,0.0,SELL-PARTIAL,6 - Mega
30,UEC,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,35176000,15634638,2.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,25588000,14294957,1.0,1339681,1.0,SELL-PARTIAL,5 - Large
31,ETR,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-09-30,34775000,550310,63.0,HUBER CAPITAL MANAGEMENT LLC,SHR,2013-06-30,35582000,510610,69.0,39700,-6.0,SELL-PARTIAL,6 - Mega
