,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,IEP,ICAHN CARL C,SHR,2013-09-30,8363340000,100436406,83.0,ICAHN CARL C,SHR,2013-06-30,7219791000,99213824,72.0,1222582,11.0,BUY-MORE,5 - Large
1,CVI,ICAHN CARL C,SHR,2013-09-30,2742575000,71198718,38.0,ICAHN CARL C,SHR,2013-06-30,3374819000,71198718,47.0,0,-9.0,HOLD,4 - Mid
2,FDML,ICAHN CARL C,SHR,2013-09-30,2033470000,121111976,16.0,ICAHN CARL C,SHR,2013-06-30,783085000,76697804,10.0,44414172,6.0,HOLD,4 - Mid
3,CHKAQ,ICAHN CARL C,SHR,2013-09-30,1719726000,66450000,25.0,ICAHN CARL C,SHR,2013-06-30,1216659000,59698689,20.0,6751311,5.0,HOLD,5 - Large
4,NFLX,ICAHN CARL C,SHR,2013-09-30,1713353000,5541066,309.0,ICAHN CARL C,SHR,2013-06-30,1169664000,5541066,211.0,0,98.0,BUY-MORE,5 - Large
5,FRX,ICAHN CARL C,SHR,2013-09-30,1312027000,30662005,42.0,ICAHN CARL C,SHR,2013-06-30,1257142000,30662005,40.0,0,2.0,BUY-MORE,5 - Large
6,HLF,ICAHN CARL C,SHR,2013-09-30,1183751000,16966485,69.0,ICAHN CARL C,SHR,2013-06-30,765867000,16966485,45.0,0,24.0,HOLD,5 - Large
7,NUAN,ICAHN CARL C,SHR,2013-09-30,980324000,52437750,18.0,ICAHN CARL C,SHR,2013-06-30,579845000,31547631,18.0,20890119,0.0,HOLD,5 - Large
8,RIG,ICAHN CARL C,SHR,2013-09-30,955766000,21477900,44.0,ICAHN CARL C,SHR,2013-06-30,1029865000,21477900,47.0,0,-3.0,HOLD,4 - Mid
9,NAV,ICAHN CARL C,SHR,2013-09-30,485539000,13309735,36.0,ICAHN CARL C,SHR,2013-06-30,328822000,11845167,27.0,1464568,9.0,HOLD,4 - Mid
10,ARII,ICAHN CARL C,SHR,2013-09-30,465709000,11871268,39.0,ICAHN CARL C,SHR,2013-06-30,397806000,11871268,33.0,0,6.0,HOLD,4 - Mid
11,MENT,ICAHN CARL C,SHR,2013-09-30,376731000,16120289,23.0,ICAHN CARL C,SHR,2013-06-30,315151000,16120289,19.0,0,4.0,HOLD,3 - Small
12,TTWO,ICAHN CARL C,SHR,2013-09-30,218296000,12020744,18.0,ICAHN CARL C,SHR,2013-06-30,179950000,12020744,14.0,0,4.0,HOLD,4 - Mid
13,CVRR,ICAHN CARL C,SHR,2013-09-30,149640000,6000000,24.0,ICAHN CARL C,SHR,2013-06-30,180360000,6000000,30.0,0,-6.0,HOLD,4 - Mid
14,ENZN,ICAHN CARL C,SHR,2013-09-30,9920000,5904863,1.0,ICAHN CARL C,SHR,2013-06-30,11810000,5904863,2.0,0,-1.0,HOLD,3 - Small
15,VLTC,ICAHN CARL C,SHR,2013-09-30,3615000,678203,5.0,ICAHN CARL C,SHR,2013-06-30,2421000,678203,3.0,0,2.0,SELL-PARTIAL,4 - Mid
0,IEP,ICAHN CARL C,SHR,2013-12-31,11145915000,101872909,109.0,ICAHN CARL C,SHR,2013-09-30,8363340000,100436406,83.0,1436503,26.0,BUY-MORE,5 - Large
1,CVI,ICAHN CARL C,SHR,2013-12-31,3092160000,71198718,43.0,ICAHN CARL C,SHR,2013-09-30,2742575000,71198718,38.0,0,5.0,HOLD,4 - Mid
2,AAPL,ICAHN CARL C,SHR,2013-12-31,2654465000,4730739,561.0,ICAHN CARL C,SHR,2013-09-30,1847436000,3875063,476.0,855676,85.0,HOLD,4 - Mid
3,FDML,ICAHN CARL C,SHR,2013-12-31,2383484000,121111976,19.0,ICAHN CARL C,SHR,2013-09-30,2033470000,121111976,16.0,0,3.0,HOLD,5 - Large
4,FRX,ICAHN CARL C,SHR,2013-12-31,1840640000,30662005,60.0,ICAHN CARL C,SHR,2013-09-30,1312027000,30662005,42.0,0,18.0,BUY-MORE,5 - Large
5,CHKAQ,ICAHN CARL C,SHR,2013-12-31,1803453000,66450000,27.0,ICAHN CARL C,SHR,2013-09-30,1719726000,66450000,25.0,0,2.0,BUY-MORE,5 - Large
6,HLF,ICAHN CARL C,SHR,2013-12-31,1335262000,16966485,78.0,ICAHN CARL C,SHR,2013-09-30,1183751000,16966485,69.0,0,9.0,HOLD,5 - Large
7,RIG,ICAHN CARL C,SHR,2013-12-31,1061438000,21477900,49.0,ICAHN CARL C,SHR,2013-09-30,955766000,21477900,44.0,0,5.0,HOLD,5 - Large
8,NFLX,ICAHN CARL C,SHR,2013-12-31,981378000,2665557,368.0,ICAHN CARL C,SHR,2013-09-30,1713353000,5541066,309.0,-2875509,59.0,HOLD,4 - Mid
9,NUAN,ICAHN CARL C,SHR,2013-12-31,923926000,60784623,15.0,ICAHN CARL C,SHR,2013-09-30,980324000,52437750,18.0,8346873,-3.0,HOLD,4 - Mid
10,TLSMF,ICAHN CARL C,SHR,2013-12-31,886100000,76060078,11.0,ICAHN CARL C,SHR,2013-09-30,74245000,6456049,11.0,69604029,0.0,HOLD,4 - Mid
11,ARII,ICAHN CARL C,SHR,2013-12-31,543111000,11871268,45.0,ICAHN CARL C,SHR,2013-09-30,465709000,11871268,39.0,0,6.0,HOLD,3 - Small
12,NAV,ICAHN CARL C,SHR,2013-12-31,508299000,13309735,38.0,ICAHN CARL C,SHR,2013-09-30,485539000,13309735,36.0,0,2.0,HOLD,4 - Mid
13,MENT,ICAHN CARL C,SHR,2013-12-31,388015000,16120289,24.0,ICAHN CARL C,SHR,2013-09-30,376731000,16120289,23.0,0,1.0,HOLD,4 - Mid
14,CVRR,ICAHN CARL C,SHR,2013-12-31,135720000,6000000,22.0,ICAHN CARL C,SHR,2013-09-30,149640000,6000000,24.0,0,-2.0,HOLD,3 - Small
15,ENZN,ICAHN CARL C,SHR,2013-12-31,6850000,5904863,1.0,ICAHN CARL C,SHR,2013-09-30,9920000,5904863,1.0,0,0.0,SELL-PARTIAL,4 - Mid
16,VLTC,ICAHN CARL C,SHR,2013-12-31,2326000,678203,3.0,ICAHN CARL C,SHR,2013-09-30,3615000,678203,5.0,0,-2.0,HOLD,4 - Mid
0,IEP,ICAHN CARL C,SHR,2014-03-31,10566566000,102857651,102.0,ICAHN CARL C,SHR,2013-12-31,11145915000,101872909,109.0,984742,-7.0,BUY-MORE,5 - Large
1,AAPL,ICAHN CARL C,SHR,2014-03-31,4045551000,7537264,536.0,ICAHN CARL C,SHR,2013-12-31,2654465000,4730739,561.0,2806525,-25.0,HOLD,4 - Mid
2,CVI,ICAHN CARL C,SHR,2014-03-31,3008146000,71198718,42.0,ICAHN CARL C,SHR,2013-12-31,3092160000,71198718,43.0,0,-1.0,HOLD,4 - Mid
3,FRX,ICAHN CARL C,SHR,2014-03-31,2829183000,30662005,92.0,ICAHN CARL C,SHR,2013-12-31,1840640000,30662005,60.0,0,32.0,HOLD,5 - Large
4,FDML,ICAHN CARL C,SHR,2014-03-31,2266005000,121111976,18.0,ICAHN CARL C,SHR,2013-12-31,2383484000,121111976,19.0,0,-1.0,BUY-MORE,5 - Large
5,CHKAQ,ICAHN CARL C,SHR,2014-03-31,1702449000,66450000,25.0,ICAHN CARL C,SHR,2013-12-31,1803453000,66450000,27.0,0,-2.0,BUY-MORE,5 - Large
6,NUAN,ICAHN CARL C,SHR,2014-03-31,1043672000,60784623,17.0,ICAHN CARL C,SHR,2013-12-31,923926000,60784623,15.0,0,2.0,HOLD,5 - Large
7,HLF,ICAHN CARL C,SHR,2014-03-31,973590000,17000000,57.0,ICAHN CARL C,SHR,2013-12-31,1335262000,16966485,78.0,33515,-21.0,HOLD,5 - Large
8,RIG,ICAHN CARL C,SHR,2014-03-31,887896000,21477900,41.0,ICAHN CARL C,SHR,2013-12-31,1061438000,21477900,49.0,0,-8.0,HOLD,4 - Mid
9,ARII,ICAHN CARL C,SHR,2014-03-31,831345000,11871268,70.0,ICAHN CARL C,SHR,2013-12-31,543111000,11871268,45.0,0,25.0,HOLD,4 - Mid
10,NFLX,ICAHN CARL C,SHR,2014-03-31,790166000,2244599,352.0,ICAHN CARL C,SHR,2013-12-31,981378000,2665557,368.0,-420958,-16.0,HOLD,4 - Mid
11,TLSMF,ICAHN CARL C,SHR,2014-03-31,759080000,76060078,9.0,ICAHN CARL C,SHR,2013-12-31,886100000,76060078,11.0,0,-2.0,HOLD,3 - Small
12,HOLX,ICAHN CARL C,SHR,2014-03-31,734330000,34154879,21.0,ICAHN CARL C,SHR,2013-12-31,763361000,34154879,22.0,0,-1.0,HOLD,4 - Mid
13,NAV,ICAHN CARL C,SHR,2014-03-31,450801000,13309735,33.0,ICAHN CARL C,SHR,2013-12-31,508299000,13309735,38.0,0,-5.0,HOLD,4 - Mid
14,MENT,ICAHN CARL C,SHR,2014-03-31,354969000,16120289,22.0,ICAHN CARL C,SHR,2013-12-31,388015000,16120289,24.0,0,-2.0,HOLD,3 - Small
15,CVRR,ICAHN CARL C,SHR,2014-03-31,139680000,6000000,23.0,ICAHN CARL C,SHR,2013-12-31,135720000,6000000,22.0,0,1.0,SELL-PARTIAL,4 - Mid
16,ENZN,ICAHN CARL C,SHR,2014-03-31,6082000,5904863,1.0,ICAHN CARL C,SHR,2013-12-31,6850000,5904863,1.0,0,0.0,HOLD,4 - Mid
17,VLTC,ICAHN CARL C,SHR,2014-03-31,2428000,678203,3.0,ICAHN CARL C,SHR,2013-12-31,2326000,678203,3.0,0,0.0,SELL-PARTIAL,5 - Large
0,IEP,ICAHN CARL C,SHR,2014-06-30,10552492000,105842442,99.0,ICAHN CARL C,SHR,2014-03-31,10566566000,102857651,102.0,2984791,-3.0,BUY-MORE,5 - Large
1,HOLX,ICAHN CARL C,SHR,2014-06-30,6865826000,34154879,201.0,ICAHN CARL C,SHR,2014-03-31,734330000,34154879,21.0,0,180.0,HOLD,4 - Mid
2,AAPL,ICAHN CARL C,SHR,2014-06-30,4903065000,52760848,92.0,ICAHN CARL C,SHR,2014-03-31,4045551000,7537264,536.0,45223584,-444.0,HOLD,4 - Mid
3,CVI,ICAHN CARL C,SHR,2014-06-30,3431066000,71198718,48.0,ICAHN CARL C,SHR,2014-03-31,3008146000,71198718,42.0,0,6.0,HOLD,5 - Large
4,FDML,ICAHN CARL C,SHR,2014-06-30,2450095000,121111976,20.0,ICAHN CARL C,SHR,2014-03-31,2266005000,121111976,18.0,0,2.0,BUY-MORE,5 - Large
5,CHKAQ,ICAHN CARL C,SHR,2014-06-30,2065266000,66450000,31.0,ICAHN CARL C,SHR,2014-03-31,1702449000,66450000,25.0,0,6.0,BUY-MORE,5 - Large
6,EBAY,ICAHN CARL C,SHR,2014-06-30,1541999000,30803015,50.0,ICAHN CARL C,SHR,2014-03-31,1535839000,27803015,55.0,3000000,-5.0,HOLD,5 - Large
7,NUAN,ICAHN CARL C,SHR,2014-06-30,1140928000,60784623,18.0,ICAHN CARL C,SHR,2014-03-31,1043672000,60784623,17.0,0,1.0,HOLD,5 - Large
8,HLF,ICAHN CARL C,SHR,2014-06-30,1097180000,17000000,64.0,ICAHN CARL C,SHR,2014-03-31,973590000,17000000,57.0,0,7.0,HOLD,4 - Mid
9,RIG,ICAHN CARL C,SHR,2014-06-30,967150000,21477900,45.0,ICAHN CARL C,SHR,2014-03-31,887896000,21477900,41.0,0,4.0,HOLD,4 - Mid
10,TLSMF,ICAHN CARL C,SHR,2014-06-30,806236000,76060078,10.0,ICAHN CARL C,SHR,2014-03-31,759080000,76060078,9.0,0,1.0,HOLD,4 - Mid
11,ARII,ICAHN CARL C,SHR,2014-06-30,804516000,11871268,67.0,ICAHN CARL C,SHR,2014-03-31,831345000,11871268,70.0,0,-3.0,HOLD,3 - Small
12,NFLX,ICAHN CARL C,SHR,2014-06-30,777618000,1764907,440.0,ICAHN CARL C,SHR,2014-03-31,790166000,2244599,352.0,-479692,88.0,HOLD,4 - Mid
13,NAV,ICAHN CARL C,SHR,2014-06-30,537390000,14337524,37.0,ICAHN CARL C,SHR,2014-03-31,450801000,13309735,33.0,1027789,4.0,HOLD,4 - Mid
14,MENT,ICAHN CARL C,SHR,2014-06-30,347715000,16120289,21.0,ICAHN CARL C,SHR,2014-03-31,354969000,16120289,22.0,0,-1.0,HOLD,3 - Small
15,CVRR,ICAHN CARL C,SHR,2014-06-30,150060000,6000000,25.0,ICAHN CARL C,SHR,2014-03-31,139680000,6000000,23.0,0,2.0,SELL-PARTIAL,4 - Mid
16,ENZN,ICAHN CARL C,SHR,2014-06-30,6141000,5904863,1.0,ICAHN CARL C,SHR,2014-03-31,6082000,5904863,1.0,0,0.0,HOLD,4 - Mid
17,VLTC,ICAHN CARL C,SHR,2014-06-30,1343000,678203,1.0,ICAHN CARL C,SHR,2014-03-31,2428000,678203,3.0,0,-2.0,SELL-PARTIAL,5 - Large
0,IEP,ICAHN CARL C,SHR,2014-09-30,11347389000,107212654,105.0,ICAHN CARL C,SHR,2014-06-30,10552492000,105842442,99.0,1370212,6.0,BUY-MORE,5 - Large
1,AAPL,ICAHN CARL C,SHR,2014-09-30,5315655000,52760848,100.0,ICAHN CARL C,SHR,2014-06-30,4903065000,52760848,92.0,0,8.0,HOLD,4 - Mid
2,CVI,ICAHN CARL C,SHR,2014-09-30,3184719000,71198718,44.0,ICAHN CARL C,SHR,2014-06-30,3431066000,71198718,48.0,0,-4.0,HOLD,4 - Mid
3,EBAY,ICAHN CARL C,SHR,2014-09-30,2595108000,45825684,56.0,ICAHN CARL C,SHR,2014-06-30,1541999000,30803015,50.0,15022669,6.0,HOLD,5 - Large
4,FDML,ICAHN CARL C,SHR,2014-09-30,1800935000,121111976,14.0,ICAHN CARL C,SHR,2014-06-30,2450095000,121111976,20.0,0,-6.0,BUY-MORE,5 - Large
5,CHKAQ,ICAHN CARL C,SHR,2014-09-30,1527685000,66450000,22.0,ICAHN CARL C,SHR,2014-06-30,2065266000,66450000,31.0,0,-9.0,BUY-MORE,5 - Large
