,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TD,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,120416000,1299402,92.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,132823000,1572802,84.0,-273400,8.0,BUY-MORE,5 - Large
1,TRP,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,114501000,2530410,45.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,144018000,3182710,45.0,-652300,0.0,SELL-PARTIAL,5 - Large
2,BNS,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,104754000,1776400,58.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,70847000,1260700,56.0,515700,2.0,BUY-MORE,5 - Large
3,CM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,94960000,1157200,82.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,44269000,593300,74.0,563900,8.0,BUY-MORE,5 - Large
4,BCE,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,87959000,2000500,43.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,82291000,1908600,43.0,91900,0.0,SELL-PARTIAL,5 - Large
5,TU,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,82511000,2421100,34.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,104303000,3399700,30.0,-978600,4.0,SELL-PARTIAL,4 - Mid
6,ENB,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,72306000,1682327,42.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,76252000,1731827,44.0,-49500,-2.0,SELL-PARTIAL,5 - Large
7,CVE,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,71223000,2318454,30.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,84833000,2831554,29.0,-513100,1.0,BUY-MORE,5 - Large
8,CNI,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,53865000,516200,104.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,50973000,499100,102.0,17100,2.0,BUY-MORE,5 - Large
9,SLF,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,53330000,1621012,32.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,53942000,1741112,30.0,-120100,2.0,BUY-MORE,5 - Large
10,SJR,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,52753000,2205400,23.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,44525000,1781000,25.0,424400,-2.0,SELL-PARTIAL,5 - Large
11,RCI,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,50462000,1139900,44.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,64050000,1555400,41.0,-415500,3.0,SELL-PARTIAL,5 - Large
12,TAC,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,48205000,3610954,13.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,46996000,3263954,14.0,347000,-1.0,BUY-MORE,5 - Large
13,ERF,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,48154000,2824303,17.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,47620000,3066303,15.0,-242000,2.0,SELL-PARTIAL,5 - Large
14,TECK,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,45185000,1632400,27.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,39299000,1750500,22.0,-118100,5.0,SELL-PARTIAL,5 - Large
15,MGA,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,44315000,521900,84.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,40660000,543800,74.0,-21900,10.0,SELL-PARTIAL,5 - Large
16,AGU,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,43685000,504800,86.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,4433000,49200,90.0,455600,-4.0,BUY-MORE,4 - Mid
17,TRI,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,43076000,1196598,35.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,50494000,1474798,34.0,-278200,1.0,SELL-PARTIAL,3 - Small
18,PBA,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,42753000,1253807,34.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,49027000,1526008,32.0,-272201,2.0,SELL-PARTIAL,5 - Large
19,OVV,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,39653000,2229400,17.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,16652000,937800,17.0,1291600,0.0,BUY-MORE,5 - Large
20,BTE,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,34633000,816000,42.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,37742000,1001600,37.0,-185600,5.0,SELL-PARTIAL,5 - Large
21,RY,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,31093000,471161,65.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,43633000,712161,61.0,-241000,4.0,BUY-MORE,5 - Large
22,SU,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,30558000,829716,36.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,68888000,2222916,30.0,-1393200,6.0,SELL-PARTIAL,5 - Large
23,GOLD,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,26216000,1368400,19.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,16402000,994500,16.0,373900,3.0,SELL-PARTIAL,4 - Mid
24,CNQ,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,24405000,754400,32.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,25004000,843300,29.0,-88900,3.0,BUY-MORE,5 - Large
25,POT,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,21864000,679050,32.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,70538000,1759050,40.0,-1080000,-8.0,BUY-MORE,5 - Large
26,BHC,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,18839000,175730,107.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,27303000,302020,90.0,-126290,17.0,BUY-MORE,5 - Large
27,AUY,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,17115000,1599500,10.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,25214000,2523900,9.0,-924400,1.0,HOLD,6 - Mega
28,GG,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,16874000,630800,26.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,17048000,656700,25.0,-25900,1.0,SELL-PARTIAL,4 - Mid
29,BMO,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,15075000,219400,68.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,44295000,726500,60.0,-507100,8.0,SELL-PARTIAL,5 - Large
30,PGH,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,14684000,2431982,6.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,11238000,2209182,5.0,222800,1.0,BUY-MORE,4 - Mid
31,BAM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,14083000,365400,38.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,31446000,831900,37.0,-466500,1.0,HOLD,6 - Mega
32,BXEFF,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,12096000,1548800,7.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,15210000,2358100,6.0,-809300,1.0,HOLD,6 - Mega
33,OBELF,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,11892000,1042600,11.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,6685000,605600,11.0,437000,0.0,BUY-MORE,5 - Large
34,CCJ,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,11819000,636100,18.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,13918000,641100,21.0,-5000,-3.0,BUY-MORE,6 - Mega
35,VET,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,11355000,200600,56.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,11010000,214700,51.0,-14100,5.0,HOLD,6 - Mega
36,EGO,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,10125000,1469500,6.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,14659000,2272700,6.0,-803200,0.0,SELL-PARTIAL,5 - Large
37,WPM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,10114000,396300,25.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,11913000,578000,20.0,-181700,5.0,SELL-PARTIAL,6 - Mega
38,GIL,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,9774000,204900,47.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,5089000,122000,41.0,82900,6.0,BUY-MORE,6 - Mega
39,BPO,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,8661000,440400,19.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,4298000,247000,17.0,193400,2.0,HOLD,6 - Mega
40,NGD,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,7381000,1204100,6.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,14024000,2086900,6.0,-882800,0.0,BUY-MORE,5 - Large
41,MEOH,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,7267000,137800,52.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,2465000,57700,42.0,80100,10.0,BUY-MORE,5 - Large
42,TGA,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,6484000,808500,8.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,9962000,1581300,6.0,-772800,2.0,SELL-PARTIAL,4 - Mid
43,GIB,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,6186000,171600,36.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,10453000,340500,30.0,-168900,6.0,BUY-MORE,5 - Large
44,QTRH,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,5857000,1471700,3.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,7556000,1561200,4.0,-89500,-1.0,BUY-MORE,6 - Mega
45,BTG,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,4334000,1693100,2.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,5960000,2704200,2.0,-1011100,0.0,BUY-MORE,3 - Small
46,ALO,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,4115000,2378900,1.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,5551000,2413500,2.0,-34600,-1.0,BUY-MORE,5 - Large
47,FSM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,4017000,1071600,3.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,3466000,997900,3.0,73700,0.0,SELL-PARTIAL,5 - Large
48,JE,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3977000,607172,6.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,3286000,528700,6.0,78472,0.0,HOLD,6 - Mega
49,BB,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3915000,483900,8.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,6648000,605500,10.0,-121600,-2.0,BUY-MORE,3 - Small
50,BRD,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3605000,5814100,0.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,3081000,5814100,0.0,0,0.0,SELL-PARTIAL,6 - Mega
51,AAPL,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3337000,7000,476.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,990000,2500,396.0,4500,80.0,HOLD,5 - Large
52,RIOM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3329000,1633100,2.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,2983000,1538300,1.0,94800,1.0,HOLD,5 - Large
53,KGC,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3306000,638300,5.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,3417000,638600,5.0,-300,0.0,SELL-PARTIAL,5 - Large
54,WCN,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3135000,119100,26.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,1148000,50800,22.0,68300,4.0,HOLD,6 - Mega
55,AAV,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,3105000,786300,3.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,1722000,423100,4.0,363200,-1.0,HOLD,5 - Large
56,GAU,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,2747000,1140000,2.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,418000,185800,2.0,954200,0.0,BUY-MORE,5 - Large
57,XOM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,2659000,30900,86.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,755000,8400,89.0,22500,-3.0,SELL-PARTIAL,4 - Mid
58,GE,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,2273000,95100,23.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,740000,31900,23.0,63200,0.0,BUY-MORE,5 - Large
59,DGT,INTACT INVESTMENT MANAGEMENT INC,FND,2013-09-30,2057000,32005,64.0,INTACT INVESTMENT MANAGEMENT INC,FND,2013-06-30,1879000,32005,58.0,0,6.0,SELL-PARTIAL,5 - Large
60,MSFT,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1968000,59100,33.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,666000,19300,34.0,39800,-1.0,SELL-PARTIAL,5 - Large
61,PM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1706000,19700,86.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,1307000,15100,86.0,4600,0.0,SELL-PARTIAL,5 - Large
62,PFE,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1642000,57200,28.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,611000,21800,28.0,35400,0.0,BUY-MORE,5 - Large
63,IBM,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1547000,8350,185.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,544000,2850,190.0,5500,-5.0,HOLD,6 - Mega
64,DIS,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1451000,22500,64.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,455000,7200,63.0,15300,1.0,HOLD,6 - Mega
65,GOOGL,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1445000,1650,875.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,616000,700,880.0,950,-5.0,BUY-MORE,6 - Mega
66,ORCL,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1369000,41300,33.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,439000,14300,30.0,27000,3.0,HOLD,6 - Mega
67,MRK,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1309000,27500,47.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,460000,9900,46.0,17600,1.0,HOLD,5 - Large
68,AZC,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-09-30,1291000,617800,2.0,INTACT INVESTMENT MANAGEMENT INC,SHR,2013-06-30,1359000,617800,2.0,0,0.0,BUY-MORE,4 - Mid
